SEF	1.0.0
ID	DWR_C._Rivadavia
Name	C. Rivadavia
Lat	-45.864722
Lon	-67.480833
Alt	NA
Source	C3S_SouthAmerica
Link	https://data-rescue.copernicus-climate.eu/lso/1085247
Vbl	mslp
Stat	point
Units	hPa
Meta	Data policy=GNU GPL v3.0
Year	Month	Day	Hour	Minute	Period	Value	Meta
1902	2	21	18	17	0	1007.7	Orig=755.8mm|orig.time=2pm
1902	2	22	18	17	0	1008.7	Orig=756.6mm|orig.time=2pm
1902	2	23	18	17	0	1001.3	Orig=751mm|orig.time=2pm
1902	2	24	18	17	0	997.8	Orig=748.4mm|orig.time=2pm
1902	2	25	18	17	0	1005	Orig=753.8mm|orig.time=2pm
1902	2	26	18	17	0	1000.9	Orig=750.7mm|orig.time=2pm
1902	2	27	18	17	0	998.3	Orig=748.8mm|orig.time=2pm
1902	2	28	18	17	0	1007.9	Orig=756mm|orig.time=2pm
1902	3	1	18	17	0	1015	Orig=761.3mm|orig.time=2pm
1902	3	2	18	17	0	1006.1	Orig=754.6mm|orig.time=2pm
1902	3	3	18	17	0	1004.1	Orig=753.1mm|orig.time=2pm
1902	3	4	18	17	0	1005	Orig=753.8mm|orig.time=2pm
1902	3	5	18	17	0	1011.7	Orig=758.8mm|orig.time=2pm
1902	3	6	18	17	0	1013.8	Orig=760.4mm|orig.time=2pm
1902	3	7	18	17	0	1014.2	Orig=760.7mm|orig.time=2pm
1902	3	8	18	17	0	1025.8	Orig=769.4mm|orig.time=2pm
1902	3	9	18	17	0	1016.4	Orig=762.4mm|orig.time=2pm
1902	3	10	18	17	0	1014.2	Orig=760.7mm|orig.time=2pm
1902	3	12	18	17	0	1011.4	Orig=758.6mm|orig.time=2pm
1902	3	13	18	17	0	1006.1	Orig=754.6mm|orig.time=2pm
1902	3	14	18	17	0	1006.5	Orig=754.9mm|orig.time=2pm
1902	3	15	18	17	0	1002.1	Orig=751.6mm|orig.time=2pm
1902	3	16	18	17	0	1002.9	Orig=752.2mm|orig.time=2pm
1902	3	19	18	17	0	1015.6	Orig=761.8mm|orig.time=2pm
1902	3	21	18	17	0	1002.9	Orig=752.2mm|orig.time=2pm
1902	3	22	18	17	0	1008.5	Orig=756.4mm|orig.time=2pm
1902	3	23	18	17	0	1004.5	Orig=753.4mm|orig.time=2pm
1902	3	24	18	17	0	1004.6	Orig=753.5mm|orig.time=2pm
1902	3	25	18	17	0	1018.8	Orig=764.2mm|orig.time=2pm
1902	3	26	18	17	0	1020.2	Orig=765.2mm|orig.time=2pm
1902	3	27	18	17	0	1017.4	Orig=763.1mm|orig.time=2pm
1902	4	2	18	17	0	1002.1	Orig=751.6mm|orig.time=2pm
1902	4	3	18	17	0	1018.7	Orig=764.1mm|orig.time=2pm
1902	4	4	18	17	0	1003.7	Orig=752.8mm|orig.time=2pm
1902	4	5	18	17	0	1017.9	Orig=763.5mm|orig.time=2pm
1902	4	6	18	17	0	1008.5	Orig=756.4mm|orig.time=2pm
1902	4	7	18	17	0	999	Orig=749.3mm|orig.time=2pm
1902	4	10	18	17	0	1005.8	Orig=754.4mm|orig.time=2pm
1902	4	12	18	17	0	987.7	Orig=740.8mm|orig.time=2pm
1902	4	13	18	17	0	991.9	Orig=744mm|orig.time=2pm
1902	4	14	18	17	0	988.5	Orig=741.4mm|orig.time=2pm
1902	4	20	18	17	0	992.2	Orig=744.2mm|orig.time=2pm
1902	4	24	18	17	0	1004.7	Orig=753.6mm|orig.time=2pm
1902	4	27	18	17	0	1008.3	Orig=756.3mm|orig.time=2pm
1902	5	16	18	17	0	996.2	Orig=747.2mm|orig.time=2pm
1902	5	17	18	17	0	1005.9	Orig=754.5mm|orig.time=2pm
1902	5	18	18	17	0	1002.2	Orig=751.7mm|orig.time=2pm
1902	5	19	18	17	0	992.3	Orig=744.3mm|orig.time=2pm
1902	5	20	18	17	0	999.3	Orig=749.5mm|orig.time=2pm
1902	5	21	18	17	0	997	Orig=747.8mm|orig.time=2pm
1902	5	22	18	17	0	997.7	Orig=748.3mm|orig.time=2pm
