SEF	0.0.1
ID	DWR_CATAMARCA-Ca
Name	CATAMARCA-Capital
Lat	
Lon	
Alt	
Source	C3S_SouthAmerica
Repo	
Var	dd
Units	degree
Meta	
Year	Month	Day	HHMM	TimeF	Value	Meta
1902	4	8	1817	0	45	Orig=NE
1902	4	9	1817	0	180	Orig=S
1902	4	10	1817	0	0	Orig=N
1902	4	12	1817	0	0	Orig=N
1902	4	13	1817	0	180	Orig=S
1902	4	14	1817	0	0	Orig=N
1902	4	16	1817	0	45	Orig=NE
1902	4	19	1817	0	45	Orig=NE
1902	4	20	1817	0	0	Orig=N
1902	4	24	1817	0	45	Orig=NE
1902	4	26	1817	0	45	Orig=NE
1902	4	29	1817	0	0	Orig=N
1902	5	3	1817	0	135	Orig=SE
1902	5	4	1817	0	0	Orig=N
1902	5	6	1817	0	0	Orig=N
1902	5	8	1817	0	90	Orig=E
1902	5	16	1817	0	135	Orig=SE
1902	5	18	1817	0	180	Orig=S
1902	5	19	1817	0	90	Orig=E
1902	5	20	1817	0	225	Orig=SW
1902	5	21	1817	0	180	Orig=S
1902	5	22	1817	0	45	Orig=NE
1902	5	23	1817	0	0	Orig=N
1902	5	24	1817	0	180	Orig=S
1902	5	25	1817	0	135	Orig=SE
1902	5	26	1817	0	90	Orig=E
1902	5	27	1817	0	180	Orig=S
1902	5	28	1817	0	0	Orig=N
1902	5	29	1817	0	180	Orig=S
1902	5	30	1817	0	0	Orig=N
1902	6	1	1817	0	135	Orig=SE
1902	6	2	1817	0	180	Orig=S
1902	6	3	1817	0	0	Orig=N
1902	6	4	1817	0	180	Orig=S
1902	6	5	1817	0	0	Orig=N
1902	6	6	1817	0	90	Orig=E
1902	6	7	1817	0	180	Orig=S
1902	6	8	1817	0	0	Orig=N
1902	6	9	1817	0	90	Orig=E
1902	6	10	1817	0	180	Orig=S
1902	6	11	1817	0	180	Orig=S
1902	6	12	1817	0	0	Orig=N
1902	6	13	1817	0	0	Orig=N
1902	6	14	1817	0	0	Orig=N
1902	6	16	1817	0	135	Orig=SE
1902	6	17	1817	0	135	Orig=SE
1902	6	18	1817	0	180	Orig=S
1902	6	20	1817	0	315	Orig=NW
1902	6	21	1817	0	45	Orig=NE
1902	6	23	1817	0	0	Orig=N
1902	6	24	1817	0	90	Orig=E
1902	6	27	1817	0	135	Orig=SE
1902	7	1	1817	0	180	Orig=S
1902	7	2	1817	0	180	Orig=S
1902	7	4	1817	0	180	Orig=S
1902	7	5	1817	0	90	Orig=E
1902	7	6	1817	0	180	Orig=S
1902	7	10	1817	0	225	Orig=SW
1902	7	11	1817	0	0	Orig=N
1902	7	12	1817	0	180	Orig=S
1902	7	13	1817	0	45	Orig=NE
1902	7	14	1817	0	45	Orig=NE
1902	7	15	1817	0	90	Orig=E
1902	7	16	1817	0	315	Orig=NW
1902	7	17	1817	0	0	Orig=N
1902	7	18	1817	0	0	Orig=N
1902	7	19	1817	0	0	Orig=N
1902	7	20	1817	0	135	Orig=SE
1902	7	21	1817	0	0	Orig=N
1902	7	26	1817	0	135	Orig=SE
1902	7	27	1817	0	135	Orig=SE
1902	7	28	1817	0	135	Orig=SE
1902	7	30	1817	0	135	Orig=SE
1902	7	31	1817	0	180	Orig=S
1902	8	1	1817	0	135	Orig=SE
1902	8	2	1817	0	135	Orig=SE
1902	8	3	1817	0	180	Orig=S
1902	8	4	1817	0	180	Orig=S
1902	8	5	1817	0	90	Orig=E
1902	8	6	1817	0	180	Orig=S
1902	8	8	1817	0	135	Orig=SE
