SEF	0.0.1
ID	DWR_Cabo_Blanco
Name	Cabo Blanco
Lat	
Lon	
Alt	
Source	C3S_SouthAmerica
Repo	
Var	wind_force
Units	
Meta	
Year	Month	Day	HHMM	TimeF	Value	Meta
1902	2	21	1817	0	3	
1902	2	22	1817	0	1	
1902	2	23	1817	0	2	
1902	2	24	1817	0	3	
1902	2	25	1817	0	3	
1902	2	26	1817	0	3	
1902	2	27	1817	0	3	
1902	2	28	1817	0	3	
1902	3	1	1817	0	2	
1902	3	2	1817	0	2	
1902	3	3	1817	0	2	
1902	3	4	1817	0	4	
1902	3	5	1817	0	2	
1902	3	6	1817	0	1	
1902	3	7	1817	0	1	
1902	3	8	1817	0	1	
1902	3	9	1817	0	2	
1902	3	10	1817	0	2	
1902	3	12	1817	0	3	
1902	3	13	1817	0	3	
1902	3	14	1817	0	2	
1902	3	15	1817	0	2	
1902	3	16	1817	0	2	
1902	3	19	1817	0	3	
1902	3	21	1817	0	1	
1902	3	22	1817	0	2	
1902	3	23	1817	0	2	
1902	3	24	1817	0	3	
1902	3	25	1817	0	2	
1902	3	26	1817	0	3	
1902	3	27	1817	0	1	
1902	3	30	1817	0	0	
1902	3	31	1817	0	2	
1902	4	2	1817	0	2	
1902	4	3	1817	0	2	
1902	4	4	1817	0	3	
1902	4	5	1817	0	2	
1902	4	6	1817	0	3	
1902	4	7	1817	0	2	
1902	4	8	1817	0	3	
1902	4	9	1817	0	1	
1902	4	10	1817	0	1	
1902	4	12	1817	0	2	
1902	4	13	1817	0	2	
1902	4	14	1817	0	1	
1902	4	16	1817	0	2	
1902	4	19	1817	0	1	
1902	4	20	1817	0	3	
1902	4	24	1817	0	1	
1902	4	26	1817	0	1	
1902	4	27	1817	0	2	
1902	4	29	1817	0	1	
1902	5	3	1817	0	1	
1902	5	4	1817	0	1	
1902	5	6	1817	0	2	
1902	5	8	1817	0	2	
1902	5	16	1817	0	3	
1902	5	17	1817	0	3	
1902	5	18	1817	0	1	
1902	5	19	1817	0	3	
1902	5	20	1817	0	0	
1902	5	21	1817	0	2	
1902	5	22	1817	0	3	
1902	5	23	1817	0	0	
1902	5	24	1817	0	1	
1902	5	25	1817	0	3	
1902	5	26	1817	0	3	
1902	5	27	1817	0	1	
1902	5	28	1817	0	3	
1902	5	29	1817	0	2	
1902	5	30	1817	0	0	
1902	5	31	1817	0	1	
1902	6	1	1817	0	1	
1902	6	3	1817	0	2	
1902	6	4	1817	0	2	
1902	6	5	1817	0	3	
1902	6	6	1817	0	3	
1902	6	7	1817	0	1	
1902	6	8	1817	0	3	
1902	6	9	1817	0	1	
1902	6	11	1817	0	1	
1902	6	21	1817	0	1	
1902	6	22	1817	0	2	
1902	6	23	1817	0	1	
1902	6	24	1817	0	1	
1902	6	25	1817	0	2	
1902	7	1	1817	0	1	
1902	7	16	1817	0	1	
1902	8	30	1817	0	2	
1902	8	31	1817	0	2	
1902	9	2	1117	0	0	
1902	9	3	1117	0	1	
1902	9	4	1117	0	2	
1902	9	5	1117	0	1	
