SEF	0.2.0
ID	DWR_Cabo_Blanco
Name	Cabo Blanco
Lat	-47.202
Lon	-65.7333
Alt	NA
Source	C3S_SouthAmerica
Link	https://data-rescue.copernicus-climate.eu/lso/1084997
Vbl	ta
Stat	point
Units	C
Meta	Data policy=GNU GPL v3.0
Year	Month	Day	Hour	Minute	Period	Value	Meta
1902	2	21	18	17	0	17	orig.time=2pm
1902	2	22	18	17	0	20	orig.time=2pm
1902	2	23	18	17	0	26	orig.time=2pm
1902	2	24	18	17	0	21	orig.time=2pm
1902	2	25	18	17	0	16	orig.time=2pm
1902	2	26	18	17	0	18	orig.time=2pm
1902	2	27	18	17	0	17	orig.time=2pm
1902	2	28	18	17	0	12	orig.time=2pm
1902	3	1	18	17	0	13	orig.time=2pm
1902	3	2	18	17	0	11	orig.time=2pm
1902	3	3	18	17	0	19	orig.time=2pm
1902	3	4	18	17	0	7	orig.time=2pm
1902	3	5	18	17	0	18	orig.time=2pm
1902	3	6	18	17	0	15	orig.time=2pm
1902	3	7	18	17	0	13	orig.time=2pm
1902	3	8	18	17	0	13	orig.time=2pm
1902	3	9	18	17	0	13	orig.time=2pm
1902	3	10	18	17	0	14	orig.time=2pm
1902	3	12	18	17	0	12	orig.time=2pm
1902	3	13	18	17	0	15	orig.time=2pm
1902	3	14	18	17	0	15	orig.time=2pm
1902	3	15	18	17	0	23	orig.time=2pm
1902	3	16	18	17	0	25	orig.time=2pm
1902	3	19	18	17	0	12	orig.time=2pm
1902	3	21	18	17	0	25	orig.time=2pm
1902	3	22	18	17	0	23	orig.time=2pm
1902	3	23	18	17	0	19	orig.time=2pm
1902	3	24	18	17	0	23	orig.time=2pm
1902	3	25	18	17	0	16	orig.time=2pm
1902	3	26	18	17	0	17	orig.time=2pm
1902	3	27	18	17	0	19	orig.time=2pm
1902	3	30	18	17	0	22	orig.time=2pm
1902	3	31	18	17	0	18	orig.time=2pm
1902	4	2	18	17	0	20	orig.time=2pm
1902	4	3	18	17	0	14	orig.time=2pm
1902	4	4	18	17	0	15	orig.time=2pm
1902	4	5	18	17	0	13	orig.time=2pm
1902	4	6	18	17	0	17	orig.time=2pm
1902	4	7	18	17	0	11	orig.time=2pm
1902	4	8	18	17	0	14	orig.time=2pm
1902	4	9	18	17	0	11	orig.time=2pm
1902	4	10	18	17	0	14	orig.time=2pm
1902	4	12	18	17	0	14	orig.time=2pm
1902	4	13	18	17	0	15	orig.time=2pm
1902	4	14	18	17	0	14	orig.time=2pm
1902	4	16	18	17	0	15	orig.time=2pm
1902	4	19	18	17	0	13	orig.time=2pm
1902	4	20	18	17	0	13	orig.time=2pm
1902	4	24	18	17	0	10	orig.time=2pm
1902	4	26	18	17	0	13	orig.time=2pm
1902	4	27	18	17	0	12	orig.time=2pm
1902	4	29	18	17	0	17	orig.time=2pm
1902	5	3	18	17	0	9	orig.time=2pm
1902	5	4	18	17	0	8	orig.time=2pm
1902	5	6	18	17	0	8	orig.time=2pm
1902	5	8	18	17	0	8	orig.time=2pm
1902	5	16	18	17	0	14	orig.time=2pm
1902	5	17	18	17	0	9	orig.time=2pm
1902	5	18	18	17	0	10	orig.time=2pm
1902	5	19	18	17	0	13	orig.time=2pm
1902	5	20	18	17	0	10	orig.time=2pm
1902	5	21	18	17	0	15	orig.time=2pm
1902	5	22	18	17	0	13	orig.time=2pm
1902	5	23	18	17	0	12	orig.time=2pm
1902	5	24	18	17	0	10	orig.time=2pm
1902	5	25	18	17	0	13	orig.time=2pm
1902	5	26	18	17	0	10	orig.time=2pm
1902	5	27	18	17	0	11	orig.time=2pm
1902	5	28	18	17	0	10	orig.time=2pm
1902	5	29	18	17	0	7	orig.time=2pm
1902	5	30	18	17	0	9	orig.time=2pm
1902	5	31	18	17	0	4	orig.time=2pm
1902	6	1	18	17	0	3	orig.time=2pm
1902	6	3	18	17	0	3	orig.time=2pm
1902	6	4	18	17	0	9	orig.time=2pm
1902	6	5	18	17	0	3	orig.time=2pm
1902	6	6	18	17	0	3	orig.time=2pm
1902	6	7	18	17	0	0	orig.time=2pm
1902	6	8	18	17	0	1	orig.time=2pm
1902	6	9	18	17	0	4	orig.time=2pm
1902	6	11	18	17	0	3	orig.time=2pm
1902	6	21	18	17	0	7	orig.time=2pm
1902	6	22	18	17	0	7	orig.time=2pm
1902	6	23	18	17	0	6	orig.time=2pm
1902	6	24	18	17	0	6	orig.time=2pm
1902	6	25	18	17	0	8	orig.time=2pm
1902	7	1	18	17	0	5	orig.time=2pm
1902	7	2	18	17	0	5	orig.time=2pm
1902	7	16	18	17	0	-1	orig.time=2pm
1902	8	30	18	17	0	9	orig.time=2pm
1902	8	31	18	17	0	10	orig.time=2pm
1902	9	2	11	17	0	5	orig.time=7am
1902	9	3	11	17	0	4	orig.time=7am
1902	9	4	11	17	0	6	orig.time=7am
1902	9	5	11	17	0	6	orig.time=7am
