SEF	0.0.1
ID	DWR_Camarones
Name	Camarones
Lat	
Lon	
Alt	
Source	C3S_SouthAmerica
Repo	
Var	mslp
Units	Pa
Meta	
Year	Month	Day	HHMM	TimeF	Value	Meta
1902	2	21	1817	0	101045	Orig=757.9mm
1902	2	22	1817	0	101018	Orig=757.7mm
1902	2	23	1817	0	100472	Orig=753.6mm
1902	2	24	1817	0	99778	Orig=748.4mm
1902	2	25	1817	0	100712	Orig=755.4mm
1902	2	26	1817	0	100498	Orig=753.8mm
1902	2	27	1817	0	100112	Orig=750.9mm
1902	2	28	1817	0	100712	Orig=755.4mm
1902	3	1	1817	0	101565	Orig=761.8mm
1902	3	2	1817	0	100725	Orig=755.5mm
1902	3	3	1817	0	100392	Orig=753mm
1902	3	4	1817	0	100565	Orig=754.3mm
1902	3	5	1817	0	101365	Orig=760.3mm
1902	3	6	1817	0	101458	Orig=761mm
1902	3	7	1817	0	101965	Orig=764.8mm
1902	3	8	1817	0	102392	Orig=768mm
1902	3	9	1817	0	102218	Orig=766.7mm
1902	3	10	1817	0	101112	Orig=758.4mm
1902	3	12	1817	0	101192	Orig=759mm
1902	3	13	1817	0	100685	Orig=755.2mm
1902	3	14	1817	0	100925	Orig=757mm
1902	3	15	1817	0	100445	Orig=753.4mm
1902	3	16	1817	0	100445	Orig=753.4mm
1902	3	19	1817	0	101512	Orig=761.4mm
1902	3	21	1817	0	100312	Orig=752.4mm
1902	3	22	1817	0	100992	Orig=757.5mm
1902	3	23	1817	0	100685	Orig=755.2mm
1902	3	24	1817	0	100578	Orig=754.4mm
1902	3	25	1817	0	101992	Orig=765mm
1902	3	26	1817	0	102405	Orig=768.1mm
1902	3	27	1817	0	101778	Orig=763.4mm
1902	3	30	1817	0	100405	Orig=753.1mm
1902	3	31	1817	0	99752	Orig=748.2mm
1902	4	2	1817	0	100352	Orig=752.7mm
1902	4	3	1817	0	101725	Orig=763mm
1902	4	4	1817	0	100712	Orig=755.4mm
1902	4	5	1817	0	102045	Orig=765.4mm
1902	4	6	1817	0	100805	Orig=756.1mm
1902	4	7	1817	0	99752	Orig=748.2mm
1902	4	8	1817	0	100952	Orig=757.2mm
1902	4	9	1817	0	100978	Orig=757.4mm
1902	4	10	1817	0	100552	Orig=754.2mm
1902	4	12	1817	0	99165	Orig=743.8mm
1902	4	13	1817	0	99685	Orig=747.7mm
1902	4	14	1817	0	99285	Orig=744.7mm
1902	4	16	1817	0	100685	Orig=755.2mm
1902	4	19	1817	0	99339	Orig=745.1mm
1902	4	20	1817	0	99485	Orig=746.2mm
1902	4	24	1817	0	100458	Orig=753.5mm
1902	4	26	1817	0	102112	Orig=765.9mm
1902	4	27	1817	0	101178	Orig=758.9mm
1902	4	29	1817	0	101258	Orig=759.5mm
1902	5	3	1817	0	99952	Orig=749.7mm
1902	5	4	1817	0	101618	Orig=762.2mm
1902	5	6	1817	0	101845	Orig=763.9mm
1902	5	8	1817	0	101418	Orig=760.7mm
1902	5	16	1817	0	99965	Orig=749.8mm
1902	5	17	1817	0	100632	Orig=754.8mm
1902	5	18	1817	0	100312	Orig=752.4mm
1902	5	19	1817	0	99365	Orig=745.3mm
1902	5	20	1817	0	100165	Orig=751.3mm
1902	5	21	1817	0	99792	Orig=748.5mm
1902	5	22	1817	0	100312	Orig=752.4mm
1902	5	23	1817	0	100018	Orig=750.2mm
1902	5	24	1817	0	100285	Orig=752.2mm
1902	5	25	1817	0	99179	Orig=743.9mm
1902	5	26	1817	0	99965	Orig=749.8mm
1902	5	27	1817	0	99978	Orig=749.9mm
1902	5	28	1817	0	100018	Orig=750.2mm
1902	5	29	1817	0	100392	Orig=753mm
1902	5	30	1817	0	99778	Orig=748.4mm
1902	5	31	1817	0	100072	Orig=750.6mm
1902	6	1	1817	0	99645	Orig=747.4mm
1902	6	3	1817	0	100298	Orig=752.3mm
1902	6	4	1817	0	99712	Orig=747.9mm
1902	6	5	1817	0	99725	Orig=748mm
1902	6	6	1817	0	99818	Orig=748.7mm
1902	6	7	1817	0	101032	Orig=757.8mm
1902	6	8	1817	0	100952	Orig=757.2mm
1902	6	9	1817	0	101445	Orig=760.9mm
1902	6	10	1817	0	100485	Orig=753.7mm
1902	6	12	1817	0	101392	Orig=760.5mm
1902	6	13	1817	0	102365	Orig=767.8mm
1902	6	14	1817	0	102365	Orig=767.8mm
1902	6	15	1817	0	100098	Orig=750.8mm
1902	6	16	1817	0	100872	Orig=756.6mm
1902	6	17	1817	0	100805	Orig=756.1mm
1902	6	18	1817	0	100925	Orig=757mm
1902	6	19	1817	0	102152	Orig=766.2mm
1902	6	20	1817	0	101352	Orig=760.2mm
1902	6	21	1817	0	101952	Orig=764.7mm
1902	6	22	1817	0	101592	Orig=762mm
1902	6	23	1817	0	101338	Orig=760.1mm
1902	6	24	1817	0	100792	Orig=756mm
1902	6	25	1817	0	100325	Orig=752.5mm
1902	6	26	1817	0	101018	Orig=757.7mm
1902	6	27	1817	0	101685	Orig=762.7mm
1902	6	28	1817	0	102192	Orig=766.5mm
1902	6	29	1817	0	100765	Orig=755.8mm
1902	6	30	1817	0	100258	Orig=752mm
1902	7	1	1817	0	101072	Orig=758.1mm
1902	7	2	1817	0	101925	Orig=764.5mm
1902	7	4	1817	0	100725	Orig=755.5mm
1902	7	5	1817	0	101392	Orig=760.5mm
1902	7	6	1817	0	101858	Orig=764mm
1902	7	7	1817	0	99845	Orig=748.9mm
1902	7	8	1817	0	98805	Orig=741.1mm
1902	7	9	1817	0	99525	Orig=746.5mm
1902	7	10	1817	0	99459	Orig=746mm
1902	7	11	1817	0	101605	Orig=762.1mm
1902	7	12	1817	0	102458	Orig=768.5mm
1902	7	13	1817	0	102605	Orig=769.6mm
1902	7	15	1817	0	99805	Orig=748.6mm
1902	7	16	1817	0	100565	Orig=754.3mm
1902	7	17	1817	0	100658	Orig=755mm
1902	7	18	1817	0	100672	Orig=755.1mm
1902	7	19	1817	0	101258	Orig=759.5mm
1902	7	20	1817	0	101498	Orig=761.3mm
1902	7	21	1817	0	99272	Orig=744.6mm
1902	7	23	1817	0	98872	Orig=741.6mm
1902	7	24	1817	0	100085	Orig=750.7mm
1902	7	25	1817	0	100605	Orig=754.6mm
1902	7	26	1817	0	100405	Orig=753.1mm
1902	7	27	1817	0	102885	Orig=771.7mm
1902	7	28	1817	0	103245	Orig=774.4mm
1902	7	29	1817	0	101338	Orig=760.1mm
1902	7	30	1817	0	99672	Orig=747.6mm
1902	7	31	1817	0	99538	Orig=746.6mm
1902	8	1	1817	0	101378	Orig=760.4mm
1902	8	3	1817	0	101405	Orig=760.6mm
1902	8	4	1817	0	101058	Orig=758mm
1902	8	5	1817	0	99898	Orig=749.3mm
1902	8	6	1817	0	100098	Orig=750.8mm
1902	8	7	1817	0	99885	Orig=749.2mm
1902	8	8	1817	0	98499	Orig=738.8mm
1902	8	9	1817	0	99325	Orig=745mm
1902	8	10	1817	0	99139	Orig=743.6mm
1902	8	11	1817	0	99898	Orig=749.3mm
1902	8	12	1817	0	100712	Orig=755.4mm
1902	8	13	1817	0	100525	Orig=754mm
1902	8	14	1817	0	101872	Orig=764.1mm
1902	8	15	1817	0	102352	Orig=767.7mm
1902	8	16	1817	0	103112	Orig=773.4mm
1902	8	17	1817	0	101525	Orig=761.5mm
1902	8	18	1817	0	99845	Orig=748.9mm
1902	8	19	1817	0	99379	Orig=745.4mm
1902	8	20	1817	0	99752	Orig=748.2mm
1902	8	21	1817	0	100312	Orig=752.4mm
1902	8	22	1817	0	101272	Orig=759.6mm
1902	8	23	1817	0	101898	Orig=764.3mm
1902	8	25	1817	0	103018	Orig=772.7mm
1902	8	26	1817	0	102138	Orig=766.1mm
1902	8	27	1817	0	101485	Orig=761.2mm
1902	8	29	1817	0	102338	Orig=767.6mm
1902	8	30	1817	0	102432	Orig=768.3mm
1902	8	31	1817	0	101632	Orig=762.3mm
1902	9	2	1117	0	101672	Orig=762.6mm
1902	9	3	1117	0	101965	Orig=764.8mm
1902	9	4	1117	0	102005	Orig=765.1mm
1902	9	5	1117	0	100125	Orig=751mm
1902	9	6	1117	0	100805	Orig=756.1mm
1902	9	7	1117	0	100872	Orig=756.6mm
1902	9	8	1117	0	100752	Orig=755.7mm
1902	9	10	1117	0	102392	Orig=768mm
1902	9	11	1117	0	102752	Orig=770.7mm
1902	9	12	1117	0	102485	Orig=768.7mm
1902	9	13	1117	0	100392	Orig=753mm
1902	9	14	1117	0	101018	Orig=757.7mm
1902	9	15	1117	0	101405	Orig=760.6mm
1902	9	16	1117	0	100725	Orig=755.5mm
1902	9	17	1117	0	99778	Orig=748.4mm
1902	9	18	1117	0	99912	Orig=749.4mm
1902	9	19	1117	0	100952	Orig=757.2mm
1902	9	20	1117	0	100712	Orig=755.4mm
1902	9	21	1117	0	101498	Orig=761.3mm
1902	9	22	1117	0	101925	Orig=764.5mm
1902	9	24	1117	0	102552	Orig=769.2mm
1902	9	25	1117	0	100725	Orig=755.5mm
1902	9	26	1117	0	100112	Orig=750.9mm
1902	9	27	1117	0	101018	Orig=757.7mm
1902	9	28	1117	0	101698	Orig=762.8mm
1902	9	29	1117	0	101752	Orig=763.2mm
1902	9	30	1117	0	103018	Orig=772.7mm
1902	10	1	1117	0	102952	Orig=772.2mm
1902	10	2	1117	0	102845	Orig=771.4mm
1902	10	3	1117	0	102325	Orig=767.5mm
1902	10	5	1117	0	101392	Orig=760.5mm
1902	10	7	1117	0	102512	Orig=768.9mm
1902	10	8	1117	0	101298	Orig=759.8mm
1902	10	9	1117	0	100992	Orig=757.5mm
1902	10	10	1117	0	101472	Orig=761.1mm
1902	10	11	1117	0	102192	Orig=766.5mm
1902	10	12	1117	0	102352	Orig=767.7mm
1902	10	13	1117	0	101192	Orig=759mm
1902	10	14	1117	0	101098	Orig=758.3mm
1902	10	15	1117	0	100992	Orig=757.5mm
1902	10	16	1117	0	100858	Orig=756.5mm
1902	10	17	1117	0	101098	Orig=758.3mm
1902	10	18	1117	0	100845	Orig=756.4mm
1902	10	19	1117	0	100338	Orig=752.6mm
1902	10	20	1117	0	100232	Orig=751.8mm
1902	10	21	1117	0	100645	Orig=754.9mm
1902	10	22	1117	0	99658	Orig=747.5mm
1902	10	23	1117	0	100525	Orig=754mm
1902	10	24	1117	0	99872	Orig=749.1mm
1902	10	25	1117	0	100418	Orig=753.2mm
1902	10	26	1117	0	100618	Orig=754.7mm
1902	10	27	1117	0	100458	Orig=753.5mm
1902	10	28	1117	0	101152	Orig=758.7mm
1902	10	29	1117	0	100298	Orig=752.3mm
1902	10	30	1117	0	101192	Orig=759mm
1902	10	31	1117	0	100725	Orig=755.5mm
1902	11	1	1117	0	100685	Orig=755.2mm
1902	11	2	1117	0	101232	Orig=759.3mm
1902	11	3	1117	0	100392	Orig=753mm
1902	11	4	1117	0	99698	Orig=747.8mm
1902	11	5	1117	0	100552	Orig=754.2mm
1902	11	6	1117	0	100312	Orig=752.4mm
1902	11	7	1117	0	100538	Orig=754.1mm
1902	11	8	1117	0	101352	Orig=760.2mm
1902	11	9	1117	0	101352	Orig=760.2mm
1902	11	10	1117	0	100858	Orig=756.5mm
1902	11	11	1117	0	100645	Orig=754.9mm
1902	11	12	1117	0	100645	Orig=754.9mm
1902	11	13	1117	0	100938	Orig=757.1mm
1902	11	14	1117	0	100325	Orig=752.5mm
1902	11	15	1117	0	100672	Orig=755.1mm
1902	11	16	1117	0	101472	Orig=761.1mm
1902	11	17	1117	0	99992	Orig=750mm
1902	11	18	1117	0	100992	Orig=757.5mm
1902	11	19	1117	0	101725	Orig=763mm
1902	11	20	1117	0	100525	Orig=754mm
1902	11	21	1117	0	100125	Orig=751mm
1902	11	22	1117	0	100165	Orig=751.3mm
1902	11	23	1117	0	100992	Orig=757.5mm
1902	11	24	1117	0	99912	Orig=749.4mm
1902	11	25	1117	0	101352	Orig=760.2mm
1902	11	26	1117	0	102285	Orig=767.2mm
