SEF	1.0.0
ID	DWR_Ceres
Name	Ceres
Lat	-29.8817
Lon	-61.9461
Alt	NA
Source	C3S_SouthAmerica
Link	https://data-rescue.copernicus-climate.eu/lso/1085091
Vbl	mslp
Stat	point
Units	hPa
Meta	Data policy=GNU GPL v3.0
Year	Month	Day	Hour	Minute	Period	Value	Meta
1902	9	2	11	17	0	1005.7	Orig=754.3mm|orig.time=7am
1902	9	5	11	17	0	1016.4	Orig=762.4mm|orig.time=7am
1902	9	6	11	17	0	1008.2	Orig=756.2mm|orig.time=7am
1902	9	7	11	17	0	1009.5	Orig=757.2mm|orig.time=7am
1902	9	10	11	17	0	1017.6	Orig=763.3mm|orig.time=7am
1902	9	11	11	17	0	1026.3	Orig=769.8mm|orig.time=7am
1902	9	12	11	17	0	1030.3	Orig=772.8mm|orig.time=7am
1902	9	13	11	17	0	1022.7	Orig=767.1mm|orig.time=7am
1902	9	14	11	17	0	1013	Orig=759.8mm|orig.time=7am
1902	9	15	11	17	0	1017.8	Orig=763.4mm|orig.time=7am
1902	9	16	11	17	0	1012.2	Orig=759.2mm|orig.time=7am
1902	9	17	11	17	0	1012.5	Orig=759.4mm|orig.time=7am
1902	9	18	11	17	0	1003.1	Orig=752.4mm|orig.time=7am
1902	9	20	11	17	0	1018.4	Orig=763.9mm|orig.time=7am
1902	9	21	11	17	0	1021.9	Orig=766.5mm|orig.time=7am
1902	9	22	11	17	0	1022.3	Orig=766.8mm|orig.time=7am
1902	9	23	11	17	0	1021.6	Orig=766.3mm|orig.time=7am
1902	9	24	11	17	0	1032.3	Orig=774.3mm|orig.time=7am
1902	9	25	11	17	0	1031.4	Orig=773.6mm|orig.time=7am
1902	9	26	11	17	0	1021.6	Orig=766.3mm|orig.time=7am
1902	9	27	11	17	0	1014.2	Orig=760.7mm|orig.time=7am
1902	9	28	11	17	0	1013.4	Orig=760.1mm|orig.time=7am
1902	9	29	11	17	0	1018.4	Orig=763.9mm|orig.time=7am
1902	9	30	11	17	0	1023.4	Orig=767.6mm|orig.time=7am
1902	10	1	11	17	0	1040	Orig=780.1mm|orig.time=7am
1902	10	2	11	17	0	1037.8	Orig=778.4mm|orig.time=7am
1902	10	3	11	17	0	1033.6	Orig=775.3mm|orig.time=7am
1902	10	7	11	17	0	1024	Orig=768.1mm|orig.time=7am
1902	10	8	11	17	0	1029.2	Orig=772mm|orig.time=7am
1902	10	9	11	17	0	1021.5	Orig=766.2mm|orig.time=7am
1902	10	10	11	17	0	1014.6	Orig=761mm|orig.time=7am
1902	10	11	11	17	0	1021.5	Orig=766.2mm|orig.time=7am
1902	10	12	11	17	0	1024.8	Orig=768.7mm|orig.time=7am
1902	10	13	11	17	0	1026.8	Orig=770.2mm|orig.time=7am
1902	10	14	11	17	0	1021.2	Orig=766mm|orig.time=7am
1902	10	15	11	17	0	1020.7	Orig=765.6mm|orig.time=7am
1902	10	16	11	17	0	1017.1	Orig=762.9mm|orig.time=7am
1902	10	17	11	17	0	1014.2	Orig=760.7mm|orig.time=7am
1902	10	18	11	17	0	1017.6	Orig=763.3mm|orig.time=7am
1902	10	19	11	17	0	1011.9	Orig=759mm|orig.time=7am
1902	10	20	11	17	0	1012.2	Orig=759.2mm|orig.time=7am
1902	10	22	11	17	0	1006.9	Orig=755.2mm|orig.time=7am
1902	10	23	11	17	0	1007.8	Orig=755.9mm|orig.time=7am
1902	10	24	11	17	0	1005.9	Orig=754.5mm|orig.time=7am
1902	10	25	11	17	0	1012.3	Orig=759.3mm|orig.time=7am
1902	10	26	11	17	0	1006.5	Orig=754.9mm|orig.time=7am
1902	10	27	11	17	0	1020	Orig=765.1mm|orig.time=7am
1902	10	29	11	17	0	1015.5	Orig=761.7mm|orig.time=7am
1902	10	30	11	17	0	1019.5	Orig=764.7mm|orig.time=7am
1902	10	31	11	17	0	1021.2	Orig=766mm|orig.time=7am
1902	11	1	11	17	0	1009.9	Orig=757.5mm|orig.time=7am
1902	11	2	11	17	0	1017.1	Orig=762.9mm|orig.time=7am
1902	11	3	11	17	0	1013.9	Orig=760.5mm|orig.time=7am
1902	11	4	11	17	0	1012.5	Orig=759.4mm|orig.time=7am
1902	11	5	11	17	0	1009.9	Orig=757.5mm|orig.time=7am
1902	11	6	11	17	0	1000.6	Orig=750.5mm|orig.time=7am
1902	11	7	11	17	0	1001.8	Orig=751.4mm|orig.time=7am
1902	11	8	11	17	0	1005.4	Orig=754.1mm|orig.time=7am
1902	11	10	11	17	0	1022.2	Orig=766.7mm|orig.time=7am
1902	11	12	11	17	0	1014.2	Orig=760.7mm|orig.time=7am
1902	11	13	11	17	0	1011.7	Orig=758.8mm|orig.time=7am
1902	11	14	11	17	0	1011	Orig=758.3mm|orig.time=7am
1902	11	15	11	17	0	1013.9	Orig=760.5mm|orig.time=7am
1902	11	16	11	17	0	1020.2	Orig=765.2mm|orig.time=7am
1902	11	17	11	17	0	1018.2	Orig=763.7mm|orig.time=7am
1902	11	18	11	17	0	1012.3	Orig=759.3mm|orig.time=7am
1902	11	19	11	17	0	1013.7	Orig=760.3mm|orig.time=7am
1902	11	20	11	17	0	1015.8	Orig=761.9mm|orig.time=7am
1902	11	21	11	17	0	1012.3	Orig=759.3mm|orig.time=7am
1902	11	23	11	17	0	1012.3	Orig=759.3mm|orig.time=7am
1902	11	24	11	17	0	1014.6	Orig=761mm|orig.time=7am
1902	11	25	11	17	0	1007.4	Orig=755.6mm|orig.time=7am
1902	11	26	11	17	0	1018.6	Orig=764mm|orig.time=7am
1902	12	7	11	17	0	1009.8	Orig=757.4mm|orig.time=7am
1902	12	9	11	17	0	1015.1	Orig=761.4mm|orig.time=7am
1902	12	10	11	17	0	1010.9	Orig=758.2mm|orig.time=7am
1902	12	12	11	17	0	1005.7	Orig=754.3mm|orig.time=7am
1902	12	13	11	17	0	1014.7	Orig=761.1mm|orig.time=7am
1902	12	14	11	17	0	1021.6	Orig=766.3mm|orig.time=7am
1902	12	17	11	17	0	1010.6	Orig=758mm|orig.time=7am
1902	12	18	11	17	0	1009.5	Orig=757.2mm|orig.time=7am
1902	12	19	11	17	0	1012.9	Orig=759.7mm|orig.time=7am
1902	12	20	11	17	0	1013.3	Orig=760mm|orig.time=7am
1902	12	21	11	17	0	1012.7	Orig=759.6mm|orig.time=7am
1902	12	22	11	17	0	1007.1	Orig=755.4mm|orig.time=7am
1902	12	23	11	17	0	1007.1	Orig=755.4mm|orig.time=7am
1902	12	24	11	17	0	1003.4	Orig=752.6mm|orig.time=7am
1902	12	25	11	17	0	1016.2	Orig=762.2mm|orig.time=7am
1902	12	26	11	17	0	1010.7	Orig=758.1mm|orig.time=7am
1902	12	27	11	17	0	1010.7	Orig=758.1mm|orig.time=7am
1902	12	28	11	17	0	1012.7	Orig=759.6mm|orig.time=7am
1902	12	29	11	17	0	1014.7	Orig=761.1mm|orig.time=7am
1902	12	30	11	17	0	1022.3	Orig=766.8mm|orig.time=7am
1902	12	31	11	17	0	1023	Orig=767.3mm|orig.time=7am
