SEF	0.2.0
ID	DWR_Chilecito
Name	Chilecito
Lat	-29.166667
Lon	-67.5
Alt	NA
Source	C3S_SouthAmerica
Link	https://data-rescue.copernicus-climate.eu/lso/1085115
Vbl	mslp
Stat	point
Units	Pa
Meta	Data policy=GNU GPL v3.0
Year	Month	Day	Hour	Minute	Period	Value	Meta
1902	2	21	18	17	0	101098	Orig=758.3mm|orig.time=2pm
1902	2	22	18	17	0	101445	Orig=760.9mm|orig.time=2pm
1902	2	23	18	17	0	101352	Orig=760.2mm|orig.time=2pm
1902	2	24	18	17	0	100712	Orig=755.4mm|orig.time=2pm
1902	2	25	18	17	0	100498	Orig=753.8mm|orig.time=2pm
1902	2	26	18	17	0	100578	Orig=754.4mm|orig.time=2pm
1902	2	27	18	17	0	100378	Orig=752.9mm|orig.time=2pm
1902	3	1	18	17	0	101005	Orig=757.6mm|orig.time=2pm
1902	3	2	18	17	0	100458	Orig=753.5mm|orig.time=2pm
1902	3	3	18	17	0	100445	Orig=753.4mm|orig.time=2pm
1902	3	4	18	17	0	100525	Orig=754mm|orig.time=2pm
1902	3	5	18	17	0	100952	Orig=757.2mm|orig.time=2pm
1902	3	6	18	17	0	100832	Orig=756.3mm|orig.time=2pm
1902	3	7	18	17	0	100778	Orig=755.9mm|orig.time=2pm
1902	3	8	18	17	0	101058	Orig=758mm|orig.time=2pm
1902	3	9	18	17	0	101058	Orig=758mm|orig.time=2pm
1902	3	10	18	17	0	100805	Orig=756.1mm|orig.time=2pm
1902	3	12	18	17	0	100365	Orig=752.8mm|orig.time=2pm
1902	3	13	18	17	0	100992	Orig=757.5mm|orig.time=2pm
1902	3	14	18	17	0	101125	Orig=758.5mm|orig.time=2pm
1902	3	15	18	17	0	100552	Orig=754.2mm|orig.time=2pm
1902	3	16	18	17	0	100818	Orig=756.2mm|orig.time=2pm
1902	3	19	18	17	0	100672	Orig=755.1mm|orig.time=2pm
1902	3	21	18	17	0	100872	Orig=756.6mm|orig.time=2pm
1902	3	22	18	17	0	100965	Orig=757.3mm|orig.time=2pm
1902	3	23	18	17	0	101032	Orig=757.8mm|orig.time=2pm
1902	3	24	18	17	0	100618	Orig=754.7mm|orig.time=2pm
1902	3	25	18	17	0	100538	Orig=754.1mm|orig.time=2pm
1902	3	26	18	17	0	101872	Orig=764.1mm|orig.time=2pm
1902	3	27	18	17	0	101525	Orig=761.5mm|orig.time=2pm
1902	3	30	18	17	0	101365	Orig=760.3mm|orig.time=2pm
1902	4	2	18	17	0	100872	Orig=756.6mm|orig.time=2pm
1902	4	3	18	17	0	101338	Orig=760.1mm|orig.time=2pm
1902	4	4	18	17	0	101232	Orig=759.3mm|orig.time=2pm
1902	4	5	18	17	0	101578	Orig=761.9mm|orig.time=2pm
1902	4	7	18	17	0	101165	Orig=758.8mm|orig.time=2pm
1902	4	8	18	17	0	100992	Orig=757.5mm|orig.time=2pm
1902	4	9	18	17	0	101098	Orig=758.3mm|orig.time=2pm
1902	4	10	18	17	0	100752	Orig=755.7mm|orig.time=2pm
1902	4	12	18	17	0	100885	Orig=756.7mm|orig.time=2pm
1902	4	13	18	17	0	100832	Orig=756.3mm|orig.time=2pm
1902	4	14	18	17	0	100952	Orig=757.2mm|orig.time=2pm
1902	4	16	18	17	0	100925	Orig=757mm|orig.time=2pm
1902	4	19	18	17	0	101018	Orig=757.7mm|orig.time=2pm
1902	4	20	18	17	0	100565	Orig=754.3mm|orig.time=2pm
1902	4	24	18	17	0	100832	Orig=756.3mm|orig.time=2pm
1902	4	26	18	17	0	101632	Orig=762.3mm|orig.time=2pm
1902	4	27	18	17	0	101352	Orig=760.2mm|orig.time=2pm
1902	4	29	18	17	0	101392	Orig=760.5mm|orig.time=2pm
1902	5	3	18	17	0	100365	Orig=752.8mm|orig.time=2pm
1902	5	4	18	17	0	100805	Orig=756.1mm|orig.time=2pm
1902	5	6	18	17	0	101085	Orig=758.2mm|orig.time=2pm
1902	5	8	18	17	0	100792	Orig=756mm|orig.time=2pm
1902	5	16	18	17	0	102245	Orig=766.9mm|orig.time=2pm
1902	5	17	18	17	0	101325	Orig=760mm|orig.time=2pm
1902	5	18	18	17	0	101485	Orig=761.2mm|orig.time=2pm
1902	5	19	18	17	0	101418	Orig=760.7mm|orig.time=2pm
1902	5	21	18	17	0	101085	Orig=758.2mm|orig.time=2pm
1902	5	22	18	17	0	101152	Orig=758.7mm|orig.time=2pm
1902	5	23	18	17	0	100925	Orig=757mm|orig.time=2pm
1902	5	24	18	17	0	100538	Orig=754.1mm|orig.time=2pm
1902	5	25	18	17	0	100365	Orig=752.8mm|orig.time=2pm
1902	5	26	18	17	0	100738	Orig=755.6mm|orig.time=2pm
1902	5	27	18	17	0	100565	Orig=754.3mm|orig.time=2pm
1902	5	28	18	17	0	101472	Orig=761.1mm|orig.time=2pm
1902	5	29	18	17	0	101805	Orig=763.6mm|orig.time=2pm
1902	5	30	18	17	0	101232	Orig=759.3mm|orig.time=2pm
1902	5	31	18	17	0	101192	Orig=759mm|orig.time=2pm
1902	6	1	18	17	0	100498	Orig=753.8mm|orig.time=2pm
1902	6	2	18	17	0	100165	Orig=751.3mm|orig.time=2pm
1902	6	4	18	17	0	101938	Orig=764.6mm|orig.time=2pm
1902	6	5	18	17	0	101738	Orig=763.1mm|orig.time=2pm
1902	6	7	18	17	0	101792	Orig=763.5mm|orig.time=2pm
1902	6	8	18	17	0	101538	Orig=761.6mm|orig.time=2pm
