SEF	1.0.0
ID	DWR_Chilecito_Rj
Name	RIOJA-Chilecito
Lat	-29.1611
Lon	-67.4962
Alt	NA
Source	C3S_SouthAmerica
Link	https://data-rescue.copernicus-climate.eu/lso/1085818
Vbl	dd
Stat	point
Units	degree
Meta	Data policy=GNU GPL v3.0
Year	Month	Day	Hour	Minute	Period	Value	Meta
1902	9	2	11	17	0	0	Orig=N|orig.time=7am
1902	9	5	11	17	0	270	Orig=W|orig.time=7am
1902	9	6	11	17	0	270	Orig=W|orig.time=7am
1902	9	10	11	17	0	180	Orig=S|orig.time=7am
1902	9	11	11	17	0	180	Orig=S|orig.time=7am
1902	9	13	11	17	0	180	Orig=S|orig.time=7am
1902	9	16	11	17	0	180	Orig=S|orig.time=7am
1902	9	17	11	17	0	270	Orig=W|orig.time=7am
1902	9	18	11	17	0	270	Orig=W|orig.time=7am
1902	9	19	11	17	0	180	Orig=S|orig.time=7am
1902	9	21	11	17	0	270	Orig=W|orig.time=7am
1902	9	22	11	17	0	180	Orig=S|orig.time=7am
1902	9	23	11	17	0	180	Orig=S|orig.time=7am
1902	9	24	11	17	0	225	Orig=SW|orig.time=7am
1902	9	26	11	17	0	180	Orig=S|orig.time=7am
1902	9	30	11	17	0	180	Orig=S|orig.time=7am
1902	10	1	11	17	0	180	Orig=S|orig.time=7am
1902	10	3	11	17	0	225	Orig=SW|orig.time=7am
1902	10	12	11	17	0	180	Orig=S|orig.time=7am
1902	10	14	11	17	0	180	Orig=S|orig.time=7am
1902	10	15	11	17	0	225	Orig=SW|orig.time=7am
1902	10	16	11	17	0	180	Orig=S|orig.time=7am
1902	10	19	11	17	0	180	Orig=S|orig.time=7am
1902	10	25	11	17	0	180	Orig=S|orig.time=7am
1902	10	26	11	17	0	180	Orig=S|orig.time=7am
1902	10	28	11	17	0	180	Orig=S|orig.time=7am
1902	10	29	11	17	0	180	Orig=S|orig.time=7am
1902	10	30	11	17	0	180	Orig=S|orig.time=7am
1902	10	31	11	17	0	180	Orig=S|orig.time=7am
1902	11	2	11	17	0	180	Orig=S|orig.time=7am
1902	11	5	11	17	0	180	Orig=S|orig.time=7am
1902	11	6	11	17	0	0	Orig=N|orig.time=7am
1902	11	7	11	17	0	0	Orig=N|orig.time=7am
1902	11	9	11	17	0	180	Orig=S|orig.time=7am
1902	11	10	11	17	0	180	Orig=S|orig.time=7am
1902	11	11	11	17	0	180	Orig=S|orig.time=7am
1902	11	13	11	17	0	180	Orig=S|orig.time=7am
1902	11	15	11	17	0	180	Orig=S|orig.time=7am
1902	11	17	11	17	0	225	Orig=SW|orig.time=7am
1902	11	18	11	17	0	180	Orig=S|orig.time=7am
1902	11	22	11	17	0	180	Orig=S|orig.time=7am
1902	11	25	11	17	0	180	Orig=S|orig.time=7am
1902	11	26	11	17	0	225	Orig=SW|orig.time=7am
1902	11	27	11	17	0	225	Orig=SW|orig.time=7am
1902	11	29	11	17	0	180	Orig=S|orig.time=7am
1902	12	1	11	17	0	180	Orig=S|orig.time=7am
1902	12	4	11	17	0	225	Orig=SW|orig.time=7am
1902	12	6	11	17	0	180	Orig=S|orig.time=7am
1902	12	8	11	17	0	180	Orig=S|orig.time=7am
1902	12	10	11	17	0	180	Orig=S|orig.time=7am
1902	12	11	11	17	0	180	Orig=S|orig.time=7am
1902	12	13	11	17	0	135	Orig=SE|orig.time=7am
1902	12	16	11	17	0	180	Orig=S|orig.time=7am
1902	12	18	11	17	0	180	Orig=S|orig.time=7am
1902	12	19	11	17	0	180	Orig=S|orig.time=7am
1902	12	23	11	17	0	180	Orig=S|orig.time=7am
1902	12	28	11	17	0	180	Orig=S|orig.time=7am
1902	12	29	11	17	0	180	Orig=S|orig.time=7am
1902	12	30	11	17	0	180	Orig=S|orig.time=7am
1902	12	31	11	17	0	180	Orig=S|orig.time=7am
