SEF	1.0.0
ID	DWR_Chilecito_Rj
Name	RIOJA-Chilecito
Lat	-29.1611
Lon	-67.4962
Alt	NA
Source	C3S_SouthAmerica
Link	https://data-rescue.copernicus-climate.eu/lso/1085811
Vbl	mslp
Stat	point
Units	hPa
Meta	Data policy=GNU GPL v3.0
Year	Month	Day	Hour	Minute	Period	Value	Meta
1902	9	2	11	17	0	1028.7	Orig=771.6mm|orig.time=7am
1902	9	4	11	17	0	1026.2	Orig=769.7mm|orig.time=7am
1902	9	5	11	17	0	1018	Orig=763.6mm|orig.time=7am
1902	9	6	11	17	0	1007.5	Orig=755.7mm|orig.time=7am
1902	9	10	11	17	0	1021	Orig=765.8mm|orig.time=7am
1902	9	11	11	17	0	1026.3	Orig=769.8mm|orig.time=7am
1902	9	12	11	17	0	1027.6	Orig=770.8mm|orig.time=7am
1902	9	16	11	17	0	1015.8	Orig=761.9mm|orig.time=7am
1902	9	17	11	17	0	1013.8	Orig=760.4mm|orig.time=7am
1902	9	18	11	17	0	1009.4	Orig=757.1mm|orig.time=7am
1902	9	19	11	17	0	1020.3	Orig=765.3mm|orig.time=7am
1902	9	20	11	17	0	1021.9	Orig=766.5mm|orig.time=7am
1902	9	22	11	17	0	1025.8	Orig=769.4mm|orig.time=7am
1902	9	23	11	17	0	1024	Orig=768.1mm|orig.time=7am
1902	9	25	11	17	0	1030.7	Orig=773.1mm|orig.time=7am
1902	9	26	11	17	0	1024.8	Orig=768.7mm|orig.time=7am
1902	9	27	11	17	0	1019.2	Orig=764.5mm|orig.time=7am
1902	9	30	11	17	0	1022.8	Orig=767.2mm|orig.time=7am
1902	10	1	11	17	0	1041.8	Orig=781.4mm|orig.time=7am
1902	10	2	11	17	0	1029.2	Orig=772mm|orig.time=7am
1902	10	3	11	17	0	1028.4	Orig=771.4mm|orig.time=7am
1902	10	7	11	17	0	1027.4	Orig=770.6mm|orig.time=7am
1902	10	12	11	17	0	1027.8	Orig=770.9mm|orig.time=7am
1902	10	13	11	17	0	1027.2	Orig=770.5mm|orig.time=7am
1902	10	14	11	17	0	1021.9	Orig=766.5mm|orig.time=7am
1902	10	15	11	17	0	1021.2	Orig=766mm|orig.time=7am
1902	10	17	11	17	0	1016.2	Orig=762.2mm|orig.time=7am
1902	10	18	11	17	0	1019.1	Orig=764.4mm|orig.time=7am
1902	10	19	11	17	0	1013.4	Orig=760.1mm|orig.time=7am
1902	10	21	11	17	0	1014.5	Orig=760.9mm|orig.time=7am
1902	10	22	11	17	0	1012.6	Orig=759.5mm|orig.time=7am
1902	10	23	11	17	0	1011.8	Orig=758.9mm|orig.time=7am
1902	10	25	11	17	0	1016.7	Orig=762.6mm|orig.time=7am
1902	10	26	11	17	0	1011.7	Orig=758.8mm|orig.time=7am
1902	10	27	11	17	0	1022.3	Orig=766.8mm|orig.time=7am
1902	10	28	11	17	0	1019	Orig=764.3mm|orig.time=7am
1902	10	29	11	17	0	1015.2	Orig=761.5mm|orig.time=7am
1902	10	30	11	17	0	1018.6	Orig=764mm|orig.time=7am
1902	10	31	11	17	0	1018.2	Orig=763.7mm|orig.time=7am
1902	11	1	11	17	0	1011.8	Orig=758.9mm|orig.time=7am
1902	11	2	11	17	0	1019.2	Orig=764.5mm|orig.time=7am
1902	11	4	11	17	0	1014.1	Orig=760.6mm|orig.time=7am
1902	11	9	11	17	0	1023.8	Orig=767.9mm|orig.time=7am
1902	11	10	11	17	0	1021.6	Orig=766.3mm|orig.time=7am
1902	11	11	11	17	0	1019.2	Orig=764.5mm|orig.time=7am
1902	11	13	11	17	0	1015.4	Orig=761.6mm|orig.time=7am
1902	11	14	11	17	0	1012.5	Orig=759.4mm|orig.time=7am
1902	11	15	11	17	0	1021.4	Orig=766.1mm|orig.time=7am
1902	11	16	11	17	0	1021.6	Orig=766.3mm|orig.time=7am
1902	11	18	11	17	0	1014.2	Orig=760.7mm|orig.time=7am
1902	11	19	11	17	0	1017.5	Orig=763.2mm|orig.time=7am
1902	11	20	11	17	0	1019.6	Orig=764.8mm|orig.time=7am
1902	11	22	11	17	0	1006.7	Orig=755.1mm|orig.time=7am
1902	11	25	11	17	0	1011.8	Orig=758.9mm|orig.time=7am
1902	11	26	11	17	0	1023.1	Orig=767.4mm|orig.time=7am
1902	11	27	11	17	0	1028	Orig=771.1mm|orig.time=7am
1902	11	30	11	17	0	1020.8	Orig=765.7mm|orig.time=7am
1902	12	1	11	17	0	1017.1	Orig=762.9mm|orig.time=7am
1902	12	2	11	17	0	1017.2	Orig=763mm|orig.time=7am
1902	12	3	11	17	0	1019.6	Orig=764.8mm|orig.time=7am
1902	12	4	11	17	0	1020.3	Orig=765.3mm|orig.time=7am
1902	12	5	11	17	0	1022.6	Orig=767mm|orig.time=7am
1902	12	6	11	17	0	1019.8	Orig=764.9mm|orig.time=7am
1902	12	7	11	17	0	1019	Orig=764.3mm|orig.time=7am
1902	12	8	11	17	0	1014.6	Orig=761mm|orig.time=7am
1902	12	9	11	17	0	1019.5	Orig=764.7mm|orig.time=7am
1902	12	10	11	17	0	1015.8	Orig=761.9mm|orig.time=7am
1902	12	12	11	17	0	1009.4	Orig=757.1mm|orig.time=7am
1902	12	13	11	17	0	1017.4	Orig=763.1mm|orig.time=7am
1902	12	14	11	17	0	1023.6	Orig=767.8mm|orig.time=7am
1902	12	16	11	17	0	1019.9	Orig=765mm|orig.time=7am
1902	12	17	11	17	0	1016	Orig=762.1mm|orig.time=7am
1902	12	18	11	17	0	1011	Orig=758.3mm|orig.time=7am
1902	12	19	11	17	0	1011.9	Orig=759mm|orig.time=7am
1902	12	20	11	17	0	1014.1	Orig=760.6mm|orig.time=7am
1902	12	21	11	17	0	1013.7	Orig=760.3mm|orig.time=7am
1902	12	22	11	17	0	1006.6	Orig=755mm|orig.time=7am
1902	12	23	11	17	0	1007.5	Orig=755.7mm|orig.time=7am
1902	12	24	11	17	0	1004.1	Orig=753.1mm|orig.time=7am
1902	12	25	11	17	0	1017.5	Orig=763.2mm|orig.time=7am
1902	12	26	11	17	0	1010.9	Orig=758.2mm|orig.time=7am
1902	12	27	11	17	0	1011.7	Orig=758.8mm|orig.time=7am
1902	12	28	11	17	0	1011	Orig=758.3mm|orig.time=7am
1902	12	29	11	17	0	1016	Orig=762.1mm|orig.time=7am
1902	12	30	11	17	0	1020.8	Orig=765.7mm|orig.time=7am
1902	12	31	11	17	0	1021.2	Orig=766mm|orig.time=7am
