SEF	0.0.1
ID	DWR_Choele_Choel
Name	Choele Choel
Lat	
Lon	
Alt	
Source	C3S_SouthAmerica
Repo	
Var	mslp
Units	Pa
Meta	
Year	Month	Day	HHMM	TimeF	Value	Meta
1902	5	3	1817	0	100285	Orig=752.2mm
1902	5	6	1817	0	101512	Orig=761.4mm
1902	5	8	1817	0	101352	Orig=760.2mm
1902	5	16	1817	0	101485	Orig=761.2mm
1902	5	17	1817	0	100938	Orig=757.1mm
1902	5	18	1817	0	101405	Orig=760.6mm
1902	5	19	1817	0	100698	Orig=755.3mm
1902	5	20	1817	0	100858	Orig=756.5mm
1902	5	21	1817	0	100938	Orig=757.1mm
1902	5	22	1817	0	100938	Orig=757.1mm
1902	5	23	1817	0	100272	Orig=752.1mm
1902	5	24	1817	0	100912	Orig=756.9mm
1902	5	25	1817	0	100405	Orig=753.1mm
1902	5	26	1817	0	101312	Orig=759.9mm
1902	5	27	1817	0	100992	Orig=757.5mm
1902	5	28	1817	0	101405	Orig=760.6mm
1902	5	30	1817	0	100618	Orig=754.7mm
1902	5	31	1817	0	100605	Orig=754.6mm
1902	6	2	1817	0	99672	Orig=747.6mm
1902	6	3	1817	0	101045	Orig=757.9mm
1902	6	4	1817	0	101138	Orig=758.6mm
1902	6	5	1817	0	100778	Orig=755.9mm
1902	6	6	1817	0	100618	Orig=754.7mm
1902	6	7	1817	0	101658	Orig=762.5mm
1902	6	9	1817	0	101778	Orig=763.4mm
1902	6	10	1817	0	100498	Orig=753.8mm
1902	6	11	1817	0	100725	Orig=755.5mm
1902	6	12	1817	0	101205	Orig=759.1mm
1902	6	13	1817	0	101898	Orig=764.3mm
1902	6	14	1817	0	101898	Orig=764.3mm
1902	6	16	1817	0	100285	Orig=752.2mm
1902	6	17	1817	0	100805	Orig=756.1mm
1902	6	18	1817	0	101192	Orig=759mm
1902	6	19	1817	0	101552	Orig=761.7mm
1902	6	20	1817	0	102285	Orig=767.2mm
1902	6	21	1817	0	101845	Orig=763.9mm
1902	6	22	1817	0	102085	Orig=765.7mm
1902	6	23	1817	0	101832	Orig=763.8mm
1902	6	24	1817	0	101392	Orig=760.5mm
1902	6	25	1817	0	100752	Orig=755.7mm
1902	6	26	1817	0	101392	Orig=760.5mm
1902	6	28	1817	0	102738	Orig=770.6mm
1902	6	29	1817	0	101538	Orig=761.6mm
1902	6	30	1817	0	100978	Orig=757.4mm
1902	7	1	1817	0	101872	Orig=764.1mm
1902	7	2	1817	0	102152	Orig=766.2mm
1902	7	4	1817	0	101458	Orig=761mm
1902	7	5	1817	0	101885	Orig=764.2mm
1902	7	6	1817	0	101965	Orig=764.8mm
1902	7	7	1817	0	102125	Orig=766mm
1902	7	8	1817	0	99685	Orig=747.7mm
1902	7	9	1817	0	100072	Orig=750.6mm
1902	7	11	1817	0	101738	Orig=763.1mm
1902	7	12	1817	0	102458	Orig=768.5mm
1902	7	13	1817	0	102338	Orig=767.6mm
1902	7	14	1817	0	101098	Orig=758.3mm
1902	7	15	1817	0	101125	Orig=758.5mm
1902	7	16	1817	0	101992	Orig=765mm
1902	7	17	1817	0	101965	Orig=764.8mm
1902	7	18	1817	0	101632	Orig=762.3mm
1902	7	19	1817	0	102032	Orig=765.3mm
1902	7	23	1817	0	100072	Orig=750.6mm
1902	7	24	1817	0	100858	Orig=756.5mm
1902	7	25	1817	0	100525	Orig=754mm
1902	7	26	1817	0	99938	Orig=749.6mm
1902	7	29	1817	0	102858	Orig=771.5mm
1902	7	30	1817	0	100885	Orig=756.7mm
1902	7	31	1817	0	100418	Orig=753.2mm
1902	8	1	1817	0	102045	Orig=765.4mm
1902	8	2	1817	0	102552	Orig=769.2mm
1902	8	3	1817	0	102218	Orig=766.7mm
1902	8	4	1817	0	101405	Orig=760.6mm
1902	8	6	1817	0	100872	Orig=756.6mm
1902	8	7	1817	0	100618	Orig=754.7mm
1902	8	8	1817	0	99805	Orig=748.6mm
1902	8	10	1817	0	100685	Orig=755.2mm
1902	8	11	1817	0	101538	Orig=761.6mm
1902	8	12	1817	0	101312	Orig=759.9mm
1902	8	13	1817	0	101418	Orig=760.7mm
1902	8	14	1817	0	102405	Orig=768.1mm
1902	8	15	1817	0	102418	Orig=768.2mm
1902	8	16	1817	0	103232	Orig=774.3mm
1902	8	18	1817	0	100912	Orig=756.9mm
1902	8	19	1817	0	100405	Orig=753.1mm
1902	8	20	1817	0	101072	Orig=758.1mm
1902	8	22	1817	0	101578	Orig=761.9mm
1902	8	25	1817	0	102898	Orig=771.8mm
1902	8	26	1817	0	102592	Orig=769.5mm
1902	8	27	1817	0	102125	Orig=766mm
1902	8	28	1817	0	101938	Orig=764.6mm
1902	8	29	1817	0	101658	Orig=762.5mm
1902	8	30	1817	0	102632	Orig=769.8mm
1902	8	31	1817	0	101445	Orig=760.9mm
1902	9	3	1117	0	102152	Orig=766.2mm
1902	9	4	1117	0	102325	Orig=767.5mm
1902	9	5	1117	0	100685	Orig=755.2mm
1902	9	6	1117	0	101058	Orig=758mm
1902	9	7	1117	0	101218	Orig=759.2mm
1902	9	8	1117	0	101458	Orig=761mm
1902	9	10	1117	0	102125	Orig=766mm
1902	9	11	1117	0	102858	Orig=771.5mm
1902	9	12	1117	0	102658	Orig=770mm
1902	9	13	1117	0	101325	Orig=760mm
1902	9	14	1117	0	101432	Orig=760.8mm
1902	9	15	1117	0	101338	Orig=760.1mm
1902	9	16	1117	0	100538	Orig=754.1mm
1902	9	18	1117	0	100765	Orig=755.8mm
1902	9	19	1117	0	102205	Orig=766.6mm
1902	9	20	1117	0	101938	Orig=764.6mm
1902	9	21	1117	0	102445	Orig=768.4mm
1902	9	22	1117	0	102072	Orig=765.6mm
1902	9	23	1117	0	101778	Orig=763.4mm
1902	9	24	1117	0	103645	Orig=777.4mm
1902	9	25	1117	0	101592	Orig=762mm
1902	9	26	1117	0	101098	Orig=758.3mm
1902	9	27	1117	0	101632	Orig=762.3mm
1902	9	29	1117	0	101845	Orig=763.9mm
1902	9	30	1117	0	103365	Orig=775.3mm
1902	10	2	1117	0	103045	Orig=772.9mm
1902	10	3	1117	0	102685	Orig=770.2mm
1902	10	5	1117	0	101645	Orig=762.4mm
1902	10	7	1117	0	103098	Orig=773.3mm
1902	10	9	1117	0	101458	Orig=761mm
1902	10	10	1117	0	101912	Orig=764.4mm
1902	10	11	1117	0	102125	Orig=766mm
1902	10	12	1117	0	102338	Orig=767.6mm
1902	10	13	1117	0	101952	Orig=764.7mm
1902	10	14	1117	0	101618	Orig=762.2mm
1902	10	15	1117	0	101712	Orig=762.9mm
1902	10	20	1117	0	101165	Orig=758.8mm
1902	10	21	1117	0	101058	Orig=758mm
1902	10	23	1117	0	101418	Orig=760.7mm
1902	10	24	1117	0	101378	Orig=760.4mm
1902	10	25	1117	0	100992	Orig=757.5mm
1902	10	26	1117	0	101738	Orig=763.1mm
1902	10	27	1117	0	101485	Orig=761.2mm
1902	10	28	1117	0	101712	Orig=762.9mm
1902	10	29	1117	0	101405	Orig=760.6mm
1902	10	30	1117	0	101952	Orig=764.7mm
1902	10	31	1117	0	101418	Orig=760.7mm
1902	11	1	1117	0	101365	Orig=760.3mm
1902	11	2	1117	0	101832	Orig=763.8mm
1902	11	3	1117	0	100765	Orig=755.8mm
1902	11	4	1117	0	100858	Orig=756.5mm
1902	11	6	1117	0	100978	Orig=757.4mm
1902	11	7	1117	0	100632	Orig=754.8mm
1902	11	8	1117	0	101205	Orig=759.1mm
1902	11	10	1117	0	101618	Orig=762.2mm
1902	11	11	1117	0	101485	Orig=761.2mm
1902	11	12	1117	0	101658	Orig=762.5mm
1902	11	13	1117	0	101392	Orig=760.5mm
1902	11	14	1117	0	101045	Orig=757.9mm
1902	11	15	1117	0	101565	Orig=761.8mm
1902	11	16	1117	0	101672	Orig=762.6mm
1902	11	17	1117	0	100792	Orig=756mm
1902	11	18	1117	0	101445	Orig=760.9mm
1902	11	19	1117	0	101938	Orig=764.6mm
1902	11	20	1117	0	101378	Orig=760.4mm
1902	11	21	1117	0	100778	Orig=755.9mm
1902	11	22	1117	0	100685	Orig=755.2mm
1902	11	24	1117	0	100792	Orig=756mm
1902	11	25	1117	0	101632	Orig=762.3mm
1902	11	26	1117	0	102618	Orig=769.7mm
1902	11	27	1117	0	102472	Orig=768.6mm
1902	11	28	1117	0	101285	Orig=759.7mm
1902	11	29	1117	0	101312	Orig=759.9mm
1902	11	30	1117	0	101525	Orig=761.5mm
1902	12	1	1117	0	101605	Orig=762.1mm
1902	12	4	1117	0	101485	Orig=761.2mm
1902	12	5	1117	0	101378	Orig=760.4mm
1902	12	6	1117	0	100765	Orig=755.8mm
1902	12	7	1117	0	101178	Orig=758.9mm
1902	12	9	1117	0	101325	Orig=760mm
1902	12	10	1117	0	101258	Orig=759.5mm
1902	12	11	1117	0	100792	Orig=756mm
1902	12	12	1117	0	100845	Orig=756.4mm
1902	12	13	1117	0	102005	Orig=765.1mm
1902	12	14	1117	0	101978	Orig=764.9mm
1902	12	15	1117	0	101192	Orig=759mm
1902	12	16	1117	0	101805	Orig=763.6mm
1902	12	17	1117	0	101258	Orig=759.5mm
1902	12	18	1117	0	100938	Orig=757.1mm
1902	12	19	1117	0	101125	Orig=758.5mm
1902	12	20	1117	0	101258	Orig=759.5mm
1902	12	21	1117	0	100965	Orig=757.3mm
1902	12	22	1117	0	100565	Orig=754.3mm
1902	12	23	1117	0	100712	Orig=755.4mm
1902	12	26	1117	0	101125	Orig=758.5mm
1902	12	27	1117	0	101432	Orig=760.8mm
1902	12	28	1117	0	101245	Orig=759.4mm
1902	12	30	1117	0	102472	Orig=768.6mm
1902	12	31	1117	0	101832	Orig=763.8mm
