SEF	1.0.0
ID	DWR_Concordia
Name	Concordia
Lat	-31.391041
Lon	-58.019569
Alt	NA
Source	C3S_SouthAmerica
Link	https://data-rescue.copernicus-climate.eu/lso/1085187
Vbl	mslp
Stat	point
Units	hPa
Meta	Data policy=GNU GPL v3.0
Year	Month	Day	Hour	Minute	Period	Value	Meta
1902	4	13	18	17	0	1013.8	Orig=760.4mm|orig.time=2pm
1902	4	14	18	17	0	1011.8	Orig=758.9mm|orig.time=2pm
1902	4	16	18	17	0	1014.3	Orig=760.8mm|orig.time=2pm
1902	4	19	18	17	0	1015.4	Orig=761.6mm|orig.time=2pm
1902	4	20	18	17	0	1011.8	Orig=758.9mm|orig.time=2pm
1902	4	24	18	17	0	1019.1	Orig=764.4mm|orig.time=2pm
1902	4	26	18	17	0	1021.1	Orig=765.9mm|orig.time=2pm
1902	4	27	18	17	0	1019.1	Orig=764.4mm|orig.time=2pm
1902	4	29	18	17	0	1019.8	Orig=764.9mm|orig.time=2pm
1902	5	3	18	17	0	1007.9	Orig=756mm|orig.time=2pm
1902	5	4	18	17	0	1015.4	Orig=761.6mm|orig.time=2pm
1902	5	6	18	17	0	1016.6	Orig=762.5mm|orig.time=2pm
1902	5	8	18	17	0	1008.5	Orig=756.4mm|orig.time=2pm
1902	5	16	18	17	0	1019.4	Orig=764.6mm|orig.time=2pm
1902	5	17	18	17	0	1014.7	Orig=761.1mm|orig.time=2pm
1902	5	18	18	17	0	1017.5	Orig=763.2mm|orig.time=2pm
1902	5	19	18	17	0	1018.3	Orig=763.8mm|orig.time=2pm
1902	5	20	18	17	0	1016	Orig=762.1mm|orig.time=2pm
1902	5	21	18	17	0	1014.6	Orig=761mm|orig.time=2pm
1902	5	22	18	17	0	1014.7	Orig=761.1mm|orig.time=2pm
1902	5	23	18	17	0	1015.8	Orig=761.9mm|orig.time=2pm
1902	5	24	18	17	0	1013.1	Orig=759.9mm|orig.time=2pm
1902	5	25	18	17	0	1012.1	Orig=759.1mm|orig.time=2pm
1902	5	26	18	17	0	1009.3	Orig=757mm|orig.time=2pm
1902	5	27	18	17	0	1005.3	Orig=754mm|orig.time=2pm
1902	5	28	18	17	0	1018.2	Orig=763.7mm|orig.time=2pm
1902	5	29	18	17	0	1014.7	Orig=761.1mm|orig.time=2pm
1902	5	30	18	17	0	1016.7	Orig=762.6mm|orig.time=2pm
1902	5	31	18	17	0	1015	Orig=761.3mm|orig.time=2pm
1902	6	1	18	17	0	1010.1	Orig=757.6mm|orig.time=2pm
1902	6	2	18	17	0	1004.5	Orig=753.4mm|orig.time=2pm
1902	6	3	18	17	0	1010.6	Orig=758mm|orig.time=2pm
