SEF	1.0.0
ID	DWR_Dolores
Name	Dolores
Lat	-36.3152
Lon	-57.6753
Alt	NA
Source	C3S_SouthAmerica
Link	https://data-rescue.copernicus-climate.eu/lso/1085283
Vbl	mslp
Stat	point
Units	hPa
Meta	Data policy=GNU GPL v3.0
Year	Month	Day	Hour	Minute	Period	Value	Meta
1902	12	1	11	17	0	1016.6	Orig=762.5mm|orig.time=7am
1902	12	2	11	17	0	1012.5	Orig=759.4mm|orig.time=7am
1902	12	3	11	17	0	1016.4	Orig=762.4mm|orig.time=7am
1902	12	4	11	17	0	1015	Orig=761.3mm|orig.time=7am
1902	12	5	11	17	0	1014.5	Orig=760.9mm|orig.time=7am
1902	12	6	11	17	0	1009.4	Orig=757.1mm|orig.time=7am
1902	12	7	11	17	0	1011	Orig=758.3mm|orig.time=7am
1902	12	8	11	17	0	1009.5	Orig=757.2mm|orig.time=7am
1902	12	9	11	17	0	1021.4	Orig=766.1mm|orig.time=7am
1902	12	11	11	17	0	1011.1	Orig=758.4mm|orig.time=7am
1902	12	12	11	17	0	1004.1	Orig=753.1mm|orig.time=7am
1902	12	13	11	17	0	1012.5	Orig=759.4mm|orig.time=7am
1902	12	17	11	17	0	1012.3	Orig=759.3mm|orig.time=7am
1902	12	18	11	17	0	1013.4	Orig=760.1mm|orig.time=7am
1902	12	19	11	17	0	1012.1	Orig=759.1mm|orig.time=7am
1902	12	20	11	17	0	1015.8	Orig=761.9mm|orig.time=7am
1902	12	22	11	17	0	1004.2	Orig=753.2mm|orig.time=7am
1902	12	23	11	17	0	1006.6	Orig=755mm|orig.time=7am
1902	12	24	11	17	0	1001	Orig=750.8mm|orig.time=7am
1902	12	25	11	17	0	1013	Orig=759.8mm|orig.time=7am
1902	12	26	11	17	0	1008.9	Orig=756.7mm|orig.time=7am
1902	12	27	11	17	0	1008.2	Orig=756.2mm|orig.time=7am
1902	12	28	11	17	0	1013.5	Orig=760.2mm|orig.time=7am
1902	12	29	11	17	0	1018.3	Orig=763.8mm|orig.time=7am
