SEF	0.0.1
ID	DWR_Dolores
Name	Dolores
Lat	
Lon	
Alt	
Source	C3S_SouthAmerica
Repo	
Var	mslp
Units	Pa
Meta	PGC=F
Year	Month	Day	HHMM	TimeF	Value	Meta
1902	12	1	1117	0	101658	Orig=762.5mm
1902	12	2	1117	0	101245	Orig=759.4mm
1902	12	3	1117	0	101645	Orig=762.4mm
1902	12	4	1117	0	101498	Orig=761.3mm
1902	12	5	1117	0	101445	Orig=760.9mm
1902	12	6	1117	0	100938	Orig=757.1mm
1902	12	7	1117	0	101098	Orig=758.3mm
1902	12	8	1117	0	100952	Orig=757.2mm
1902	12	9	1117	0	102138	Orig=766.1mm
1902	12	11	1117	0	101112	Orig=758.4mm
1902	12	12	1117	0	100405	Orig=753.1mm
1902	12	13	1117	0	101245	Orig=759.4mm
1902	12	17	1117	0	101232	Orig=759.3mm
1902	12	18	1117	0	101338	Orig=760.1mm
1902	12	19	1117	0	101205	Orig=759.1mm
1902	12	20	1117	0	101578	Orig=761.9mm
1902	12	22	1117	0	100418	Orig=753.2mm
1902	12	23	1117	0	100658	Orig=755mm
1902	12	24	1117	0	100098	Orig=750.8mm
1902	12	25	1117	0	101298	Orig=759.8mm
1902	12	26	1117	0	100885	Orig=756.7mm
1902	12	27	1117	0	100818	Orig=756.2mm
1902	12	28	1117	0	101352	Orig=760.2mm
1902	12	29	1117	0	101832	Orig=763.8mm
