SEF	0.0.1
ID	DWR_Dolores
Name	Dolores
Lat	
Lon	
Alt	
Source	C3S_SouthAmerica
Repo	
Var	Tx
Units	C
Meta	
Year	Month	Day	HHMM	TimeF	Value	Meta
1902	12	1	1117	13	29	
1902	12	2	1117	13	28	
1902	12	3	1117	13	31	
1902	12	4	1117	13	25	
1902	12	5	1117	13	28	
1902	12	6	1117	13	29	
1902	12	7	1117	13	32	
1902	12	8	1117	13	27	
1902	12	9	1117	13	24	
1902	12	11	1117	13	25	
1902	12	12	1117	13	31	
1902	12	13	1117	13	25	
1902	12	15	1117	13	25	
1902	12	16	1117	13	24	
1902	12	17	1117	13	29	
1902	12	18	1117	13	33	
1902	12	19	1117	13	28	
1902	12	20	1117	13	33	
1902	12	21	1117	13	31	
1902	12	22	1117	13	23	
1902	12	23	1117	13	31	
1902	12	24	1117	13	32	
1902	12	25	1117	13	21	
1902	12	26	1117	13	22	
1902	12	27	1117	13	30	
1902	12	28	1117	13	31	
1902	12	29	1117	13	27	
1902	12	31	1117	13	20	
