SEF	1.0.0
ID	DWR_Dos_Pozos
Name	Dos Pozos
Lat	-44.5047
Lon	-65.6836
Alt	NA
Source	C3S_SouthAmerica
Link	https://data-rescue.copernicus-climate.eu/lso/1085299
Vbl	Tx
Stat	maximum
Units	C
Meta	Data policy=GNU GPL v3.0
Year	Month	Day	Hour	Minute	Period	Value	Meta
1902	2	21	18	17	day	26	orig.time=2pm
1902	2	22	18	17	day	25	orig.time=2pm
1902	2	23	18	17	day	32	orig.time=2pm
1902	2	24	18	17	day	34	orig.time=2pm
1902	2	25	18	17	day	25	orig.time=2pm
1902	2	26	18	17	day	20	orig.time=2pm
1902	2	27	18	17	day	21	orig.time=2pm
1902	2	28	18	17	day	21	orig.time=2pm
1902	3	1	18	17	day	18	orig.time=2pm
1902	3	2	18	17	day	19	orig.time=2pm
1902	3	3	18	17	day	25	orig.time=2pm
1902	3	4	18	17	day	18	orig.time=2pm
1902	3	5	18	17	day	22	orig.time=2pm
1902	3	6	18	17	day	23	orig.time=2pm
1902	3	7	18	17	day	16	orig.time=2pm
1902	3	8	18	17	day	12	orig.time=2pm
1902	3	9	18	17	day	15	orig.time=2pm
1902	3	10	18	17	day	22	orig.time=2pm
1902	3	12	18	17	day	11	orig.time=2pm
1902	3	13	18	17	day	20	orig.time=2pm
1902	3	14	18	17	day	21	orig.time=2pm
1902	3	15	18	17	day	23	orig.time=2pm
1902	3	16	18	17	day	24	orig.time=2pm
1902	3	19	18	17	day	18	orig.time=2pm
1902	3	21	18	17	day	26	orig.time=2pm
1902	3	22	18	17	day	21	orig.time=2pm
1902	3	23	18	17	day	29	orig.time=2pm
1902	3	24	18	17	day	23	orig.time=2pm
1902	3	25	18	17	day	19	orig.time=2pm
1902	3	26	18	17	day	18	orig.time=2pm
1902	3	27	18	17	day	23	orig.time=2pm
1902	3	30	18	17	day	30	orig.time=2pm
1902	3	31	18	17	day	24	orig.time=2pm
1902	4	3	18	17	day	22	orig.time=2pm
1902	4	4	18	17	day	24	orig.time=2pm
1902	4	5	18	17	day	18	orig.time=2pm
1902	4	6	18	17	day	27	orig.time=2pm
1902	4	7	18	17	day	24	orig.time=2pm
1902	4	8	18	17	day	15	orig.time=2pm
1902	4	9	18	17	day	14	orig.time=2pm
1902	4	10	18	17	day	18	orig.time=2pm
1902	4	12	18	17	day	20	orig.time=2pm
1902	4	13	18	17	day	18	orig.time=2pm
1902	4	14	18	17	day	22	orig.time=2pm
1902	4	16	18	17	day	22	orig.time=2pm
1902	4	19	18	17	day	22	orig.time=2pm
1902	4	20	18	17	day	21	orig.time=2pm
1902	6	12	18	17	day	0	orig.time=2pm
1902	7	16	18	17	day	1	orig.time=2pm
1902	10	31	11	17	day	18	orig.time=7am
1902	11	1	11	17	day	24	orig.time=7am
1902	11	2	11	17	day	25	orig.time=7am
1902	11	3	11	17	day	24	orig.time=7am
1902	11	4	11	17	day	18	orig.time=7am
1902	11	5	11	17	day	20	orig.time=7am
1902	11	6	11	17	day	19	orig.time=7am
1902	11	7	11	17	day	19	orig.time=7am
1902	11	8	11	17	day	17	orig.time=7am
1902	11	9	11	17	day	10	orig.time=7am
1902	11	10	11	17	day	21	orig.time=7am
1902	11	11	11	17	day	18	orig.time=7am
1902	11	12	11	17	day	18	orig.time=7am
1902	11	13	11	17	day	20	orig.time=7am
1902	11	14	11	17	day	21	orig.time=7am
1902	11	15	11	17	day	19	orig.time=7am
1902	11	16	11	17	day	25	orig.time=7am
1902	11	17	11	17	day	22	orig.time=7am
1902	11	18	11	17	day	20	orig.time=7am
1902	11	19	11	17	day	20	orig.time=7am
1902	11	20	11	17	day	23	orig.time=7am
1902	11	21	11	17	day	24	orig.time=7am
1902	11	22	11	17	day	33	orig.time=7am
1902	11	23	11	17	day	27	orig.time=7am
1902	11	24	11	17	day	26	orig.time=7am
1902	11	25	11	17	day	20	orig.time=7am
1902	11	26	11	17	day	14	orig.time=7am
1902	11	27	11	17	day	17	orig.time=7am
1902	11	28	11	17	day	25	orig.time=7am
1902	11	29	11	17	day	24	orig.time=7am
1902	11	30	11	17	day	25	orig.time=7am
1902	12	1	11	17	day	22	orig.time=7am
1902	12	2	11	17	day	24	orig.time=7am
1902	12	3	11	17	day	20	orig.time=7am
1902	12	4	11	17	day	24	orig.time=7am
1902	12	5	11	17	day	22	orig.time=7am
1902	12	6	11	17	day	27	orig.time=7am
1902	12	7	11	17	day	23	orig.time=7am
1902	12	8	11	17	day	19	orig.time=7am
1902	12	9	11	17	day	17	orig.time=7am
1902	12	12	11	17	day	21	orig.time=7am
1902	12	14	11	17	day	15	orig.time=7am
1902	12	15	11	17	day	25	orig.time=7am
1902	12	16	11	17	day	22	orig.time=7am
1902	12	17	11	17	day	23	orig.time=7am
1902	12	18	11	17	day	24	orig.time=7am
1902	12	19	11	17	day	30	orig.time=7am
1902	12	20	11	17	day	22	orig.time=7am
1902	12	21	11	17	day	27	orig.time=7am
1902	12	22	11	17	day	24	orig.time=7am
1902	12	23	11	17	day	27	orig.time=7am
1902	12	25	11	17	day	25	orig.time=7am
1902	12	27	11	17	day	15	orig.time=7am
1902	12	29	11	17	day	18	orig.time=7am
1902	12	30	11	17	day	17	orig.time=7am
1902	12	31	11	17	day	25	orig.time=7am
