SEF	0.2.0
ID	DWR_Formosa_Arg.
Name	FORMOSA - Formosa
Lat	-26.183333
Lon	-58.183333
Alt	NA
Source	C3S_SouthAmerica
Link	https://data-rescue.copernicus-climate.eu/lso/1085361
Vbl	rh
Stat	point
Units	%
Meta	Data policy=GNU GPL v3.0
Year	Month	Day	Hour	Minute	Period	Value	Meta
1902	7	1	18	17	0	54	orig.time=2pm
1902	7	2	18	17	0	54	orig.time=2pm
1902	7	4	18	17	0	57	orig.time=2pm
1902	7	5	18	17	0	53	orig.time=2pm
1902	7	6	18	17	0	81	orig.time=2pm
1902	7	7	18	17	0	82	orig.time=2pm
1902	7	8	18	17	0	51	orig.time=2pm
1902	7	9	18	17	0	52	orig.time=2pm
1902	7	10	18	17	0	48	orig.time=2pm
1902	7	11	18	17	0	53	orig.time=2pm
1902	7	12	18	17	0	68	orig.time=2pm
1902	7	13	18	17	0	81	orig.time=2pm
1902	7	14	18	17	0	46	orig.time=2pm
1902	7	15	18	17	0	44	orig.time=2pm
1902	7	16	18	17	0	46	orig.time=2pm
1902	7	17	18	17	0	87	orig.time=2pm
1902	7	18	18	17	0	78	orig.time=2pm
1902	7	19	18	17	0	100	orig.time=2pm
1902	7	20	18	17	0	88	orig.time=2pm
1902	7	21	18	17	0	39	orig.time=2pm
1902	7	23	18	17	0	60	orig.time=2pm
1902	7	24	18	17	0	46	orig.time=2pm
1902	7	25	18	17	0	58	orig.time=2pm
1902	7	26	18	17	0	42	orig.time=2pm
1902	7	27	18	17	0	33	orig.time=2pm
1902	7	28	18	17	0	88	orig.time=2pm
1902	7	29	18	17	0	85	orig.time=2pm
1902	7	30	18	17	0	75	orig.time=2pm
1902	7	31	18	17	0	58	orig.time=2pm
1902	8	2	18	17	0	45	orig.time=2pm
1902	8	3	18	17	0	35	orig.time=2pm
1902	8	4	18	17	0	39	orig.time=2pm
1902	8	5	18	17	0	41	orig.time=2pm
1902	8	6	18	17	0	30	orig.time=2pm
1902	8	7	18	17	0	66	orig.time=2pm
1902	8	8	18	17	0	61	orig.time=2pm
1902	8	9	18	17	0	47	orig.time=2pm
1902	8	10	18	17	0	42	orig.time=2pm
1902	8	11	18	17	0	47	orig.time=2pm
1902	8	12	18	17	0	53	orig.time=2pm
1902	8	13	18	17	0	70	orig.time=2pm
1902	8	14	18	17	0	89	orig.time=2pm
1902	8	15	18	17	0	54	orig.time=2pm
1902	8	16	18	17	0	48	orig.time=2pm
1902	8	17	18	17	0	25	orig.time=2pm
1902	8	18	18	17	0	37	orig.time=2pm
1902	8	19	18	17	0	30	orig.time=2pm
1902	8	20	18	17	0	36	orig.time=2pm
1902	8	21	18	17	0	39	orig.time=2pm
1902	8	22	18	17	0	43	orig.time=2pm
1902	8	23	18	17	0	21	orig.time=2pm
1902	8	24	18	17	0	30	orig.time=2pm
1902	8	25	18	17	0	52	orig.time=2pm
1902	8	26	18	17	0	66	orig.time=2pm
1902	8	27	18	17	0	87	orig.time=2pm
1902	8	28	18	17	0	24	orig.time=2pm
1902	8	29	18	17	0	54	orig.time=2pm
1902	8	30	18	17	0	44	orig.time=2pm
1902	8	31	18	17	0	34	orig.time=2pm
1902	9	2	11	17	0	78	orig.time=7am
1902	9	3	11	17	0	80	orig.time=7am
1902	9	4	11	17	0	72	orig.time=7am
1902	9	5	11	17	0	90	orig.time=7am
1902	9	6	11	17	0	59	orig.time=7am
1902	9	7	11	17	0	61	orig.time=7am
