SEF	1.0.0
ID	DWR_Gen_Uriburu
Name	General Uriburu
Lat	-34
Lon	-59.166667
Alt	NA
Source	C3S_SouthAmerica
Link	https://data-rescue.copernicus-climate.eu/lso/1085367
Vbl	mslp
Stat	point
Units	hPa
Meta	Data policy=GNU GPL v3.0
Year	Month	Day	Hour	Minute	Period	Value	Meta
1902	11	15	11	17	0	1015.6	Orig=761.8mm|orig.time=7am
1902	11	16	11	17	0	1019.9	Orig=765mm|orig.time=7am
1902	11	17	11	17	0	1013.4	Orig=760.1mm|orig.time=7am
1902	11	18	11	17	0	1011.5	Orig=758.7mm|orig.time=7am
1902	11	19	11	17	0	1019.1	Orig=764.4mm|orig.time=7am
1902	11	20	11	17	0	1018.3	Orig=763.8mm|orig.time=7am
1902	11	21	11	17	0	1011.1	Orig=758.4mm|orig.time=7am
1902	11	22	11	17	0	1006.5	Orig=754.9mm|orig.time=7am
1902	11	23	11	17	0	1015.2	Orig=761.5mm|orig.time=7am
1902	11	24	11	17	0	1010.7	Orig=758.1mm|orig.time=7am
1902	11	25	11	17	0	1012.6	Orig=759.5mm|orig.time=7am
1902	11	26	11	17	0	1022.7	Orig=767.1mm|orig.time=7am
1902	11	27	11	17	0	1028.2	Orig=771.2mm|orig.time=7am
1902	11	28	11	17	0	1018.7	Orig=764.1mm|orig.time=7am
1902	11	29	11	17	0	1013.4	Orig=760.1mm|orig.time=7am
1902	11	30	11	17	0	1017	Orig=762.8mm|orig.time=7am
1902	12	1	11	17	0	1014.7	Orig=761.1mm|orig.time=7am
1902	12	3	11	17	0	1014.6	Orig=761mm|orig.time=7am
1902	12	4	11	17	0	1016.3	Orig=762.3mm|orig.time=7am
1902	12	5	11	17	0	1015.6	Orig=761.8mm|orig.time=7am
1902	12	6	11	17	0	1007.5	Orig=755.7mm|orig.time=7am
1902	12	7	11	17	0	1010.1	Orig=757.6mm|orig.time=7am
1902	12	8	11	17	0	1015	Orig=761.3mm|orig.time=7am
1902	12	9	11	17	0	1018.2	Orig=763.7mm|orig.time=7am
1902	12	10	11	17	0	1014.3	Orig=760.8mm|orig.time=7am
1902	12	11	11	17	0	1009.9	Orig=757.5mm|orig.time=7am
1902	12	12	11	17	0	1008.6	Orig=756.5mm|orig.time=7am
1902	12	13	11	17	0	1020	Orig=765.1mm|orig.time=7am
1902	12	15	11	17	0	1015.9	Orig=762mm|orig.time=7am
1902	12	16	11	17	0	1017.8	Orig=763.4mm|orig.time=7am
1902	12	17	11	17	0	1010.3	Orig=757.8mm|orig.time=7am
1902	12	18	11	17	0	1010.5	Orig=757.9mm|orig.time=7am
1902	12	20	11	17	0	1012.7	Orig=759.6mm|orig.time=7am
1902	12	22	11	17	0	1005.8	Orig=754.4mm|orig.time=7am
1902	12	25	11	17	0	1015.2	Orig=761.5mm|orig.time=7am
1902	12	27	11	17	0	1012.5	Orig=759.4mm|orig.time=7am
1902	12	28	11	17	0	1013.7	Orig=760.3mm|orig.time=7am
1902	12	29	11	17	0	1019.5	Orig=764.7mm|orig.time=7am
1902	12	30	11	17	0	1027.2	Orig=770.5mm|orig.time=7am
