SEF	1.0.0
ID	DWR_Gen_Villegas
Name	General Villegas
Lat	-35.0326
Lon	-63.0148
Alt	NA
Source	C3S_SouthAmerica
Link	https://data-rescue.copernicus-climate.eu/lso/1085379
Vbl	mslp
Stat	point
Units	hPa
Meta	Data policy=GNU GPL v3.0
Year	Month	Day	Hour	Minute	Period	Value	Meta
1902	12	1	11	17	0	1014.2	Orig=760.7mm|orig.time=7am
1902	12	2	11	17	0	1014.1	Orig=760.6mm|orig.time=7am
1902	12	3	11	17	0	1014.6	Orig=761mm|orig.time=7am
1902	12	5	11	17	0	1016.3	Orig=762.3mm|orig.time=7am
1902	12	6	11	17	0	1010.6	Orig=758mm|orig.time=7am
1902	12	7	11	17	0	1011	Orig=758.3mm|orig.time=7am
1902	12	8	11	17	0	1014.1	Orig=760.6mm|orig.time=7am
1902	12	9	11	17	0	1019	Orig=764.3mm|orig.time=7am
1902	12	10	11	17	0	1013	Orig=759.8mm|orig.time=7am
1902	12	11	11	17	0	1009.5	Orig=757.2mm|orig.time=7am
1902	12	12	11	17	0	1006.1	Orig=754.6mm|orig.time=7am
1902	12	13	11	17	0	1018.4	Orig=763.9mm|orig.time=7am
1902	12	14	11	17	0	1023.4	Orig=767.6mm|orig.time=7am
1902	12	15	11	17	0	1017.2	Orig=763mm|orig.time=7am
1902	12	16	11	17	0	1014.6	Orig=761mm|orig.time=7am
1902	12	17	11	17	0	1011.7	Orig=758.8mm|orig.time=7am
1902	12	18	11	17	0	1011.4	Orig=758.6mm|orig.time=7am
1902	12	19	11	17	0	1011.4	Orig=758.6mm|orig.time=7am
1902	12	20	11	17	0	1013.4	Orig=760.1mm|orig.time=7am
1902	12	21	11	17	0	1010.5	Orig=757.9mm|orig.time=7am
1902	12	22	11	17	0	1005	Orig=753.8mm|orig.time=7am
1902	12	23	11	17	0	1007.9	Orig=756mm|orig.time=7am
1902	12	26	11	17	0	1009.9	Orig=757.5mm|orig.time=7am
1902	12	27	11	17	0	1010.6	Orig=758mm|orig.time=7am
1902	12	28	11	17	0	1013.8	Orig=760.4mm|orig.time=7am
1902	12	29	11	17	0	1018.7	Orig=764.1mm|orig.time=7am
1902	12	30	11	17	0	1026.7	Orig=770.1mm|orig.time=7am
1902	12	31	11	17	0	1023.1	Orig=767.4mm|orig.time=7am
