SEF	0.0.1
ID	DWR_General_Urib
Name	General Uriburu
Lat	
Lon	
Alt	
Source	C3S_SouthAmerica
Repo	
Var	Tx
Units	C
Meta	
Year	Month	Day	HHMM	TimeF	Value	Meta
1902	11	15	1117	13	20	
1902	11	16	1117	13	26	
1902	11	17	1117	13	28	
1902	11	18	1117	13	30	
1902	11	19	1117	13	26	
1902	11	20	1117	13	27	
1902	11	21	1117	13	28	
1902	11	22	1117	13	33	
1902	11	23	1117	13	34	
1902	11	24	1117	13	27	
1902	11	25	1117	13	33	
1902	11	26	1117	13	25	
1902	11	27	1117	13	22	
1902	11	28	1117	13	26	
1902	11	29	1117	13	30	
1902	11	30	1117	13	33	
1902	12	1	1117	13	32	
1902	12	3	1117	13	35	
1902	12	4	1117	13	31	
1902	12	5	1117	13	33	
1902	12	6	1117	13	34	
1902	12	7	1117	13	37	
1902	12	8	1117	13	32	
1902	12	9	1117	13	23	
1902	12	10	1117	13	30	
1902	12	11	1117	13	29	
1902	12	12	1117	13	33	
1902	12	13	1117	13	27	
1902	12	15	1117	13	28	
1902	12	16	1117	13	32	
1902	12	17	1117	13	32	
1902	12	18	1117	13	37	
1902	12	19	1117	13	39	
1902	12	20	1117	13	35	
1902	12	22	1117	13	33	
1902	12	25	1117	13	28	
1902	12	27	1117	13	32	
1902	12	28	1117	13	29	
1902	12	29	1117	13	35	
1902	12	30	1117	13	29	
