SEF	0.0.1
ID	DWR_General_Urib
Name	General Uriburu
Lat	
Lon	
Alt	
Source	C3S_SouthAmerica
Repo	
Var	mslp
Units	Pa
Meta	PGC=F
Year	Month	Day	HHMM	TimeF	Value	Meta
1902	11	15	1117	0	101565	Orig=761.8mm
1902	11	16	1117	0	101992	Orig=765mm
1902	11	17	1117	0	101338	Orig=760.1mm
1902	11	18	1117	0	101152	Orig=758.7mm
1902	11	19	1117	0	101912	Orig=764.4mm
1902	11	20	1117	0	101832	Orig=763.8mm
1902	11	21	1117	0	101112	Orig=758.4mm
1902	11	22	1117	0	100645	Orig=754.9mm
1902	11	23	1117	0	101525	Orig=761.5mm
1902	11	24	1117	0	101072	Orig=758.1mm
1902	11	25	1117	0	101258	Orig=759.5mm
1902	11	26	1117	0	102272	Orig=767.1mm
1902	11	27	1117	0	102818	Orig=771.2mm
1902	11	28	1117	0	101872	Orig=764.1mm
1902	11	29	1117	0	101338	Orig=760.1mm
1902	11	30	1117	0	101698	Orig=762.8mm
1902	12	1	1117	0	101472	Orig=761.1mm
1902	12	3	1117	0	101458	Orig=761mm
1902	12	4	1117	0	101632	Orig=762.3mm
1902	12	5	1117	0	101565	Orig=761.8mm
1902	12	6	1117	0	100752	Orig=755.7mm
1902	12	7	1117	0	101005	Orig=757.6mm
1902	12	8	1117	0	101498	Orig=761.3mm
1902	12	9	1117	0	101818	Orig=763.7mm
1902	12	10	1117	0	101432	Orig=760.8mm
1902	12	11	1117	0	100992	Orig=757.5mm
1902	12	12	1117	0	100858	Orig=756.5mm
1902	12	13	1117	0	102005	Orig=765.1mm
1902	12	15	1117	0	101592	Orig=762mm
1902	12	16	1117	0	101778	Orig=763.4mm
1902	12	17	1117	0	101032	Orig=757.8mm
1902	12	18	1117	0	101045	Orig=757.9mm
1902	12	20	1117	0	101272	Orig=759.6mm
1902	12	22	1117	0	100578	Orig=754.4mm
1902	12	25	1117	0	101525	Orig=761.5mm
1902	12	27	1117	0	101245	Orig=759.4mm
1902	12	28	1117	0	101365	Orig=760.3mm
1902	12	29	1117	0	101952	Orig=764.7mm
1902	12	30	1117	0	102725	Orig=770.5mm
