SEF	0.0.1
ID	DWR_General_Urib
Name	General Uriburu
Lat	
Lon	
Alt	
Source	C3S_SouthAmerica
Repo	
Var	rh
Units	%
Meta	
Year	Month	Day	HHMM	TimeF	Value	Meta
1902	11	15	1117	0	47	
1902	11	16	1117	0	69	
1902	11	17	1117	0	62	
1902	11	18	1117	0	80	
1902	11	19	1117	0	47	
1902	11	20	1117	0	90	
1902	11	21	1117	0	82	
1902	11	22	1117	0	74	
1902	11	23	1117	0	64	
1902	11	24	1117	0	71	
1902	11	26	1117	0	55	
1902	11	27	1117	0	57	
1902	11	28	1117	0	68	
1902	11	29	1117	0	72	
1902	11	30	1117	0	81	
1902	12	1	1117	0	73	
1902	12	3	1117	0	64	
1902	12	4	1117	0	81	
1902	12	5	1117	0	82	
1902	12	6	1117	0	76	
1902	12	7	1117	0	32	
1902	12	8	1117	0	81	
1902	12	9	1117	0	90	
1902	12	10	1117	0	80	
1902	12	11	1117	0	82	
1902	12	12	1117	0	90	
1902	12	13	1117	0	78	
1902	12	15	1117	0	91	
1902	12	16	1117	0	99	
1902	12	17	1117	0	92	
1902	12	18	1117	0	91	
1902	12	19	1117	0	100	
1902	12	20	1117	0	91	
1902	12	22	1117	0	100	
1902	12	25	1117	0	90	
1902	12	27	1117	0	91	
1902	12	28	1117	0	100	
1902	12	29	1117	0	90	
1902	12	30	1117	0	100	
