SEF	0.0.1
ID	DWR_General_Vill
Name	General Villegas
Lat	
Lon	
Alt	
Source	C3S_SouthAmerica
Repo	
Var	mslp
Units	Pa
Meta	PGC=F
Year	Month	Day	HHMM	TimeF	Value	Meta
1902	12	1	1117	0	101418	Orig=760.7mm
1902	12	2	1117	0	101405	Orig=760.6mm
1902	12	3	1117	0	101458	Orig=761mm
1902	12	5	1117	0	101632	Orig=762.3mm
1902	12	6	1117	0	101058	Orig=758mm
1902	12	7	1117	0	101098	Orig=758.3mm
1902	12	8	1117	0	101405	Orig=760.6mm
1902	12	9	1117	0	101898	Orig=764.3mm
1902	12	10	1117	0	101298	Orig=759.8mm
1902	12	11	1117	0	100952	Orig=757.2mm
1902	12	12	1117	0	100605	Orig=754.6mm
1902	12	13	1117	0	101845	Orig=763.9mm
1902	12	14	1117	0	102338	Orig=767.6mm
1902	12	15	1117	0	101725	Orig=763mm
1902	12	16	1117	0	101458	Orig=761mm
1902	12	17	1117	0	101165	Orig=758.8mm
1902	12	18	1117	0	101138	Orig=758.6mm
1902	12	19	1117	0	101138	Orig=758.6mm
1902	12	20	1117	0	101338	Orig=760.1mm
1902	12	21	1117	0	101045	Orig=757.9mm
1902	12	22	1117	0	100498	Orig=753.8mm
1902	12	23	1117	0	100792	Orig=756mm
1902	12	26	1117	0	100992	Orig=757.5mm
1902	12	27	1117	0	101058	Orig=758mm
1902	12	28	1117	0	101378	Orig=760.4mm
1902	12	29	1117	0	101872	Orig=764.1mm
1902	12	30	1117	0	102672	Orig=770.1mm
1902	12	31	1117	0	102312	Orig=767.4mm
