SEF	0.2.0
ID	DWR_Goya
Name	Goya
Lat	-29.15477
Lon	-59.264938
Alt	NA
Source	C3S_SouthAmerica
Link	https://data-rescue.copernicus-climate.eu/lso/1085391
Vbl	mslp
Stat	point
Units	Pa
Meta	Data policy=GNU GPL v3.0
Year	Month	Day	Hour	Minute	Period	Value	Meta
1902	2	21	18	17	0	100765	Orig=755.8mm|orig.time=2pm
1902	2	22	18	17	0	100832	Orig=756.3mm|orig.time=2pm
1902	2	23	18	17	0	101298	Orig=759.8mm|orig.time=2pm
1902	2	24	18	17	0	100978	Orig=757.4mm|orig.time=2pm
1902	2	25	18	17	0	100898	Orig=756.8mm|orig.time=2pm
1902	2	26	18	17	0	100565	Orig=754.3mm|orig.time=2pm
1902	2	27	18	17	0	100712	Orig=755.4mm|orig.time=2pm
1902	2	28	18	17	0	100725	Orig=755.5mm|orig.time=2pm
1902	3	1	18	17	0	101058	Orig=758mm|orig.time=2pm
1902	3	2	18	17	0	100925	Orig=757mm|orig.time=2pm
1902	3	3	18	17	0	101178	Orig=758.9mm|orig.time=2pm
1902	3	4	18	17	0	100698	Orig=755.3mm|orig.time=2pm
1902	3	5	18	17	0	100752	Orig=755.7mm|orig.time=2pm
1902	3	6	18	17	0	100992	Orig=757.5mm|orig.time=2pm
1902	3	7	18	17	0	100978	Orig=757.4mm|orig.time=2pm
1902	3	8	18	17	0	101192	Orig=759mm|orig.time=2pm
1902	3	9	18	17	0	101098	Orig=758.3mm|orig.time=2pm
1902	3	10	18	17	0	101272	Orig=759.6mm|orig.time=2pm
1902	3	12	18	17	0	100498	Orig=753.8mm|orig.time=2pm
1902	3	13	18	17	0	101138	Orig=758.6mm|orig.time=2pm
1902	3	14	18	17	0	101672	Orig=762.6mm|orig.time=2pm
1902	3	15	18	17	0	101725	Orig=763mm|orig.time=2pm
1902	3	16	18	17	0	101458	Orig=761mm|orig.time=2pm
1902	3	19	18	17	0	101165	Orig=758.8mm|orig.time=2pm
1902	3	21	18	17	0	101672	Orig=762.6mm|orig.time=2pm
1902	3	22	18	17	0	101632	Orig=762.3mm|orig.time=2pm
1902	3	23	18	17	0	101605	Orig=762.1mm|orig.time=2pm
1902	3	24	18	17	0	101258	Orig=759.5mm|orig.time=2pm
1902	3	25	18	17	0	100912	Orig=756.9mm|orig.time=2pm
1902	3	26	18	17	0	101245	Orig=759.4mm|orig.time=2pm
1902	3	27	18	17	0	101005	Orig=757.6mm|orig.time=2pm
1902	3	30	18	17	0	101445	Orig=760.9mm|orig.time=2pm
1902	3	31	18	17	0	100912	Orig=756.9mm|orig.time=2pm
1902	4	2	18	17	0	101312	Orig=759.9mm|orig.time=2pm
1902	4	3	18	17	0	101285	Orig=759.7mm|orig.time=2pm
1902	4	4	18	17	0	101205	Orig=759.1mm|orig.time=2pm
1902	4	5	18	17	0	101312	Orig=759.9mm|orig.time=2pm
1902	4	6	18	17	0	101218	Orig=759.2mm|orig.time=2pm
1902	4	7	18	17	0	101232	Orig=759.3mm|orig.time=2pm
1902	4	8	18	17	0	101232	Orig=759.3mm|orig.time=2pm
1902	4	9	18	17	0	101325	Orig=760mm|orig.time=2pm
1902	4	10	18	17	0	101312	Orig=759.9mm|orig.time=2pm
1902	4	12	18	17	0	101285	Orig=759.7mm|orig.time=2pm
1902	4	13	18	17	0	101298	Orig=759.8mm|orig.time=2pm
1902	4	14	18	17	0	101245	Orig=759.4mm|orig.time=2pm
1902	4	16	18	17	0	101298	Orig=759.8mm|orig.time=2pm
1902	4	20	18	17	0	101085	Orig=758.2mm|orig.time=2pm
1902	4	24	18	17	0	101658	Orig=762.5mm|orig.time=2pm
1902	4	26	18	17	0	101858	Orig=764mm|orig.time=2pm
1902	4	27	18	17	0	101712	Orig=762.9mm|orig.time=2pm
1902	4	29	18	17	0	101885	Orig=764.2mm|orig.time=2pm
1902	5	3	18	17	0	100778	Orig=755.9mm|orig.time=2pm
1902	5	4	18	17	0	101165	Orig=758.8mm|orig.time=2pm
