SEF	1.0.0
ID	DWR_Guamini
Name	Guaminí
Lat	-37.0126
Lon	-62.4185
Alt	NA
Source	C3S_SouthAmerica
Link	https://data-rescue.copernicus-climate.eu/lso/1085415
Vbl	mslp
Stat	point
Units	hPa
Meta	Data policy=GNU GPL v3.0
Year	Month	Day	Hour	Minute	Period	Value	Meta
1902	12	6	11	17	0	1007.5	Orig=755.7mm|orig.time=7am
1902	12	7	11	17	0	1008.7	Orig=756.6mm|orig.time=7am
1902	12	8	11	17	0	1013.9	Orig=760.5mm|orig.time=7am
1902	12	9	11	17	0	1017.9	Orig=763.5mm|orig.time=7am
1902	12	10	11	17	0	1013.1	Orig=759.9mm|orig.time=7am
1902	12	11	11	17	0	1009	Orig=756.8mm|orig.time=7am
1902	12	12	11	17	0	1006.7	Orig=755.1mm|orig.time=7am
1902	12	13	11	17	0	1017.1	Orig=762.9mm|orig.time=7am
1902	12	14	11	17	0	1022.2	Orig=766.7mm|orig.time=7am
1902	12	15	11	17	0	1016.3	Orig=762.3mm|orig.time=7am
1902	12	16	11	17	0	1013.4	Orig=760.1mm|orig.time=7am
1902	12	17	11	17	0	1011.7	Orig=758.8mm|orig.time=7am
1902	12	18	11	17	0	1011.9	Orig=759mm|orig.time=7am
1902	12	20	11	17	0	1015.2	Orig=761.5mm|orig.time=7am
1902	12	22	11	17	0	1005.1	Orig=753.9mm|orig.time=7am
1902	12	25	11	17	0	1015.1	Orig=761.4mm|orig.time=7am
1902	12	26	11	17	0	1009.4	Orig=757.1mm|orig.time=7am
1902	12	27	11	17	0	1012.3	Orig=759.3mm|orig.time=7am
1902	12	28	11	17	0	1013.4	Orig=760.1mm|orig.time=7am
1902	12	29	11	17	0	1021.6	Orig=766.3mm|orig.time=7am
1902	12	30	11	17	0	1028.8	Orig=771.7mm|orig.time=7am
1902	12	31	11	17	0	1024.7	Orig=768.6mm|orig.time=7am
