SEF	0.0.1
ID	DWR_Guamini
Name	Guaminí
Lat	
Lon	
Alt	
Source	C3S_SouthAmerica
Repo	
Var	n
Units	%
Meta	
Year	Month	Day	HHMM	TimeF	Value	Meta
1902	12	6	1117	0	33	Orig=1
1902	12	7	1117	0	33	Orig=1
1902	12	8	1117	0	67	Orig=2
1902	12	9	1117	0	33	Orig=1
1902	12	10	1117	0	33	Orig=1
1902	12	11	1117	0	33	Orig=1
1902	12	12	1117	0	67	Orig=2
1902	12	13	1117	0	33	Orig=1
1902	12	14	1117	0	0	Orig=0
1902	12	15	1117	0	0	Orig=0
1902	12	16	1117	0	33	Orig=1
1902	12	17	1117	0	33	Orig=1
1902	12	18	1117	0	33	Orig=1
1902	12	20	1117	0	33	Orig=1
1902	12	22	1117	0	100	Orig=3
1902	12	25	1117	0	0	Orig=0
1902	12	26	1117	0	67	Orig=2
1902	12	27	1117	0	0	Orig=0
1902	12	28	1117	0	33	Orig=1
1902	12	29	1117	0	33	Orig=1
1902	12	30	1117	0	0	Orig=0
1902	12	31	1117	0	33	Orig=1
