SEF	0.2.0
ID	DWR_La_Cocha
Name	La Cocha
Lat	-27.77
Lon	-65.585833
Alt	NA
Source	C3S_SouthAmerica
Link	https://data-rescue.copernicus-climate.eu/lso/1085479
Vbl	Tx
Stat	maximum
Units	C
Meta	Data policy=GNU GPL v3.0
Year	Month	Day	Hour	Minute	Period	Value	Meta
1902	2	21	18	17	day	29	orig.time=2pm
1902	2	22	18	17	day	28	orig.time=2pm
1902	2	23	18	17	day	28	orig.time=2pm
1902	2	24	18	17	day	33	orig.time=2pm
1902	2	25	18	17	day	31	orig.time=2pm
1902	2	28	18	17	day	33	orig.time=2pm
1902	3	12	18	17	day	32	orig.time=2pm
1902	3	13	18	17	day	36	orig.time=2pm
1902	9	3	11	17	day	29	orig.time=7am
1902	11	13	11	17	day	20	orig.time=7am
