SEF	1.0.0
ID	DWR_La_Plata
Name	La Plata
Lat	-34.9205
Lon	-57.9536
Alt	NA
Source	C3S_SouthAmerica
Link	https://data-rescue.copernicus-climate.eu/lso/1085487
Vbl	mslp
Stat	point
Units	hPa
Meta	Data policy=GNU GPL v3.0
Year	Month	Day	Hour	Minute	Period	Value	Meta
1902	9	5	11	17	0	1022.2	Orig=766.7mm|orig.time=7am
1902	9	6	11	17	0	1008.9	Orig=756.7mm|orig.time=7am
1902	9	7	11	17	0	1008.2	Orig=756.2mm|orig.time=7am
1902	9	8	11	17	0	1006.5	Orig=754.9mm|orig.time=7am
1902	9	10	11	17	0	1020.3	Orig=765.3mm|orig.time=7am
1902	9	11	11	17	0	1025.2	Orig=769mm|orig.time=7am
1902	9	12	11	17	0	1031.4	Orig=773.6mm|orig.time=7am
1902	9	13	11	17	0	1026.3	Orig=769.8mm|orig.time=7am
1902	9	14	11	17	0	1013.1	Orig=759.9mm|orig.time=7am
1902	9	15	11	17	0	1013.1	Orig=759.9mm|orig.time=7am
1902	9	16	11	17	0	1011.3	Orig=758.5mm|orig.time=7am
1902	9	17	11	17	0	1011.8	Orig=758.9mm|orig.time=7am
1902	9	18	11	17	0	1002.2	Orig=751.7mm|orig.time=7am
1902	9	19	11	17	0	1017.2	Orig=763mm|orig.time=7am
1902	9	20	11	17	0	1019.9	Orig=765mm|orig.time=7am
1902	9	21	11	17	0	1021.1	Orig=765.9mm|orig.time=7am
1902	9	22	11	17	0	1020.3	Orig=765.3mm|orig.time=7am
1902	9	23	11	17	0	1018.8	Orig=764.2mm|orig.time=7am
1902	9	24	11	17	0	1031	Orig=773.3mm|orig.time=7am
1902	9	25	11	17	0	1026.8	Orig=770.2mm|orig.time=7am
1902	9	26	11	17	0	1016	Orig=762.1mm|orig.time=7am
1902	9	27	11	17	0	1012.6	Orig=759.5mm|orig.time=7am
1902	9	28	11	17	0	1017.6	Orig=763.3mm|orig.time=7am
1902	9	29	11	17	0	1018.7	Orig=764.1mm|orig.time=7am
1902	9	30	11	17	0	1022.7	Orig=767.1mm|orig.time=7am
1902	10	1	11	17	0	1033.1	Orig=774.9mm|orig.time=7am
1902	10	2	11	17	0	1033.4	Orig=775.1mm|orig.time=7am
1902	10	3	11	17	0	1031.1	Orig=773.4mm|orig.time=7am
1902	10	5	11	17	0	1023.8	Orig=767.9mm|orig.time=7am
1902	10	7	11	17	0	1022.4	Orig=766.9mm|orig.time=7am
1902	10	8	11	17	0	1027.1	Orig=770.4mm|orig.time=7am
1902	10	9	11	17	0	1023.4	Orig=767.6mm|orig.time=7am
1902	10	10	11	17	0	1015.1	Orig=761.4mm|orig.time=7am
1902	10	11	11	17	0	1015.4	Orig=761.6mm|orig.time=7am
1902	10	12	11	17	0	1017.9	Orig=763.5mm|orig.time=7am
1902	10	13	11	17	0	1022.4	Orig=766.9mm|orig.time=7am
1902	10	14	11	17	0	1019.6	Orig=764.8mm|orig.time=7am
1902	10	15	11	17	0	1019.5	Orig=764.7mm|orig.time=7am
1902	10	16	11	17	0	1018.4	Orig=763.9mm|orig.time=7am
1902	10	17	11	17	0	1015.9	Orig=762mm|orig.time=7am
1902	10	18	11	17	0	1020.6	Orig=765.5mm|orig.time=7am
1902	10	19	11	17	0	1017.9	Orig=763.5mm|orig.time=7am
1902	10	20	11	17	0	1013.3	Orig=760mm|orig.time=7am
1902	10	21	11	17	0	1013	Orig=759.8mm|orig.time=7am
1902	10	22	11	17	0	1008.1	Orig=756.1mm|orig.time=7am
1902	10	23	11	17	0	1008.1	Orig=756.1mm|orig.time=7am
1902	10	24	11	17	0	1008.1	Orig=756.1mm|orig.time=7am
1902	10	25	11	17	0	1012.9	Orig=759.7mm|orig.time=7am
1902	10	26	11	17	0	1006.2	Orig=754.7mm|orig.time=7am
1902	10	27	11	17	0	1018.6	Orig=764mm|orig.time=7am
1902	10	28	11	17	0	1018.3	Orig=763.8mm|orig.time=7am
1902	10	29	11	17	0	1013.1	Orig=759.9mm|orig.time=7am
1902	10	30	11	17	0	1015.5	Orig=761.7mm|orig.time=7am
1902	10	31	11	17	0	1023	Orig=767.3mm|orig.time=7am
1902	11	1	11	17	0	1012.6	Orig=759.5mm|orig.time=7am
1902	11	2	11	17	0	1018.4	Orig=763.9mm|orig.time=7am
1902	11	3	11	17	0	1016.3	Orig=762.3mm|orig.time=7am
1902	11	4	11	17	0	1012.5	Orig=759.4mm|orig.time=7am
1902	11	5	11	17	0	1013	Orig=759.8mm|orig.time=7am
1902	11	6	11	17	0	1003.5	Orig=752.7mm|orig.time=7am
1902	11	7	11	17	0	1007.5	Orig=755.7mm|orig.time=7am
