SEF	0.2.0
ID	DWR_Las_Flores
Name	Las Flores
Lat	-36.0142
Lon	-59.0993
Alt	NA
Source	C3S_SouthAmerica
Link	https://data-rescue.copernicus-climate.eu/lso/1085499
Vbl	mslp
Stat	point
Units	Pa
Meta	Data policy=GNU GPL v3.0
Year	Month	Day	Hour	Minute	Period	Value	Meta
1902	9	5	11	17	0	101912	Orig=764.4mm|orig.time=7am
1902	9	14	11	17	0	101445	Orig=760.9mm|orig.time=7am
1902	9	15	11	17	0	101418	Orig=760.7mm|orig.time=7am
1902	9	16	11	17	0	101245	Orig=759.4mm|orig.time=7am
1902	12	6	11	17	0	100885	Orig=756.7mm|orig.time=7am
1902	12	7	11	17	0	100925	Orig=757mm|orig.time=7am
1902	12	8	11	17	0	100885	Orig=756.7mm|orig.time=7am
1902	12	9	11	17	0	102018	Orig=765.2mm|orig.time=7am
1902	12	10	11	17	0	101565	Orig=761.8mm|orig.time=7am
1902	12	11	11	17	0	101272	Orig=759.6mm|orig.time=7am
1902	12	12	11	17	0	100512	Orig=753.9mm|orig.time=7am
1902	12	13	11	17	0	101418	Orig=760.7mm|orig.time=7am
1902	12	14	11	17	0	102418	Orig=768.2mm|orig.time=7am
1902	12	15	11	17	0	102018	Orig=765.2mm|orig.time=7am
1902	12	16	11	17	0	101578	Orig=761.9mm|orig.time=7am
1902	12	18	11	17	0	101365	Orig=760.3mm|orig.time=7am
1902	12	19	11	17	0	101245	Orig=759.4mm|orig.time=7am
1902	12	20	11	17	0	101578	Orig=761.9mm|orig.time=7am
1902	12	21	11	17	0	101098	Orig=758.3mm|orig.time=7am
1902	12	22	11	17	0	100645	Orig=754.9mm|orig.time=7am
1902	12	23	11	17	0	100752	Orig=755.7mm|orig.time=7am
1902	12	24	11	17	0	100218	Orig=751.7mm|orig.time=7am
1902	12	25	11	17	0	101472	Orig=761.1mm|orig.time=7am
1902	12	26	11	17	0	101058	Orig=758mm|orig.time=7am
1902	12	27	11	17	0	100672	Orig=755.1mm|orig.time=7am
1902	12	28	11	17	0	101405	Orig=760.6mm|orig.time=7am
1902	12	29	11	17	0	101738	Orig=763.1mm|orig.time=7am
1902	12	30	11	17	0	102658	Orig=770mm|orig.time=7am
1902	12	31	11	17	0	102658	Orig=770mm|orig.time=7am
