SEF	0.0.1
ID	DWR_Las_Flores
Name	Las Flores
Lat	
Lon	
Alt	
Source	C3S_SouthAmerica
Repo	
Var	mslp
Units	Pa
Meta	
Year	Month	Day	HHMM	TimeF	Value	Meta
1902	9	5	1117	0	101912	Orig=764.4mm
1902	9	14	1117	0	101445	Orig=760.9mm
1902	9	15	1117	0	101418	Orig=760.7mm
1902	9	16	1117	0	101245	Orig=759.4mm
1902	12	6	1117	0	100885	Orig=756.7mm
1902	12	7	1117	0	100925	Orig=757mm
1902	12	8	1117	0	100885	Orig=756.7mm
1902	12	9	1117	0	102018	Orig=765.2mm
1902	12	10	1117	0	101565	Orig=761.8mm
1902	12	11	1117	0	101272	Orig=759.6mm
1902	12	12	1117	0	100512	Orig=753.9mm
1902	12	13	1117	0	101418	Orig=760.7mm
1902	12	14	1117	0	102418	Orig=768.2mm
1902	12	15	1117	0	102018	Orig=765.2mm
1902	12	16	1117	0	101578	Orig=761.9mm
1902	12	18	1117	0	101365	Orig=760.3mm
1902	12	19	1117	0	101245	Orig=759.4mm
1902	12	20	1117	0	101578	Orig=761.9mm
1902	12	21	1117	0	101098	Orig=758.3mm
1902	12	22	1117	0	100645	Orig=754.9mm
1902	12	23	1117	0	100752	Orig=755.7mm
1902	12	24	1117	0	100218	Orig=751.7mm
1902	12	25	1117	0	101472	Orig=761.1mm
1902	12	26	1117	0	101058	Orig=758mm
1902	12	27	1117	0	100672	Orig=755.1mm
1902	12	28	1117	0	101405	Orig=760.6mm
1902	12	29	1117	0	101738	Orig=763.1mm
1902	12	30	1117	0	102658	Orig=770mm
1902	12	31	1117	0	102658	Orig=770mm
