SEF	0.2.0
ID	DWR_Las_Lajas
Name	Las Lajas
Lat	-38.5239
Lon	-70.364
Alt	NA
Source	C3S_SouthAmerica
Link	https://data-rescue.copernicus-climate.eu/lso/1085518
Vbl	dd
Stat	point
Units	degree
Meta	Data policy=GNU GPL v3.0
Year	Month	Day	Hour	Minute	Period	Value	Meta
1902	8	12	18	17	0	270	Orig=W|orig.time=2pm
1902	8	13	18	17	0	270	Orig=W|orig.time=2pm
1902	8	15	18	17	0	270	Orig=W|orig.time=2pm
1902	8	16	18	17	0	270	Orig=W|orig.time=2pm
1902	8	18	18	17	0	270	Orig=W|orig.time=2pm
1902	8	20	18	17	0	270	Orig=W|orig.time=2pm
1902	8	21	18	17	0	270	Orig=W|orig.time=2pm
1902	8	22	18	17	0	270	Orig=W|orig.time=2pm
1902	8	23	18	17	0	90	Orig=E|orig.time=2pm
1902	8	25	18	17	0	90	Orig=E|orig.time=2pm
1902	8	27	18	17	0	270	Orig=W|orig.time=2pm
1902	8	29	18	17	0	90	Orig=E|orig.time=2pm
1902	8	30	18	17	0	90	Orig=E|orig.time=2pm
1902	8	31	18	17	0	270	Orig=W|orig.time=2pm
1902	9	3	11	17	0	270	Orig=W|orig.time=7am
1902	9	5	11	17	0	270	Orig=W|orig.time=7am
1902	9	7	11	17	0	270	Orig=W|orig.time=7am
1902	9	10	11	17	0	270	Orig=W|orig.time=7am
1902	9	11	11	17	0	270	Orig=W|orig.time=7am
1902	9	12	11	17	0	270	Orig=W|orig.time=7am
1902	9	13	11	17	0	270	Orig=W|orig.time=7am
1902	9	14	11	17	0	90	Orig=E|orig.time=7am
1902	9	15	11	17	0	90	Orig=E|orig.time=7am
1902	9	16	11	17	0	270	Orig=W|orig.time=7am
1902	9	17	11	17	0	270	Orig=W|orig.time=7am
1902	9	18	11	17	0	270	Orig=W|orig.time=7am
1902	9	20	11	17	0	270	Orig=W|orig.time=7am
1902	9	24	11	17	0	180	Orig=S|orig.time=7am
1902	9	25	11	17	0	90	Orig=E|orig.time=7am
1902	9	26	11	17	0	270	Orig=W|orig.time=7am
1902	9	27	11	17	0	270	Orig=W|orig.time=7am
1902	9	28	11	17	0	270	Orig=W|orig.time=7am
1902	9	29	11	17	0	90	Orig=E|orig.time=7am
1902	10	1	11	17	0	270	Orig=W|orig.time=7am
1902	10	5	11	17	0	270	Orig=W|orig.time=7am
1902	10	7	11	17	0	270	Orig=W|orig.time=7am
1902	10	9	11	17	0	270	Orig=W|orig.time=7am
1902	10	10	11	17	0	270	Orig=W|orig.time=7am
1902	10	12	11	17	0	270	Orig=W|orig.time=7am
1902	10	14	11	17	0	90	Orig=E|orig.time=7am
1902	10	15	11	17	0	270	Orig=W|orig.time=7am
1902	10	17	11	17	0	270	Orig=W|orig.time=7am
1902	10	18	11	17	0	270	Orig=W|orig.time=7am
1902	10	19	11	17	0	270	Orig=W|orig.time=7am
1902	10	20	11	17	0	270	Orig=W|orig.time=7am
1902	10	22	11	17	0	270	Orig=W|orig.time=7am
1902	10	23	11	17	0	270	Orig=W|orig.time=7am
1902	10	24	11	17	0	270	Orig=W|orig.time=7am
1902	10	25	11	17	0	270	Orig=W|orig.time=7am
1902	10	26	11	17	0	270	Orig=W|orig.time=7am
1902	10	28	11	17	0	270	Orig=W|orig.time=7am
1902	10	29	11	17	0	270	Orig=W|orig.time=7am
1902	10	30	11	17	0	270	Orig=W|orig.time=7am
1902	11	1	11	17	0	270	Orig=W|orig.time=7am
1902	11	2	11	17	0	270	Orig=W|orig.time=7am
1902	11	4	11	17	0	270	Orig=W|orig.time=7am
1902	11	5	11	17	0	315	Orig=NW|orig.time=7am
1902	11	6	11	17	0	270	Orig=W|orig.time=7am
1902	11	7	11	17	0	270	Orig=W|orig.time=7am
1902	11	8	11	17	0	180	Orig=S|orig.time=7am
1902	11	9	11	17	0	225	Orig=SW|orig.time=7am
1902	11	10	11	17	0	270	Orig=W|orig.time=7am
1902	11	12	11	17	0	270	Orig=W|orig.time=7am
1902	11	13	11	17	0	270	Orig=W|orig.time=7am
1902	11	14	11	17	0	270	Orig=W|orig.time=7am
