SEF	1.0.0
ID	DWR_Las_Lajas
Name	Las Lajas
Lat	-38.5239
Lon	-70.364
Alt	NA
Source	C3S_SouthAmerica
Link	https://data-rescue.copernicus-climate.eu/lso/1085511
Vbl	mslp
Stat	point
Units	hPa
Meta	Data policy=GNU GPL v3.0
Year	Month	Day	Hour	Minute	Period	Value	Meta
1902	8	24	18	17	0	1025.9	Orig=769.5mm|orig.time=2pm
1902	8	25	18	17	0	1029.2	Orig=772mm|orig.time=2pm
1902	8	26	18	17	0	1024.3	Orig=768.3mm|orig.time=2pm
1902	8	27	18	17	0	1020.6	Orig=765.5mm|orig.time=2pm
1902	8	28	18	17	0	1018.6	Orig=764mm|orig.time=2pm
1902	8	29	18	17	0	1015.1	Orig=761.4mm|orig.time=2pm
1902	8	30	18	17	0	1021.4	Orig=766.1mm|orig.time=2pm
1902	8	31	18	17	0	1013	Orig=759.8mm|orig.time=2pm
1902	9	3	11	17	0	1026.2	Orig=769.7mm|orig.time=7am
1902	9	4	11	17	0	1023.2	Orig=767.5mm|orig.time=7am
1902	9	5	11	17	0	1010.3	Orig=757.8mm|orig.time=7am
1902	9	8	11	17	0	1019.8	Orig=764.9mm|orig.time=7am
1902	9	10	11	17	0	1024.6	Orig=768.5mm|orig.time=7am
1902	9	11	11	17	0	1043.5	Orig=782.7mm|orig.time=7am
1902	9	12	11	17	0	1025.2	Orig=769mm|orig.time=7am
1902	9	13	11	17	0	1011.5	Orig=758.7mm|orig.time=7am
1902	9	14	11	17	0	1016.2	Orig=762.2mm|orig.time=7am
1902	9	15	11	17	0	1013	Orig=759.8mm|orig.time=7am
1902	9	16	11	17	0	1004.5	Orig=753.4mm|orig.time=7am
1902	9	18	11	17	0	1010.9	Orig=758.2mm|orig.time=7am
1902	9	20	11	17	0	1021.9	Orig=766.5mm|orig.time=7am
1902	9	21	11	17	0	1026.6	Orig=770mm|orig.time=7am
1902	9	24	11	17	0	1031.5	Orig=773.7mm|orig.time=7am
1902	9	27	11	17	0	1015.9	Orig=762mm|orig.time=7am
1902	9	28	11	17	0	1025.2	Orig=769mm|orig.time=7am
1902	9	29	11	17	0	1023.1	Orig=767.4mm|orig.time=7am
1902	9	30	11	17	0	1031.8	Orig=773.9mm|orig.time=7am
1902	10	1	11	17	0	1035.1	Orig=776.4mm|orig.time=7am
1902	10	5	11	17	0	1016.2	Orig=762.2mm|orig.time=7am
1902	10	9	11	17	0	1017.4	Orig=763.1mm|orig.time=7am
1902	10	10	11	17	0	1024.3	Orig=768.3mm|orig.time=7am
1902	10	11	11	17	0	1028.7	Orig=771.6mm|orig.time=7am
1902	10	12	11	17	0	1027.9	Orig=771mm|orig.time=7am
1902	10	13	11	17	0	1019.9	Orig=765mm|orig.time=7am
1902	10	14	11	17	0	1018.4	Orig=763.9mm|orig.time=7am
1902	10	15	11	17	0	1021	Orig=765.8mm|orig.time=7am
1902	10	17	11	17	0	1022.3	Orig=766.8mm|orig.time=7am
1902	10	18	11	17	0	1014.7	Orig=761.1mm|orig.time=7am
1902	10	19	11	17	0	1015.2	Orig=761.5mm|orig.time=7am
1902	10	20	11	17	0	1012.5	Orig=759.4mm|orig.time=7am
1902	10	21	11	17	0	1015.2	Orig=761.5mm|orig.time=7am
1902	10	22	11	17	0	1003.4	Orig=752.6mm|orig.time=7am
1902	10	23	11	17	0	1012.9	Orig=759.7mm|orig.time=7am
1902	10	24	11	17	0	1016	Orig=762.1mm|orig.time=7am
1902	10	25	11	17	0	1011.7	Orig=758.8mm|orig.time=7am
1902	10	26	11	17	0	1022.2	Orig=766.7mm|orig.time=7am
1902	10	28	11	17	0	1021	Orig=765.8mm|orig.time=7am
1902	10	29	11	17	0	1018.6	Orig=764mm|orig.time=7am
1902	10	30	11	17	0	1023	Orig=767.3mm|orig.time=7am
1902	10	31	11	17	0	1015.4	Orig=761.6mm|orig.time=7am
1902	11	1	11	17	0	1015.6	Orig=761.8mm|orig.time=7am
1902	11	2	11	17	0	1021.5	Orig=766.2mm|orig.time=7am
1902	11	3	11	17	0	1013.1	Orig=759.9mm|orig.time=7am
1902	11	6	11	17	0	1010.2	Orig=757.7mm|orig.time=7am
1902	11	7	11	17	0	1006.6	Orig=755mm|orig.time=7am
1902	11	8	11	17	0	1015.6	Orig=761.8mm|orig.time=7am
1902	11	9	11	17	0	1020.6	Orig=765.5mm|orig.time=7am
1902	11	10	11	17	0	1019.2	Orig=764.5mm|orig.time=7am
1902	11	11	11	17	0	1015.9	Orig=762mm|orig.time=7am
1902	11	12	11	17	0	1017.1	Orig=762.9mm|orig.time=7am
1902	11	13	11	17	0	1017.2	Orig=763mm|orig.time=7am
1902	11	14	11	17	0	1011.9	Orig=759mm|orig.time=7am
1902	11	15	11	17	0	1016.7	Orig=762.6mm|orig.time=7am
1902	11	16	11	17	0	1017.1	Orig=762.9mm|orig.time=7am
1902	11	18	11	17	0	1014.5	Orig=760.9mm|orig.time=7am
1902	11	19	11	17	0	1019.6	Orig=764.8mm|orig.time=7am
1902	11	20	11	17	0	1012.2	Orig=759.2mm|orig.time=7am
1902	11	22	11	17	0	1006.2	Orig=754.7mm|orig.time=7am
1902	11	23	11	17	0	1016.2	Orig=762.2mm|orig.time=7am
1902	11	24	11	17	0	1008.6	Orig=756.5mm|orig.time=7am
1902	11	25	11	17	0	1018.4	Orig=763.9mm|orig.time=7am
1902	11	26	11	17	0	1026.2	Orig=769.7mm|orig.time=7am
1902	11	27	11	17	0	1024.3	Orig=768.3mm|orig.time=7am
1902	11	28	11	17	0	1013.7	Orig=760.3mm|orig.time=7am
1902	11	29	11	17	0	1016	Orig=762.1mm|orig.time=7am
1902	11	30	11	17	0	1013.5	Orig=760.2mm|orig.time=7am
1902	12	1	11	17	0	1015.5	Orig=761.7mm|orig.time=7am
1902	12	2	11	17	0	1014.6	Orig=761mm|orig.time=7am
1902	12	3	11	17	0	1014.2	Orig=760.7mm|orig.time=7am
1902	12	4	11	17	0	1017.2	Orig=763mm|orig.time=7am
1902	12	5	11	17	0	1017.2	Orig=763mm|orig.time=7am
1902	12	6	11	17	0	1009.7	Orig=757.3mm|orig.time=7am
1902	12	7	11	17	0	1013.9	Orig=760.5mm|orig.time=7am
1902	12	8	11	17	0	1016.2	Orig=762.2mm|orig.time=7am
1902	12	9	11	17	0	1010.7	Orig=758.1mm|orig.time=7am
1902	12	10	11	17	0	1013.5	Orig=760.2mm|orig.time=7am
1902	12	11	11	17	0	1008.6	Orig=756.5mm|orig.time=7am
1902	12	12	11	17	0	1008.5	Orig=756.4mm|orig.time=7am
1902	12	13	11	17	0	1021.6	Orig=766.3mm|orig.time=7am
1902	12	14	11	17	0	1021	Orig=765.8mm|orig.time=7am
1902	12	15	11	17	0	1013.5	Orig=760.2mm|orig.time=7am
1902	12	16	11	17	0	1017.5	Orig=763.2mm|orig.time=7am
1902	12	17	11	17	0	1013.8	Orig=760.4mm|orig.time=7am
1902	12	18	11	17	0	1011.3	Orig=758.5mm|orig.time=7am
1902	12	19	11	17	0	1011.8	Orig=758.9mm|orig.time=7am
1902	12	20	11	17	0	1014.9	Orig=761.2mm|orig.time=7am
1902	12	21	11	17	0	1009.3	Orig=757mm|orig.time=7am
1902	12	22	11	17	0	1006.6	Orig=755mm|orig.time=7am
1902	12	23	11	17	0	1006.7	Orig=755.1mm|orig.time=7am
1902	12	26	11	17	0	1011.4	Orig=758.6mm|orig.time=7am
1902	12	27	11	17	0	1015	Orig=761.3mm|orig.time=7am
1902	12	28	11	17	0	1015.4	Orig=761.6mm|orig.time=7am
1902	12	29	11	17	0	1019.5	Orig=764.7mm|orig.time=7am
1902	12	30	11	17	0	1016.6	Orig=762.5mm|orig.time=7am
1902	12	31	11	17	0	1015.5	Orig=761.7mm|orig.time=7am
