SEF	0.0.1
ID	DWR_Las_Lajas
Name	Las Lajas
Lat	
Lon	
Alt	
Source	C3S_SouthAmerica
Repo	
Var	mslp
Units	Pa
Meta	
Year	Month	Day	HHMM	TimeF	Value	Meta
1902	8	24	1817	0	102592	Orig=769.5mm
1902	8	25	1817	0	102925	Orig=772mm
1902	8	26	1817	0	102432	Orig=768.3mm
1902	8	27	1817	0	102058	Orig=765.5mm
1902	8	28	1817	0	101858	Orig=764mm
1902	8	29	1817	0	101512	Orig=761.4mm
1902	8	30	1817	0	102138	Orig=766.1mm
1902	8	31	1817	0	101298	Orig=759.8mm
1902	9	3	1117	0	102618	Orig=769.7mm
1902	9	4	1117	0	102325	Orig=767.5mm
1902	9	5	1117	0	101032	Orig=757.8mm
1902	9	8	1117	0	101978	Orig=764.9mm
1902	9	10	1117	0	102458	Orig=768.5mm
1902	9	11	1117	0	104351	Orig=782.7mm
1902	9	12	1117	0	102525	Orig=769mm
1902	9	13	1117	0	101152	Orig=758.7mm
1902	9	14	1117	0	101618	Orig=762.2mm
1902	9	15	1117	0	101298	Orig=759.8mm
1902	9	16	1117	0	100445	Orig=753.4mm
1902	9	18	1117	0	101085	Orig=758.2mm
1902	9	20	1117	0	102192	Orig=766.5mm
1902	9	21	1117	0	102658	Orig=770mm
1902	9	24	1117	0	103152	Orig=773.7mm
1902	9	27	1117	0	101592	Orig=762mm
1902	9	28	1117	0	102525	Orig=769mm
1902	9	29	1117	0	102312	Orig=767.4mm
1902	9	30	1117	0	103178	Orig=773.9mm
1902	10	1	1117	0	103512	Orig=776.4mm
1902	10	5	1117	0	101618	Orig=762.2mm
1902	10	9	1117	0	101738	Orig=763.1mm
1902	10	10	1117	0	102432	Orig=768.3mm
1902	10	11	1117	0	102872	Orig=771.6mm
1902	10	12	1117	0	102792	Orig=771mm
1902	10	13	1117	0	101992	Orig=765mm
1902	10	14	1117	0	101845	Orig=763.9mm
1902	10	15	1117	0	102098	Orig=765.8mm
1902	10	17	1117	0	102232	Orig=766.8mm
1902	10	18	1117	0	101472	Orig=761.1mm
1902	10	19	1117	0	101525	Orig=761.5mm
1902	10	20	1117	0	101245	Orig=759.4mm
1902	10	21	1117	0	101525	Orig=761.5mm
1902	10	22	1117	0	100338	Orig=752.6mm
1902	10	23	1117	0	101285	Orig=759.7mm
1902	10	24	1117	0	101605	Orig=762.1mm
1902	10	25	1117	0	101165	Orig=758.8mm
1902	10	26	1117	0	102218	Orig=766.7mm
1902	10	28	1117	0	102098	Orig=765.8mm
1902	10	29	1117	0	101858	Orig=764mm
1902	10	30	1117	0	102298	Orig=767.3mm
1902	10	31	1117	0	101538	Orig=761.6mm
1902	11	1	1117	0	101565	Orig=761.8mm
1902	11	2	1117	0	102152	Orig=766.2mm
1902	11	3	1117	0	101312	Orig=759.9mm
1902	11	6	1117	0	101018	Orig=757.7mm
1902	11	7	1117	0	100658	Orig=755mm
1902	11	8	1117	0	101565	Orig=761.8mm
1902	11	9	1117	0	102058	Orig=765.5mm
1902	11	10	1117	0	101925	Orig=764.5mm
1902	11	11	1117	0	101592	Orig=762mm
1902	11	12	1117	0	101712	Orig=762.9mm
1902	11	13	1117	0	101725	Orig=763mm
1902	11	14	1117	0	101192	Orig=759mm
1902	11	15	1117	0	101672	Orig=762.6mm
1902	11	16	1117	0	101712	Orig=762.9mm
1902	11	18	1117	0	101445	Orig=760.9mm
1902	11	19	1117	0	101965	Orig=764.8mm
1902	11	20	1117	0	101218	Orig=759.2mm
1902	11	22	1117	0	100618	Orig=754.7mm
1902	11	23	1117	0	101618	Orig=762.2mm
1902	11	24	1117	0	100858	Orig=756.5mm
1902	11	25	1117	0	101845	Orig=763.9mm
1902	11	26	1117	0	102618	Orig=769.7mm
1902	11	27	1117	0	102432	Orig=768.3mm
1902	11	28	1117	0	101365	Orig=760.3mm
1902	11	29	1117	0	101605	Orig=762.1mm
1902	11	30	1117	0	101352	Orig=760.2mm
1902	12	1	1117	0	101552	Orig=761.7mm
1902	12	2	1117	0	101458	Orig=761mm
1902	12	3	1117	0	101418	Orig=760.7mm
1902	12	4	1117	0	101725	Orig=763mm
1902	12	5	1117	0	101725	Orig=763mm
1902	12	6	1117	0	100965	Orig=757.3mm
1902	12	7	1117	0	101392	Orig=760.5mm
1902	12	8	1117	0	101618	Orig=762.2mm
1902	12	9	1117	0	101072	Orig=758.1mm
1902	12	10	1117	0	101352	Orig=760.2mm
1902	12	11	1117	0	100858	Orig=756.5mm
1902	12	12	1117	0	100845	Orig=756.4mm
1902	12	13	1117	0	102165	Orig=766.3mm
1902	12	14	1117	0	102098	Orig=765.8mm
1902	12	15	1117	0	101352	Orig=760.2mm
1902	12	16	1117	0	101752	Orig=763.2mm
1902	12	17	1117	0	101378	Orig=760.4mm
1902	12	18	1117	0	101125	Orig=758.5mm
1902	12	19	1117	0	101178	Orig=758.9mm
1902	12	20	1117	0	101485	Orig=761.2mm
1902	12	21	1117	0	100925	Orig=757mm
1902	12	22	1117	0	100658	Orig=755mm
1902	12	23	1117	0	100672	Orig=755.1mm
1902	12	26	1117	0	101138	Orig=758.6mm
1902	12	27	1117	0	101498	Orig=761.3mm
1902	12	28	1117	0	101538	Orig=761.6mm
1902	12	29	1117	0	101952	Orig=764.7mm
1902	12	30	1117	0	101658	Orig=762.5mm
1902	12	31	1117	0	101552	Orig=761.7mm
