SEF	0.0.1
ID	DWR_MISIONES-Pos
Name	MISIONES-Posadas
Lat	
Lon	
Alt	
Source	C3S_SouthAmerica
Repo	
Var	mslp
Units	Pa
Meta	
Year	Month	Day	HHMM	TimeF	Value	Meta
1902	7	19	1817	0	101898	Orig=764.3mm
1902	7	20	1817	0	102138	Orig=766.1mm
1902	7	21	1817	0	102645	Orig=769.9mm
1902	7	23	1817	0	101045	Orig=757.9mm
1902	7	24	1817	0	101138	Orig=758.6mm
1902	7	26	1817	0	100752	Orig=755.7mm
1902	7	27	1817	0	100885	Orig=756.7mm
1902	7	28	1817	0	101592	Orig=762mm
1902	7	29	1817	0	102418	Orig=768.2mm
1902	7	30	1817	0	102085	Orig=765.7mm
1902	7	31	1817	0	101258	Orig=759.5mm
1902	8	1	1817	0	101018	Orig=757.7mm
1902	8	2	1817	0	102098	Orig=765.8mm
1902	8	3	1817	0	103072	Orig=773.1mm
1902	8	4	1817	0	102352	Orig=767.7mm
1902	8	5	1817	0	102018	Orig=765.2mm
1902	8	6	1817	0	101725	Orig=763mm
1902	8	7	1817	0	101565	Orig=761.8mm
1902	8	8	1817	0	101085	Orig=758.2mm
1902	8	9	1817	0	100738	Orig=755.6mm
1902	8	10	1817	0	101085	Orig=758.2mm
1902	8	11	1817	0	101218	Orig=759.2mm
1902	8	12	1817	0	100912	Orig=756.9mm
1902	8	13	1817	0	101352	Orig=760.2mm
1902	8	14	1817	0	101725	Orig=763mm
1902	8	15	1817	0	101898	Orig=764.3mm
1902	8	16	1817	0	102272	Orig=767.1mm
1902	8	17	1817	0	103098	Orig=773.3mm
1902	8	18	1817	0	102832	Orig=771.3mm
1902	8	19	1817	0	101445	Orig=760.9mm
1902	8	20	1817	0	101178	Orig=758.9mm
1902	8	21	1817	0	100352	Orig=752.7mm
1902	8	22	1817	0	100312	Orig=752.4mm
1902	8	23	1817	0	102418	Orig=768.2mm
1902	8	24	1817	0	102552	Orig=769.2mm
1902	8	25	1817	0	102285	Orig=767.2mm
1902	8	26	1817	0	102485	Orig=768.7mm
1902	8	27	1817	0	102605	Orig=769.6mm
1902	8	28	1817	0	102725	Orig=770.5mm
1902	8	29	1817	0	102685	Orig=770.2mm
1902	8	30	1817	0	102378	Orig=767.9mm
1902	8	31	1817	0	102152	Orig=766.2mm
1902	9	2	1117	0	102272	Orig=767.1mm
1902	9	3	1117	0	101938	Orig=764.6mm
1902	9	4	1117	0	102072	Orig=765.6mm
1902	9	5	1117	0	101965	Orig=764.8mm
1902	9	6	1117	0	101392	Orig=760.5mm
1902	9	7	1117	0	101512	Orig=761.4mm
1902	9	8	1117	0	101152	Orig=758.7mm
1902	9	10	1117	0	101458	Orig=761mm
1902	9	11	1117	0	101832	Orig=763.8mm
1902	9	12	1117	0	102472	Orig=768.6mm
1902	9	13	1117	0	102018	Orig=765.2mm
1902	9	14	1117	0	101498	Orig=761.3mm
1902	9	15	1117	0	101245	Orig=759.4mm
1902	9	16	1117	0	101138	Orig=758.6mm
1902	9	17	1117	0	101378	Orig=760.4mm
1902	9	18	1117	0	101152	Orig=758.7mm
1902	9	19	1117	0	100938	Orig=757.1mm
1902	9	21	1117	0	101298	Orig=759.8mm
1902	9	22	1117	0	101538	Orig=761.6mm
1902	9	23	1117	0	101832	Orig=763.8mm
1902	9	24	1117	0	102392	Orig=768mm
1902	9	25	1117	0	102925	Orig=772mm
1902	9	26	1117	0	102072	Orig=765.6mm
1902	9	27	1117	0	101672	Orig=762.6mm
1902	9	28	1117	0	101432	Orig=760.8mm
1902	9	29	1117	0	101258	Orig=759.5mm
1902	9	30	1117	0	101645	Orig=762.4mm
1902	10	1	1117	0	103165	Orig=773.8mm
1902	10	2	1117	0	103525	Orig=776.5mm
1902	10	3	1117	0	103018	Orig=772.7mm
1902	10	5	1117	0	101965	Orig=764.8mm
1902	10	7	1117	0	101298	Orig=759.8mm
1902	10	8	1117	0	102592	Orig=769.5mm
1902	10	9	1117	0	102538	Orig=769.1mm
1902	10	10	1117	0	101658	Orig=762.5mm
1902	10	12	1117	0	102205	Orig=766.6mm
1902	10	13	1117	0	102685	Orig=770.2mm
1902	10	14	1117	0	102418	Orig=768.2mm
1902	10	15	1117	0	102018	Orig=765.2mm
1902	10	16	1117	0	101712	Orig=762.9mm
1902	10	17	1117	0	101592	Orig=762mm
1902	10	18	1117	0	101912	Orig=764.4mm
1902	10	19	1117	0	101698	Orig=762.8mm
1902	10	20	1117	0	101578	Orig=761.9mm
1902	10	27	1117	0	101285	Orig=759.7mm
1902	10	28	1117	0	101285	Orig=759.7mm
1902	10	30	1117	0	101485	Orig=761.2mm
1902	10	31	1117	0	101912	Orig=764.4mm
1902	11	1	1117	0	101552	Orig=761.7mm
1902	11	2	1117	0	101045	Orig=757.9mm
1902	11	3	1117	0	101245	Orig=759.4mm
1902	11	4	1117	0	101218	Orig=759.2mm
1902	11	6	1117	0	100552	Orig=754.2mm
1902	11	7	1117	0	100512	Orig=753.9mm
1902	11	10	1117	0	101498	Orig=761.3mm
1902	11	11	1117	0	101738	Orig=763.1mm
1902	11	12	1117	0	101152	Orig=758.7mm
1902	11	13	1117	0	101165	Orig=758.8mm
1902	11	14	1117	0	100738	Orig=755.6mm
1902	11	15	1117	0	100898	Orig=756.8mm
1902	11	16	1117	0	101432	Orig=760.8mm
1902	11	17	1117	0	101565	Orig=761.8mm
1902	11	18	1117	0	101218	Orig=759.2mm
1902	11	19	1117	0	101232	Orig=759.3mm
1902	11	20	1117	0	101298	Orig=759.8mm
1902	11	21	1117	0	101165	Orig=758.8mm
1902	11	22	1117	0	101152	Orig=758.7mm
1902	11	23	1117	0	101005	Orig=757.6mm
1902	11	24	1117	0	101298	Orig=759.8mm
1902	11	25	1117	0	100885	Orig=756.7mm
1902	11	26	1117	0	100738	Orig=755.6mm
1902	11	27	1117	0	102072	Orig=765.6mm
1902	11	28	1117	0	101925	Orig=764.5mm
1902	11	29	1117	0	101565	Orig=761.8mm
1902	11	30	1117	0	101632	Orig=762.3mm
1902	12	1	1117	0	101525	Orig=761.5mm
1902	12	2	1117	0	101445	Orig=760.9mm
1902	12	3	1117	0	101312	Orig=759.9mm
1902	12	4	1117	0	101232	Orig=759.3mm
1902	12	5	1117	0	101352	Orig=760.2mm
1902	12	6	1117	0	101285	Orig=759.7mm
1902	12	7	1117	0	100885	Orig=756.7mm
1902	12	8	1117	0	101285	Orig=759.7mm
1902	12	9	1117	0	101818	Orig=763.7mm
1902	12	10	1117	0	101485	Orig=761.2mm
1902	12	11	1117	0	101138	Orig=758.6mm
1902	12	12	1117	0	101272	Orig=759.6mm
1902	12	14	1117	0	101485	Orig=761.2mm
1902	12	15	1117	0	101698	Orig=762.8mm
1902	12	16	1117	0	101552	Orig=761.7mm
1902	12	17	1117	0	101432	Orig=760.8mm
1902	12	18	1117	0	101365	Orig=760.3mm
1902	12	19	1117	0	101378	Orig=760.4mm
1902	12	20	1117	0	101552	Orig=761.7mm
1902	12	21	1117	0	101498	Orig=761.3mm
1902	12	22	1117	0	100992	Orig=757.5mm
1902	12	23	1117	0	100898	Orig=756.8mm
1902	12	24	1117	0	100712	Orig=755.4mm
1902	12	26	1117	0	100952	Orig=757.2mm
1902	12	27	1117	0	100898	Orig=756.8mm
1902	12	28	1117	0	101072	Orig=758.1mm
1902	12	29	1117	0	100912	Orig=756.9mm
1902	12	30	1117	0	101832	Orig=763.8mm
