SEF	0.0.1
ID	DWR_Mar_del_Plat
Name	Mar del Plata
Lat	
Lon	
Alt	
Source	C3S_SouthAmerica
Repo	
Var	mslp
Units	Pa
Meta	
Year	Month	Day	HHMM	TimeF	Value	Meta
1902	9	3	1117	0	101778	Orig=763.4mm
1902	9	4	1117	0	102832	Orig=771.3mm
1902	9	5	1117	0	102285	Orig=767.2mm
1902	9	6	1117	0	101258	Orig=759.5mm
1902	9	8	1117	0	101018	Orig=757.7mm
1902	9	12	1117	0	103352	Orig=775.2mm
1902	9	13	1117	0	102698	Orig=770.3mm
1902	9	14	1117	0	101525	Orig=761.5mm
1902	9	18	1117	0	100578	Orig=754.4mm
1902	11	20	1117	0	102112	Orig=765.9mm
1902	11	21	1117	0	101565	Orig=761.8mm
1902	11	22	1117	0	101312	Orig=759.9mm
1902	11	23	1117	0	100765	Orig=755.8mm
1902	11	24	1117	0	101245	Orig=759.4mm
1902	11	25	1117	0	100938	Orig=757.1mm
1902	11	26	1117	0	101912	Orig=764.4mm
1902	11	27	1117	0	102498	Orig=768.8mm
1902	11	28	1117	0	101645	Orig=762.4mm
1902	11	29	1117	0	101418	Orig=760.7mm
1902	11	30	1117	0	101992	Orig=765mm
1902	12	1	1117	0	101698	Orig=762.8mm
1902	12	2	1117	0	101205	Orig=759.1mm
1902	12	3	1117	0	101698	Orig=762.8mm
1902	12	4	1117	0	101592	Orig=762mm
1902	12	5	1117	0	101552	Orig=761.7mm
1902	12	7	1117	0	100952	Orig=757.2mm
1902	12	8	1117	0	100832	Orig=756.3mm
1902	12	9	1117	0	101978	Orig=764.9mm
1902	12	11	1117	0	100925	Orig=757mm
1902	12	12	1117	0	100272	Orig=752.1mm
1902	12	13	1117	0	101245	Orig=759.4mm
1902	12	14	1117	0	102378	Orig=767.9mm
1902	12	15	1117	0	101965	Orig=764.8mm
1902	12	16	1117	0	101085	Orig=758.2mm
1902	12	17	1117	0	100965	Orig=757.3mm
1902	12	18	1117	0	101298	Orig=759.8mm
1902	12	19	1117	0	100872	Orig=756.6mm
1902	12	20	1117	0	101645	Orig=762.4mm
1902	12	21	1117	0	101245	Orig=759.4mm
1902	12	22	1117	0	100405	Orig=753.1mm
1902	12	23	1117	0	100698	Orig=755.3mm
1902	12	24	1117	0	100058	Orig=750.5mm
1902	12	25	1117	0	101098	Orig=758.3mm
1902	12	26	1117	0	100698	Orig=755.3mm
1902	12	27	1117	0	100805	Orig=756.1mm
1902	12	28	1117	0	101178	Orig=758.9mm
1902	12	29	1117	0	101805	Orig=763.6mm
1902	12	30	1117	0	102592	Orig=769.5mm
1902	12	31	1117	0	102525	Orig=769mm
