SEF	0.2.0
ID	DWR_Mar_dl_Plata
Name	Mar del Plata
Lat	-38.0055
Lon	-57.5426
Alt	NA
Source	C3S_SouthAmerica
Link	https://data-rescue.copernicus-climate.eu/lso/1085535
Vbl	mslp
Stat	point
Units	Pa
Meta	Data policy=GNU GPL v3.0
Year	Month	Day	Hour	Minute	Period	Value	Meta
1902	9	3	11	17	0	101778	Orig=763.4mm|orig.time=7am
1902	9	4	11	17	0	102832	Orig=771.3mm|orig.time=7am
1902	9	5	11	17	0	102285	Orig=767.2mm|orig.time=7am
1902	9	6	11	17	0	101258	Orig=759.5mm|orig.time=7am
1902	9	8	11	17	0	101018	Orig=757.7mm|orig.time=7am
1902	9	12	11	17	0	103352	Orig=775.2mm|orig.time=7am
1902	9	13	11	17	0	102698	Orig=770.3mm|orig.time=7am
1902	9	14	11	17	0	101525	Orig=761.5mm|orig.time=7am
1902	9	18	11	17	0	100578	Orig=754.4mm|orig.time=7am
1902	11	20	11	17	0	102112	Orig=765.9mm|orig.time=7am
1902	11	21	11	17	0	101565	Orig=761.8mm|orig.time=7am
1902	11	22	11	17	0	101312	Orig=759.9mm|orig.time=7am
1902	11	23	11	17	0	100765	Orig=755.8mm|orig.time=7am
1902	11	24	11	17	0	101245	Orig=759.4mm|orig.time=7am
1902	11	25	11	17	0	100938	Orig=757.1mm|orig.time=7am
1902	11	26	11	17	0	101912	Orig=764.4mm|orig.time=7am
1902	11	27	11	17	0	102498	Orig=768.8mm|orig.time=7am
1902	11	28	11	17	0	101645	Orig=762.4mm|orig.time=7am
1902	11	29	11	17	0	101418	Orig=760.7mm|orig.time=7am
1902	11	30	11	17	0	101992	Orig=765mm|orig.time=7am
1902	12	1	11	17	0	101698	Orig=762.8mm|orig.time=7am
1902	12	2	11	17	0	101205	Orig=759.1mm|orig.time=7am
1902	12	3	11	17	0	101698	Orig=762.8mm|orig.time=7am
1902	12	4	11	17	0	101592	Orig=762mm|orig.time=7am
1902	12	5	11	17	0	101552	Orig=761.7mm|orig.time=7am
1902	12	7	11	17	0	100952	Orig=757.2mm|orig.time=7am
1902	12	8	11	17	0	100832	Orig=756.3mm|orig.time=7am
1902	12	9	11	17	0	101978	Orig=764.9mm|orig.time=7am
1902	12	11	11	17	0	100925	Orig=757mm|orig.time=7am
1902	12	12	11	17	0	100272	Orig=752.1mm|orig.time=7am
1902	12	13	11	17	0	101245	Orig=759.4mm|orig.time=7am
1902	12	14	11	17	0	102378	Orig=767.9mm|orig.time=7am
1902	12	15	11	17	0	101965	Orig=764.8mm|orig.time=7am
1902	12	16	11	17	0	101085	Orig=758.2mm|orig.time=7am
1902	12	17	11	17	0	100965	Orig=757.3mm|orig.time=7am
1902	12	18	11	17	0	101298	Orig=759.8mm|orig.time=7am
1902	12	19	11	17	0	100872	Orig=756.6mm|orig.time=7am
1902	12	20	11	17	0	101645	Orig=762.4mm|orig.time=7am
1902	12	21	11	17	0	101245	Orig=759.4mm|orig.time=7am
1902	12	22	11	17	0	100405	Orig=753.1mm|orig.time=7am
1902	12	23	11	17	0	100698	Orig=755.3mm|orig.time=7am
1902	12	24	11	17	0	100058	Orig=750.5mm|orig.time=7am
1902	12	25	11	17	0	101098	Orig=758.3mm|orig.time=7am
1902	12	26	11	17	0	100698	Orig=755.3mm|orig.time=7am
1902	12	27	11	17	0	100805	Orig=756.1mm|orig.time=7am
1902	12	28	11	17	0	101178	Orig=758.9mm|orig.time=7am
1902	12	29	11	17	0	101805	Orig=763.6mm|orig.time=7am
1902	12	30	11	17	0	102592	Orig=769.5mm|orig.time=7am
1902	12	31	11	17	0	102525	Orig=769mm|orig.time=7am
