SEF	1.0.0
ID	DWR_N._Huapi
Name	N. Huapí
Lat	-40.9256
Lon	-71.5151
Alt	NA
Source	C3S_SouthAmerica
Link	https://data-rescue.copernicus-climate.eu/lso/1085619
Vbl	mslp
Stat	point
Units	hPa
Meta	Data policy=GNU GPL v3.0
Year	Month	Day	Hour	Minute	Period	Value	Meta
1902	12	10	11	17	0	1011.8	Orig=758.9mm|orig.time=7am
1902	12	12	11	17	0	1007	Orig=755.3mm|orig.time=7am
1902	12	13	11	17	0	1018.4	Orig=763.9mm|orig.time=7am
1902	12	14	11	17	0	1018.6	Orig=764mm|orig.time=7am
1902	12	15	11	17	0	1010.1	Orig=757.6mm|orig.time=7am
1902	12	19	11	17	0	1009.7	Orig=757.3mm|orig.time=7am
1902	12	20	11	17	0	1013.3	Orig=760mm|orig.time=7am
1902	12	21	11	17	0	1008.9	Orig=756.7mm|orig.time=7am
1902	12	22	11	17	0	1004.3	Orig=753.3mm|orig.time=7am
1902	12	23	11	17	0	1002.9	Orig=752.2mm|orig.time=7am
1902	12	26	11	17	0	1011.7	Orig=758.8mm|orig.time=7am
1902	12	29	11	17	0	1016.2	Orig=762.2mm|orig.time=7am
1902	12	30	11	17	0	1015.5	Orig=761.7mm|orig.time=7am
1902	12	31	11	17	0	1012.2	Orig=759.2mm|orig.time=7am
