SEF	0.0.1
ID	DWR_N._Huapi
Name	N. Huapí
Lat	
Lon	
Alt	
Source	C3S_SouthAmerica
Repo	
Var	mslp
Units	Pa
Meta	PGC=F
Year	Month	Day	HHMM	TimeF	Value	Meta
1902	12	10	1117	0	101178	Orig=758.9mm
1902	12	12	1117	0	100698	Orig=755.3mm
1902	12	13	1117	0	101845	Orig=763.9mm
1902	12	14	1117	0	101858	Orig=764mm
1902	12	15	1117	0	101005	Orig=757.6mm
1902	12	19	1117	0	100965	Orig=757.3mm
1902	12	20	1117	0	101325	Orig=760mm
1902	12	21	1117	0	100885	Orig=756.7mm
1902	12	22	1117	0	100432	Orig=753.3mm
1902	12	23	1117	0	100285	Orig=752.2mm
1902	12	26	1117	0	101165	Orig=758.8mm
1902	12	29	1117	0	101618	Orig=762.2mm
1902	12	30	1117	0	101552	Orig=761.7mm
1902	12	31	1117	0	101218	Orig=759.2mm
