SEF	0.0.1
ID	DWR_N._Huapi
Name	N. Huapí
Lat	
Lon	
Alt	
Source	C3S_SouthAmerica
Repo	
Var	n
Units	%
Meta	
Year	Month	Day	HHMM	TimeF	Value	Meta
1902	12	10	1117	0	33	Orig=1
1902	12	12	1117	0	67	Orig=2
1902	12	13	1117	0	67	Orig=2
1902	12	14	1117	0	0	Orig=0
1902	12	15	1117	0	33	Orig=1
1902	12	19	1117	0	33	Orig=1
1902	12	20	1117	0	0	Orig=0
1902	12	21	1117	0	33	Orig=1
1902	12	22	1117	0	67	Orig=2
1902	12	23	1117	0	67	Orig=2
1902	12	26	1117	0	33	Orig=1
1902	12	27	1117	0	67	Orig=2
1902	12	29	1117	0	0	Orig=0
1902	12	30	1117	0	0	Orig=0
1902	12	31	1117	0	0	Orig=0
