SEF	0.0.1
ID	DWR_NEQUEN_-_Pil
Name	NEQUEN - Pilcaneyen
Lat	
Lon	
Alt	
Source	C3S_SouthAmerica
Repo	
Var	rh
Units	%
Meta	
Year	Month	Day	HHMM	TimeF	Value	Meta
1902	6	15	1817	0	83	
1902	6	16	1817	0	85	
1902	6	18	1817	0	84	
1902	6	19	1817	0	85	
1902	6	20	1817	0	83	
1902	6	21	1817	0	100	
1902	6	22	1817	0	100	
1902	6	23	1817	0	100	
1902	6	24	1817	0	100	
1902	6	25	1817	0	84	
1902	6	26	1817	0	85	
1902	6	28	1817	0	70	
1902	7	1	1817	0	52	
1902	7	2	1817	0	56	
1902	7	4	1817	0	48	
1902	7	5	1817	0	81	
1902	7	6	1817	0	36	
1902	7	7	1817	0	84	
1902	7	8	1817	0	56	
1902	7	9	1817	0	83	
1902	7	10	1817	0	83	
1902	7	11	1817	0	100	
1902	7	12	1817	0	83	
1902	7	13	1817	0	79	
1902	7	14	1817	0	81	
1902	7	15	1817	0	82	
1902	7	16	1817	0	100	
1902	7	17	1817	0	80	
1902	7	18	1817	0	82	
1902	7	19	1817	0	83	
1902	7	21	1817	0	71	
1902	7	23	1817	0	83	
1902	7	25	1817	0	82	
1902	7	27	1817	0	79	
1902	7	28	1817	0	78	
1902	7	29	1817	0	100	
1902	7	30	1817	0	67	
1902	8	1	1817	0	82	
1902	8	2	1817	0	83	
1902	8	3	1817	0	100	
1902	8	4	1817	0	100	
1902	8	5	1817	0	70	
1902	8	6	1817	0	100	
1902	8	8	1817	0	84	
1902	8	9	1817	0	100	
1902	8	12	1817	0	81	
1902	8	13	1817	0	64	
1902	8	14	1817	0	100	
1902	8	15	1817	0	100	
1902	8	16	1817	0	81	
1902	8	17	1817	0	66	
1902	8	18	1817	0	69	
1902	8	19	1817	0	81	
1902	8	20	1817	0	64	
1902	8	21	1817	0	81	
1902	8	22	1817	0	82	
1902	8	23	1817	0	66	
1902	8	24	1817	0	82	
1902	8	27	1817	0	57	
1902	8	28	1817	0	100	
1902	8	29	1817	0	86	
1902	8	30	1817	0	59	
1902	9	2	1117	0	69	
1902	9	3	1117	0	100	
1902	9	4	1117	0	85	
1902	9	5	1117	0	100	
1902	9	6	1117	0	81	
1902	9	7	1117	0	100	
1902	9	8	1117	0	66	
1902	9	10	1117	0	100	
1902	9	11	1117	0	100	
1902	9	12	1117	0	100	
1902	9	13	1117	0	83	
1902	9	14	1117	0	83	
1902	9	15	1117	0	100	
1902	9	16	1117	0	44	
1902	9	17	1117	0	83	
1902	9	18	1117	0	81	
1902	9	19	1117	0	82	
1902	9	20	1117	0	81	
1902	9	21	1117	0	100	
1902	9	22	1117	0	81	
1902	9	23	1117	0	64	
1902	9	24	1117	0	100	
1902	9	25	1117	0	100	
1902	9	26	1117	0	70	
1902	9	27	1117	0	81	
1902	9	28	1117	0	79	
1902	9	29	1117	0	50	
1902	9	30	1117	0	79	
