SEF	0.0.1
ID	DWR_NEQUEN_-_Pil
Name	NEQUEN - Pilcaneyen
Lat	
Lon	
Alt	
Source	C3S_SouthAmerica
Repo	
Var	dd
Units	degree
Meta	
Year	Month	Day	HHMM	TimeF	Value	Meta
1902	6	16	1817	0	45	Orig=NE
1902	6	17	1817	0	0	Orig=N
1902	6	18	1817	0	180	Orig=S
1902	6	19	1817	0	225	Orig=SW
1902	6	20	1817	0	45	Orig=NE
1902	6	21	1817	0	90	Orig=E
1902	6	23	1817	0	0	Orig=N
1902	6	24	1817	0	0	Orig=N
1902	6	25	1817	0	270	Orig=W
1902	6	26	1817	0	0	Orig=N
1902	6	28	1817	0	45	Orig=NE
1902	7	1	1817	0	225	Orig=SW
1902	7	2	1817	0	225	Orig=SW
1902	7	4	1817	0	0	Orig=N
1902	7	5	1817	0	270	Orig=W
1902	7	6	1817	0	315	Orig=NW
1902	7	8	1817	0	315	Orig=NW
1902	7	9	1817	0	225	Orig=SW
1902	7	10	1817	0	225	Orig=SW
1902	7	11	1817	0	270	Orig=W
1902	7	12	1817	0	225	Orig=SW
1902	7	13	1817	0	90	Orig=E
1902	7	14	1817	0	180	Orig=S
1902	7	16	1817	0	225	Orig=SW
1902	7	17	1817	0	225	Orig=SW
1902	7	18	1817	0	270	Orig=W
1902	7	19	1817	0	225	Orig=SW
1902	7	21	1817	0	270	Orig=W
1902	7	23	1817	0	180	Orig=S
1902	7	24	1817	0	270	Orig=W
1902	7	25	1817	0	315	Orig=NW
1902	7	26	1817	0	0	Orig=N
1902	7	27	1817	0	180	Orig=S
1902	7	29	1817	0	0	Orig=N
1902	7	30	1817	0	270	Orig=W
1902	8	1	1817	0	135	Orig=SE
1902	8	2	1817	0	180	Orig=S
1902	8	3	1817	0	180	Orig=S
1902	8	4	1817	0	180	Orig=S
1902	8	5	1817	0	180	Orig=S
1902	8	6	1817	0	180	Orig=S
1902	8	7	1817	0	315	Orig=NW
1902	8	8	1817	0	270	Orig=W
1902	8	9	1817	0	0	Orig=N
1902	8	12	1817	0	180	Orig=S
1902	8	13	1817	0	225	Orig=SW
1902	8	14	1817	0	180	Orig=S
1902	8	15	1817	0	180	Orig=S
1902	8	16	1817	0	180	Orig=S
1902	8	17	1817	0	315	Orig=NW
1902	8	18	1817	0	315	Orig=NW
1902	8	19	1817	0	225	Orig=SW
1902	8	20	1817	0	225	Orig=SW
1902	8	21	1817	0	180	Orig=S
1902	8	22	1817	0	180	Orig=S
1902	8	23	1817	0	225	Orig=SW
1902	8	24	1817	0	180	Orig=S
1902	8	27	1817	0	180	Orig=S
1902	8	28	1817	0	45	Orig=NE
1902	8	29	1817	0	135	Orig=SE
1902	8	30	1817	0	45	Orig=NE
1902	8	31	1817	0	225	Orig=SW
1902	9	2	1117	0	315	Orig=NW
1902	9	3	1117	0	225	Orig=SW
1902	9	4	1117	0	0	Orig=N
1902	9	7	1117	0	225	Orig=SW
1902	9	12	1117	0	225	Orig=SW
1902	9	13	1117	0	225	Orig=SW
1902	9	14	1117	0	225	Orig=SW
1902	9	16	1117	0	315	Orig=NW
1902	9	17	1117	0	315	Orig=NW
1902	9	18	1117	0	225	Orig=SW
1902	9	19	1117	0	315	Orig=NW
1902	9	20	1117	0	315	Orig=NW
1902	9	23	1117	0	180	Orig=S
1902	9	24	1117	0	270	Orig=W
1902	9	26	1117	0	225	Orig=SW
1902	9	27	1117	0	225	Orig=SW
1902	9	28	1117	0	225	Orig=SW
1902	9	30	1117	0	180	Orig=S
