SEF	0.2.0
ID	DWR_Necochea
Name	Necochea
Lat	-38.5545
Lon	-58.7396
Alt	NA
Source	C3S_SouthAmerica
Link	https://data-rescue.copernicus-climate.eu/lso/1085571
Vbl	mslp
Stat	point
Units	Pa
Meta	Data policy=GNU GPL v3.0
Year	Month	Day	Hour	Minute	Period	Value	Meta
1902	9	4	11	17	0	102565	Orig=769.3mm|orig.time=7am
1902	9	5	11	17	0	101565	Orig=761.8mm|orig.time=7am
1902	9	6	11	17	0	100685	Orig=755.2mm|orig.time=7am
1902	9	13	11	17	0	102125	Orig=766mm|orig.time=7am
1902	11	15	11	17	0	101192	Orig=759mm|orig.time=7am
1902	11	16	11	17	0	101978	Orig=764.9mm|orig.time=7am
1902	11	17	11	17	0	101698	Orig=762.8mm|orig.time=7am
1902	11	18	11	17	0	101005	Orig=757.6mm|orig.time=7am
1902	11	20	11	17	0	101925	Orig=764.5mm|orig.time=7am
1902	11	21	11	17	0	101272	Orig=759.6mm|orig.time=7am
1902	11	22	11	17	0	100952	Orig=757.2mm|orig.time=7am
1902	11	23	11	17	0	101018	Orig=757.7mm|orig.time=7am
1902	11	24	11	17	0	101098	Orig=758.3mm|orig.time=7am
1902	11	25	11	17	0	100965	Orig=757.3mm|orig.time=7am
1902	11	26	11	17	0	101965	Orig=764.8mm|orig.time=7am
1902	11	27	11	17	0	102472	Orig=768.6mm|orig.time=7am
1902	11	28	11	17	0	101405	Orig=760.6mm|orig.time=7am
1902	11	29	11	17	0	101392	Orig=760.5mm|orig.time=7am
1902	11	30	11	17	0	101832	Orig=763.8mm|orig.time=7am
1902	12	1	11	17	0	101472	Orig=761.1mm|orig.time=7am
1902	12	3	11	17	0	101725	Orig=763mm|orig.time=7am
1902	12	4	11	17	0	101405	Orig=760.6mm|orig.time=7am
1902	12	5	11	17	0	101552	Orig=761.7mm|orig.time=7am
1902	12	6	11	17	0	100472	Orig=753.6mm|orig.time=7am
1902	12	7	11	17	0	100805	Orig=756.1mm|orig.time=7am
1902	12	8	11	17	0	100992	Orig=757.5mm|orig.time=7am
1902	12	9	11	17	0	101832	Orig=763.8mm|orig.time=7am
1902	12	10	11	17	0	100952	Orig=757.2mm|orig.time=7am
1902	12	11	11	17	0	100925	Orig=757mm|orig.time=7am
1902	12	12	11	17	0	100152	Orig=751.2mm|orig.time=7am
1902	12	13	11	17	0	101352	Orig=760.2mm|orig.time=7am
1902	12	14	11	17	0	102378	Orig=767.9mm|orig.time=7am
1902	12	15	11	17	0	101885	Orig=764.2mm|orig.time=7am
1902	12	16	11	17	0	101258	Orig=759.5mm|orig.time=7am
1902	12	17	11	17	0	100712	Orig=755.4mm|orig.time=7am
1902	12	18	11	17	0	101338	Orig=760.1mm|orig.time=7am
1902	12	19	11	17	0	100805	Orig=756.1mm|orig.time=7am
1902	12	20	11	17	0	101685	Orig=762.7mm|orig.time=7am
1902	12	21	11	17	0	101258	Orig=759.5mm|orig.time=7am
1902	12	22	11	17	0	100352	Orig=752.7mm|orig.time=7am
1902	12	23	11	17	0	100605	Orig=754.6mm|orig.time=7am
1902	12	27	11	17	0	100725	Orig=755.5mm|orig.time=7am
1902	12	28	11	17	0	101072	Orig=758.1mm|orig.time=7am
1902	12	30	11	17	0	102498	Orig=768.8mm|orig.time=7am
1902	12	31	11	17	0	102325	Orig=767.5mm|orig.time=7am
