SEF	0.0.1
ID	DWR_Necochea
Name	Necochea
Lat	
Lon	
Alt	
Source	C3S_SouthAmerica
Repo	
Var	mslp
Units	Pa
Meta	
Year	Month	Day	HHMM	TimeF	Value	Meta
1902	9	4	1117	0	102565	Orig=769.3mm
1902	9	5	1117	0	101565	Orig=761.8mm
1902	9	6	1117	0	100685	Orig=755.2mm
1902	9	13	1117	0	102125	Orig=766mm
1902	11	15	1117	0	101192	Orig=759mm
1902	11	16	1117	0	101978	Orig=764.9mm
1902	11	17	1117	0	101698	Orig=762.8mm
1902	11	18	1117	0	101005	Orig=757.6mm
1902	11	20	1117	0	101925	Orig=764.5mm
1902	11	21	1117	0	101272	Orig=759.6mm
1902	11	22	1117	0	100952	Orig=757.2mm
1902	11	23	1117	0	101018	Orig=757.7mm
1902	11	24	1117	0	101098	Orig=758.3mm
1902	11	25	1117	0	100965	Orig=757.3mm
1902	11	26	1117	0	101965	Orig=764.8mm
1902	11	27	1117	0	102472	Orig=768.6mm
1902	11	28	1117	0	101405	Orig=760.6mm
1902	11	29	1117	0	101392	Orig=760.5mm
1902	11	30	1117	0	101832	Orig=763.8mm
1902	12	1	1117	0	101472	Orig=761.1mm
1902	12	3	1117	0	101725	Orig=763mm
1902	12	4	1117	0	101405	Orig=760.6mm
1902	12	5	1117	0	101552	Orig=761.7mm
1902	12	6	1117	0	100472	Orig=753.6mm
1902	12	7	1117	0	100805	Orig=756.1mm
1902	12	8	1117	0	100992	Orig=757.5mm
1902	12	9	1117	0	101832	Orig=763.8mm
1902	12	10	1117	0	100952	Orig=757.2mm
1902	12	11	1117	0	100925	Orig=757mm
1902	12	12	1117	0	100152	Orig=751.2mm
1902	12	13	1117	0	101352	Orig=760.2mm
1902	12	14	1117	0	102378	Orig=767.9mm
1902	12	15	1117	0	101885	Orig=764.2mm
1902	12	16	1117	0	101258	Orig=759.5mm
1902	12	17	1117	0	100712	Orig=755.4mm
1902	12	18	1117	0	101338	Orig=760.1mm
1902	12	19	1117	0	100805	Orig=756.1mm
1902	12	20	1117	0	101685	Orig=762.7mm
1902	12	21	1117	0	101258	Orig=759.5mm
1902	12	22	1117	0	100352	Orig=752.7mm
1902	12	23	1117	0	100605	Orig=754.6mm
1902	12	27	1117	0	100725	Orig=755.5mm
1902	12	28	1117	0	101072	Orig=758.1mm
1902	12	30	1117	0	102498	Orig=768.8mm
1902	12	31	1117	0	102325	Orig=767.5mm
