SEF	1.0.0
ID	DWR_Neuquen
Name	Neuquen
Lat	-38.9517
Lon	-68.0592
Alt	NA
Source	C3S_SouthAmerica
Link	https://data-rescue.copernicus-climate.eu/lso/
Vbl	mslp
Stat	point
Units	hPa
Meta	Data policy=GNU GPL v3.0
Year	Month	Day	Hour	Minute	Period	Value	Meta
1902	10	26	11	17	0	1019.9	Orig=765mm|orig.time=7am
1902	10	27	11	17	0	1017.4	Orig=763.1mm|orig.time=7am
1902	10	28	11	17	0	1020.3	Orig=765.3mm|orig.time=7am
1902	10	29	11	17	0	1017	Orig=762.8mm|orig.time=7am
1902	10	30	11	17	0	1021	Orig=765.8mm|orig.time=7am
1902	11	1	11	17	0	1015.9	Orig=762mm|orig.time=7am
1902	11	2	11	17	0	1019.1	Orig=764.4mm|orig.time=7am
1902	11	3	11	17	0	1011.5	Orig=758.7mm|orig.time=7am
1902	11	4	11	17	0	1009.5	Orig=757.2mm|orig.time=7am
1902	11	5	11	17	0	1014.5	Orig=760.9mm|orig.time=7am
1902	11	6	11	17	0	1010.6	Orig=758mm|orig.time=7am
1902	11	7	11	17	0	1004.9	Orig=753.7mm|orig.time=7am
1902	11	8	11	17	0	1013.9	Orig=760.5mm|orig.time=7am
1902	11	9	11	17	0	1020.4	Orig=765.4mm|orig.time=7am
1902	11	10	11	17	0	1017.5	Orig=763.2mm|orig.time=7am
1902	11	11	11	17	0	1015.1	Orig=761.4mm|orig.time=7am
1902	11	12	11	17	0	1015.5	Orig=761.7mm|orig.time=7am
1902	11	13	11	17	0	1016	Orig=762.1mm|orig.time=7am
1902	11	14	11	17	0	1011	Orig=758.3mm|orig.time=7am
1902	11	15	11	17	0	1016.8	Orig=762.7mm|orig.time=7am
1902	11	16	11	17	0	1015.9	Orig=762mm|orig.time=7am
1902	11	17	11	17	0	1007.4	Orig=755.6mm|orig.time=7am
1902	11	18	11	17	0	1015.9	Orig=762mm|orig.time=7am
1902	11	19	11	17	0	1018.2	Orig=763.7mm|orig.time=7am
1902	11	20	11	17	0	1011.9	Orig=759mm|orig.time=7am
1902	11	21	11	17	0	1009.4	Orig=757.1mm|orig.time=7am
1902	11	22	11	17	0	1007.9	Orig=756mm|orig.time=7am
1902	11	24	11	17	0	1009.3	Orig=757mm|orig.time=7am
1902	11	25	11	17	0	1019.5	Orig=764.7mm|orig.time=7am
1902	11	26	11	17	0	1024.8	Orig=768.7mm|orig.time=7am
1902	11	27	11	17	0	1025.2	Orig=769mm|orig.time=7am
1902	11	28	11	17	0	1013.3	Orig=760mm|orig.time=7am
1902	11	29	11	17	0	1014.1	Orig=760.6mm|orig.time=7am
1902	11	30	11	17	0	1012.9	Orig=759.7mm|orig.time=7am
1902	12	3	11	17	0	1014.6	Orig=761mm|orig.time=7am
1902	12	4	11	17	0	1014.3	Orig=760.8mm|orig.time=7am
1902	12	5	11	17	0	1012.5	Orig=759.4mm|orig.time=7am
1902	12	6	11	17	0	1010.6	Orig=758mm|orig.time=7am
1902	12	7	11	17	0	1011.8	Orig=758.9mm|orig.time=7am
1902	12	8	11	17	0	1016.2	Orig=762.2mm|orig.time=7am
1902	12	9	11	17	0	1024.2	Orig=768.2mm|orig.time=7am
1902	12	10	11	17	0	1013.7	Orig=760.3mm|orig.time=7am
1902	12	12	11	17	0	1009	Orig=756.8mm|orig.time=7am
1902	12	13	11	17	0	1020.8	Orig=765.7mm|orig.time=7am
1902	12	14	11	17	0	1020.7	Orig=765.6mm|orig.time=7am
1902	12	15	11	17	0	1010.6	Orig=758mm|orig.time=7am
1902	12	16	11	17	0	1017.6	Orig=763.3mm|orig.time=7am
1902	12	17	11	17	0	1012.6	Orig=759.5mm|orig.time=7am
1902	12	18	11	17	0	1009.7	Orig=757.3mm|orig.time=7am
1902	12	19	11	17	0	1012.6	Orig=759.5mm|orig.time=7am
1902	12	20	11	17	0	1013.4	Orig=760.1mm|orig.time=7am
1902	12	21	11	17	0	1008.6	Orig=756.5mm|orig.time=7am
1902	12	22	11	17	0	1005.5	Orig=754.2mm|orig.time=7am
1902	12	23	11	17	0	1006.9	Orig=755.2mm|orig.time=7am
1902	12	26	11	17	0	1012.3	Orig=759.3mm|orig.time=7am
1902	12	28	11	17	0	1014.7	Orig=761.1mm|orig.time=7am
1902	12	29	11	17	0	1021.4	Orig=766.1mm|orig.time=7am
1902	12	30	11	17	0	1021.4	Orig=766.1mm|orig.time=7am
1902	12	31	11	17	0	1015.8	Orig=761.9mm|orig.time=7am
