SEF	0.0.1
ID	DWR_Neuquen
Name	Neuquen
Lat	
Lon	
Alt	
Source	C3S_SouthAmerica
Repo	
Var	mslp
Units	Pa
Meta	
Year	Month	Day	HHMM	TimeF	Value	Meta
1902	10	26	1117	0	101992	Orig=765mm
1902	10	27	1117	0	101738	Orig=763.1mm
1902	10	28	1117	0	102032	Orig=765.3mm
1902	10	29	1117	0	101698	Orig=762.8mm
1902	10	30	1117	0	102098	Orig=765.8mm
1902	11	1	1117	0	101592	Orig=762mm
1902	11	2	1117	0	101912	Orig=764.4mm
1902	11	3	1117	0	101152	Orig=758.7mm
1902	11	4	1117	0	100952	Orig=757.2mm
1902	11	5	1117	0	101445	Orig=760.9mm
1902	11	6	1117	0	101058	Orig=758mm
1902	11	7	1117	0	100485	Orig=753.7mm
1902	11	8	1117	0	101392	Orig=760.5mm
1902	11	9	1117	0	102045	Orig=765.4mm
1902	11	10	1117	0	101752	Orig=763.2mm
1902	11	11	1117	0	101512	Orig=761.4mm
1902	11	12	1117	0	101552	Orig=761.7mm
1902	11	13	1117	0	101605	Orig=762.1mm
1902	11	14	1117	0	101098	Orig=758.3mm
1902	11	15	1117	0	101685	Orig=762.7mm
1902	11	16	1117	0	101592	Orig=762mm
1902	11	17	1117	0	100738	Orig=755.6mm
1902	11	18	1117	0	101592	Orig=762mm
1902	11	19	1117	0	101818	Orig=763.7mm
1902	11	20	1117	0	101192	Orig=759mm
1902	11	21	1117	0	100938	Orig=757.1mm
1902	11	22	1117	0	100792	Orig=756mm
1902	11	24	1117	0	100925	Orig=757mm
1902	11	25	1117	0	101952	Orig=764.7mm
1902	11	26	1117	0	102485	Orig=768.7mm
1902	11	27	1117	0	102525	Orig=769mm
1902	11	28	1117	0	101325	Orig=760mm
1902	11	29	1117	0	101405	Orig=760.6mm
1902	11	30	1117	0	101285	Orig=759.7mm
1902	12	3	1117	0	101458	Orig=761mm
1902	12	4	1117	0	101432	Orig=760.8mm
1902	12	5	1117	0	101245	Orig=759.4mm
1902	12	6	1117	0	101058	Orig=758mm
1902	12	7	1117	0	101178	Orig=758.9mm
1902	12	8	1117	0	101618	Orig=762.2mm
1902	12	9	1117	0	102418	Orig=768.2mm
1902	12	10	1117	0	101365	Orig=760.3mm
1902	12	12	1117	0	100898	Orig=756.8mm
1902	12	13	1117	0	102085	Orig=765.7mm
1902	12	14	1117	0	102072	Orig=765.6mm
1902	12	15	1117	0	101058	Orig=758mm
1902	12	16	1117	0	101765	Orig=763.3mm
1902	12	17	1117	0	101258	Orig=759.5mm
1902	12	18	1117	0	100965	Orig=757.3mm
1902	12	19	1117	0	101258	Orig=759.5mm
1902	12	20	1117	0	101338	Orig=760.1mm
1902	12	21	1117	0	100858	Orig=756.5mm
1902	12	22	1117	0	100552	Orig=754.2mm
1902	12	23	1117	0	100685	Orig=755.2mm
1902	12	26	1117	0	101232	Orig=759.3mm
1902	12	28	1117	0	101472	Orig=761.1mm
1902	12	29	1117	0	102138	Orig=766.1mm
1902	12	30	1117	0	102138	Orig=766.1mm
1902	12	31	1117	0	101578	Orig=761.9mm
