SEF	1.0.0
ID	DWR_P._Deseado
Name	P. Deseado
Lat	-47.75
Lon	-65.916667
Alt	NA
Source	C3S_SouthAmerica
Link	https://data-rescue.copernicus-climate.eu/lso/1085691
Vbl	mslp
Stat	point
Units	hPa
Meta	Data policy=GNU GPL v3.0
Year	Month	Day	Hour	Minute	Period	Value	Meta
1902	2	21	18	17	0	997.7	Orig=748.3mm|orig.time=2pm
1902	2	22	18	17	0	1002.5	Orig=751.9mm|orig.time=2pm
1902	2	23	18	17	0	997.5	Orig=748.2mm|orig.time=2pm
1902	2	24	18	17	0	992.9	Orig=744.7mm|orig.time=2pm
1902	2	25	18	17	0	997.4	Orig=748.1mm|orig.time=2pm
1902	2	26	18	17	0	992.1	Orig=744.1mm|orig.time=2pm
1902	2	27	18	17	0	991.3	Orig=743.5mm|orig.time=2pm
1902	2	28	18	17	0	993.4	Orig=745.1mm|orig.time=2pm
1902	3	1	18	17	0	1010.3	Orig=757.8mm|orig.time=2pm
1902	3	2	18	17	0	1005	Orig=753.8mm|orig.time=2pm
1902	3	3	18	17	0	995.9	Orig=747mm|orig.time=2pm
1902	3	4	18	17	0	995.1	Orig=746.4mm|orig.time=2pm
1902	3	5	18	17	0	1006.2	Orig=754.7mm|orig.time=2pm
1902	3	6	18	17	0	1012.5	Orig=759.4mm|orig.time=2pm
1902	3	7	18	17	0	1016.7	Orig=762.6mm|orig.time=2pm
1902	3	8	18	17	0	1022.3	Orig=766.8mm|orig.time=2pm
1902	3	9	18	17	0	1013.8	Orig=760.4mm|orig.time=2pm
1902	3	10	18	17	0	1005	Orig=753.8mm|orig.time=2pm
1902	3	12	18	17	0	1003.9	Orig=753mm|orig.time=2pm
1902	3	13	18	17	0	1001	Orig=750.8mm|orig.time=2pm
1902	3	14	18	17	0	1000.2	Orig=750.2mm|orig.time=2pm
1902	3	15	18	17	0	994.9	Orig=746.2mm|orig.time=2pm
1902	3	16	18	17	0	994.6	Orig=746mm|orig.time=2pm
1902	3	19	18	17	0	1008.2	Orig=756.2mm|orig.time=2pm
1902	3	21	18	17	0	994.7	Orig=746.1mm|orig.time=2pm
1902	3	22	18	17	0	1001.5	Orig=751.2mm|orig.time=2pm
1902	3	23	18	17	0	996.7	Orig=747.6mm|orig.time=2pm
1902	3	24	18	17	0	995	Orig=746.3mm|orig.time=2pm
1902	3	25	18	17	0	1013.7	Orig=760.3mm|orig.time=2pm
1902	3	26	18	17	0	1013.3	Orig=760mm|orig.time=2pm
1902	3	27	18	17	0	1016.3	Orig=762.3mm|orig.time=2pm
1902	3	30	18	17	0	1002.1	Orig=751.6mm|orig.time=2pm
1902	3	31	18	17	0	989	Orig=741.8mm|orig.time=2pm
1902	4	2	18	17	0	991	Orig=743.3mm|orig.time=2pm
1902	4	3	18	17	0	1009.8	Orig=757.4mm|orig.time=2pm
1902	4	4	18	17	0	993.5	Orig=745.2mm|orig.time=2pm
1902	4	5	18	17	0	1013.9	Orig=760.5mm|orig.time=2pm
1902	4	6	18	17	0	994.5	Orig=745.9mm|orig.time=2pm
1902	4	7	18	17	0	994.2	Orig=745.7mm|orig.time=2pm
1902	4	8	18	17	0	1003.9	Orig=753mm|orig.time=2pm
1902	4	9	18	17	0	1006.7	Orig=755.1mm|orig.time=2pm
1902	4	10	18	17	0	1004.5	Orig=753.4mm|orig.time=2pm
1902	4	12	18	17	0	1001.3	Orig=751mm|orig.time=2pm
1902	4	13	18	17	0	983.9	Orig=738mm|orig.time=2pm
1902	4	14	18	17	0	985.5	Orig=739.2mm|orig.time=2pm
1902	4	16	18	17	0	997.9	Orig=748.5mm|orig.time=2pm
1902	4	19	18	17	0	990.7	Orig=743.1mm|orig.time=2pm
1902	4	20	18	17	0	986.6	Orig=740mm|orig.time=2pm
1902	4	24	18	17	0	996.1	Orig=747.1mm|orig.time=2pm
1902	4	26	18	17	0	1017.4	Orig=763.1mm|orig.time=2pm
1902	4	27	18	17	0	1005	Orig=753.8mm|orig.time=2pm
1902	4	29	18	17	0	1004.7	Orig=753.6mm|orig.time=2pm
1902	5	3	18	17	0	997.7	Orig=748.3mm|orig.time=2pm
1902	5	4	18	17	0	1015.1	Orig=761.4mm|orig.time=2pm
1902	5	6	18	17	0	1020.2	Orig=765.2mm|orig.time=2pm
1902	5	8	18	17	0	1015	Orig=761.3mm|orig.time=2pm
1902	5	16	18	17	0	986.3	Orig=739.8mm|orig.time=2pm
1902	5	17	18	17	0	999.1	Orig=749.4mm|orig.time=2pm
1902	5	18	18	17	0	995.5	Orig=746.7mm|orig.time=2pm
1902	5	19	18	17	0	983.9	Orig=738mm|orig.time=2pm
1902	5	20	18	17	0	994.9	Orig=746.2mm|orig.time=2pm
1902	5	21	18	17	0	991.7	Orig=743.8mm|orig.time=2pm
1902	5	22	18	17	0	993	Orig=744.8mm|orig.time=2pm
1902	5	23	18	17	0	988.3	Orig=741.3mm|orig.time=2pm
1902	5	24	18	17	0	991	Orig=743.3mm|orig.time=2pm
1902	5	25	18	17	0	978.2	Orig=733.7mm|orig.time=2pm
1902	5	26	18	17	0	987.1	Orig=740.4mm|orig.time=2pm
1902	5	27	18	17	0	992.6	Orig=744.5mm|orig.time=2pm
1902	5	28	18	17	0	985.7	Orig=739.3mm|orig.time=2pm
1902	5	29	18	17	0	996.7	Orig=747.6mm|orig.time=2pm
