SEF	0.2.0
ID	DWR_Posadas_Mis.
Name	MISIONES-Posadas
Lat	-27.3621
Lon	-55.9009
Alt	NA
Source	C3S_SouthAmerica
Link	https://data-rescue.copernicus-climate.eu/lso/1085559
Vbl	mslp
Stat	point
Units	Pa
Meta	Data policy=GNU GPL v3.0
Year	Month	Day	Hour	Minute	Period	Value	Meta
1902	7	19	18	17	0	101898	Orig=764.3mm|orig.time=2pm
1902	7	20	18	17	0	102138	Orig=766.1mm|orig.time=2pm
1902	7	21	18	17	0	102645	Orig=769.9mm|orig.time=2pm
1902	7	23	18	17	0	101045	Orig=757.9mm|orig.time=2pm
1902	7	24	18	17	0	101138	Orig=758.6mm|orig.time=2pm
1902	7	26	18	17	0	100752	Orig=755.7mm|orig.time=2pm
1902	7	27	18	17	0	100885	Orig=756.7mm|orig.time=2pm
1902	7	28	18	17	0	101592	Orig=762mm|orig.time=2pm
1902	7	29	18	17	0	102418	Orig=768.2mm|orig.time=2pm
1902	7	30	18	17	0	102085	Orig=765.7mm|orig.time=2pm
1902	7	31	18	17	0	101258	Orig=759.5mm|orig.time=2pm
1902	8	1	18	17	0	101018	Orig=757.7mm|orig.time=2pm
1902	8	2	18	17	0	102098	Orig=765.8mm|orig.time=2pm
1902	8	3	18	17	0	103072	Orig=773.1mm|orig.time=2pm
1902	8	4	18	17	0	102352	Orig=767.7mm|orig.time=2pm
1902	8	5	18	17	0	102018	Orig=765.2mm|orig.time=2pm
1902	8	6	18	17	0	101725	Orig=763mm|orig.time=2pm
1902	8	7	18	17	0	101565	Orig=761.8mm|orig.time=2pm
1902	8	8	18	17	0	101085	Orig=758.2mm|orig.time=2pm
1902	8	9	18	17	0	100738	Orig=755.6mm|orig.time=2pm
1902	8	10	18	17	0	101085	Orig=758.2mm|orig.time=2pm
1902	8	11	18	17	0	101218	Orig=759.2mm|orig.time=2pm
1902	8	12	18	17	0	100912	Orig=756.9mm|orig.time=2pm
1902	8	13	18	17	0	101352	Orig=760.2mm|orig.time=2pm
1902	8	14	18	17	0	101725	Orig=763mm|orig.time=2pm
1902	8	15	18	17	0	101898	Orig=764.3mm|orig.time=2pm
1902	8	16	18	17	0	102272	Orig=767.1mm|orig.time=2pm
1902	8	17	18	17	0	103098	Orig=773.3mm|orig.time=2pm
1902	8	18	18	17	0	102832	Orig=771.3mm|orig.time=2pm
1902	8	19	18	17	0	101445	Orig=760.9mm|orig.time=2pm
1902	8	20	18	17	0	101178	Orig=758.9mm|orig.time=2pm
1902	8	21	18	17	0	100352	Orig=752.7mm|orig.time=2pm
1902	8	22	18	17	0	100312	Orig=752.4mm|orig.time=2pm
1902	8	23	18	17	0	102418	Orig=768.2mm|orig.time=2pm
1902	8	24	18	17	0	102552	Orig=769.2mm|orig.time=2pm
1902	8	25	18	17	0	102285	Orig=767.2mm|orig.time=2pm
1902	8	26	18	17	0	102485	Orig=768.7mm|orig.time=2pm
1902	8	27	18	17	0	102605	Orig=769.6mm|orig.time=2pm
1902	8	28	18	17	0	102725	Orig=770.5mm|orig.time=2pm
1902	8	29	18	17	0	102685	Orig=770.2mm|orig.time=2pm
1902	8	30	18	17	0	102378	Orig=767.9mm|orig.time=2pm
1902	8	31	18	17	0	102152	Orig=766.2mm|orig.time=2pm
1902	9	2	11	17	0	102272	Orig=767.1mm|orig.time=7am
1902	9	3	11	17	0	101938	Orig=764.6mm|orig.time=7am
1902	9	4	11	17	0	102072	Orig=765.6mm|orig.time=7am
1902	9	5	11	17	0	101965	Orig=764.8mm|orig.time=7am
1902	9	6	11	17	0	101392	Orig=760.5mm|orig.time=7am
1902	9	7	11	17	0	101512	Orig=761.4mm|orig.time=7am
1902	9	8	11	17	0	101152	Orig=758.7mm|orig.time=7am
1902	9	10	11	17	0	101458	Orig=761mm|orig.time=7am
1902	9	11	11	17	0	101832	Orig=763.8mm|orig.time=7am
1902	9	12	11	17	0	102472	Orig=768.6mm|orig.time=7am
1902	9	13	11	17	0	102018	Orig=765.2mm|orig.time=7am
1902	9	14	11	17	0	101498	Orig=761.3mm|orig.time=7am
1902	9	15	11	17	0	101245	Orig=759.4mm|orig.time=7am
1902	9	16	11	17	0	101138	Orig=758.6mm|orig.time=7am
1902	9	17	11	17	0	101378	Orig=760.4mm|orig.time=7am
1902	9	18	11	17	0	101152	Orig=758.7mm|orig.time=7am
1902	9	19	11	17	0	100938	Orig=757.1mm|orig.time=7am
1902	9	21	11	17	0	101298	Orig=759.8mm|orig.time=7am
1902	9	22	11	17	0	101538	Orig=761.6mm|orig.time=7am
