SEF	0.0.1
ID	DWR_Recreo
Name	Recreo
Lat	
Lon	
Alt	
Source	C3S_SouthAmerica
Repo	
Var	mslp
Units	Pa
Meta	
Year	Month	Day	HHMM	TimeF	Value	Meta
1902	3	5	1817	0	100698	Orig=755.3mm
1902	3	8	1817	0	101352	Orig=760.2mm
1902	3	9	1817	0	101458	Orig=761mm
1902	3	10	1817	0	101685	Orig=762.7mm
1902	3	12	1817	0	101405	Orig=760.6mm
1902	3	14	1817	0	100938	Orig=757.1mm
1902	3	15	1817	0	100872	Orig=756.6mm
1902	3	16	1817	0	101138	Orig=758.6mm
1902	3	19	1817	0	100978	Orig=757.4mm
1902	3	21	1817	0	100952	Orig=757.2mm
1902	3	22	1817	0	100978	Orig=757.4mm
1902	3	23	1817	0	101272	Orig=759.6mm
1902	3	24	1817	0	100472	Orig=753.6mm
1902	3	25	1817	0	101125	Orig=758.5mm
1902	3	26	1817	0	101552	Orig=761.7mm
1902	3	27	1817	0	101285	Orig=759.7mm
1902	3	30	1817	0	101445	Orig=760.9mm
1902	3	31	1817	0	100365	Orig=752.8mm
1902	4	2	1817	0	100912	Orig=756.9mm
1902	4	3	1817	0	101432	Orig=760.8mm
1902	4	4	1817	0	100538	Orig=754.1mm
1902	4	5	1817	0	102365	Orig=767.8mm
1902	4	6	1817	0	101645	Orig=762.4mm
1902	4	7	1817	0	101445	Orig=760.9mm
1902	4	8	1817	0	101365	Orig=760.3mm
1902	4	9	1817	0	101458	Orig=761mm
1902	4	12	1817	0	101125	Orig=758.5mm
1902	4	13	1817	0	100952	Orig=757.2mm
1902	4	14	1817	0	100618	Orig=754.7mm
1902	4	16	1817	0	100418	Orig=753.2mm
1902	4	19	1817	0	100418	Orig=753.2mm
1902	4	20	1817	0	100365	Orig=752.8mm
1902	4	24	1817	0	101738	Orig=763.1mm
1902	4	26	1817	0	101765	Orig=763.3mm
1902	4	27	1817	0	101285	Orig=759.7mm
1902	4	29	1817	0	101192	Orig=759mm
1902	5	3	1817	0	100645	Orig=754.9mm
1902	5	4	1817	0	100138	Orig=751.1mm
1902	5	6	1817	0	101205	Orig=759.1mm
1902	5	8	1817	0	101885	Orig=764.2mm
1902	5	16	1817	0	101912	Orig=764.4mm
1902	5	17	1817	0	101552	Orig=761.7mm
1902	5	18	1817	0	101818	Orig=763.7mm
1902	5	20	1817	0	101818	Orig=763.7mm
1902	5	21	1817	0	100352	Orig=752.7mm
1902	5	22	1817	0	100845	Orig=756.4mm
1902	5	23	1817	0	101512	Orig=761.4mm
1902	5	24	1817	0	101578	Orig=761.9mm
1902	5	25	1817	0	101578	Orig=761.9mm
1902	5	26	1817	0	100645	Orig=754.9mm
1902	5	27	1817	0	100005	Orig=750.1mm
1902	5	28	1817	0	99952	Orig=749.7mm
1902	5	29	1817	0	100938	Orig=757.1mm
1902	5	30	1817	0	101552	Orig=761.7mm
1902	5	31	1817	0	101885	Orig=764.2mm
1902	6	1	1817	0	101898	Orig=764.3mm
1902	6	2	1817	0	102192	Orig=766.5mm
1902	6	3	1817	0	102098	Orig=765.8mm
1902	6	4	1817	0	101698	Orig=762.8mm
1902	6	5	1817	0	101072	Orig=758.1mm
1902	6	6	1817	0	100912	Orig=756.9mm
1902	6	7	1817	0	101098	Orig=758.3mm
1902	6	8	1817	0	102552	Orig=769.2mm
1902	6	9	1817	0	101472	Orig=761.1mm
1902	6	10	1817	0	101752	Orig=763.2mm
1902	6	11	1817	0	101272	Orig=759.6mm
1902	6	12	1817	0	102632	Orig=769.8mm
1902	6	13	1817	0	102165	Orig=766.3mm
1902	6	14	1817	0	101778	Orig=763.4mm
1902	6	15	1817	0	102072	Orig=765.6mm
1902	6	16	1817	0	101205	Orig=759.1mm
1902	6	17	1817	0	99498	Orig=746.3mm
1902	6	18	1817	0	100458	Orig=753.5mm
1902	6	19	1817	0	100005	Orig=750.1mm
1902	6	20	1817	0	101658	Orig=762.5mm
1902	6	21	1817	0	102112	Orig=765.9mm
1902	6	22	1817	0	101912	Orig=764.4mm
1902	6	23	1817	0	101245	Orig=759.4mm
1902	6	24	1817	0	101205	Orig=759.1mm
1902	6	25	1817	0	101245	Orig=759.4mm
1902	6	26	1817	0	102552	Orig=769.2mm
1902	6	27	1817	0	102352	Orig=767.7mm
1902	6	28	1817	0	102258	Orig=767mm
1902	6	29	1817	0	102672	Orig=770.1mm
1902	6	30	1817	0	102698	Orig=770.3mm
1902	7	1	1817	0	100432	Orig=753.3mm
1902	7	2	1817	0	101058	Orig=758mm
1902	7	4	1817	0	100272	Orig=752.1mm
1902	7	5	1817	0	99685	Orig=747.7mm
1902	7	6	1817	0	102205	Orig=766.6mm
