SEF	0.0.1
ID	DWR_Rio_Cuarto
Name	Rio Cuarto
Lat	
Lon	
Alt	
Source	C3S_SouthAmerica
Repo	
Var	mslp
Units	Pa
Meta	PGC=F
Year	Month	Day	HHMM	TimeF	Value	Meta
1902	2	21	1817	0	101018	Orig=757.7mm
1902	2	22	1817	0	101085	Orig=758.2mm
1902	2	23	1817	0	101325	Orig=760mm
1902	2	24	1817	0	100658	Orig=755mm
1902	2	25	1817	0	100472	Orig=753.6mm
1902	2	26	1817	0	101112	Orig=758.4mm
1902	2	27	1817	0	100845	Orig=756.4mm
1902	2	28	1817	0	101325	Orig=760mm
1902	3	1	1817	0	101245	Orig=759.4mm
1902	3	2	1817	0	100658	Orig=755mm
1902	3	3	1817	0	100792	Orig=756mm
1902	3	4	1817	0	100565	Orig=754.3mm
1902	3	5	1817	0	101178	Orig=758.9mm
1902	3	6	1817	0	100992	Orig=757.5mm
1902	3	7	1817	0	101365	Orig=760.3mm
1902	3	8	1817	0	101178	Orig=758.9mm
1902	3	9	1817	0	101352	Orig=760.2mm
1902	3	10	1817	0	101365	Orig=760.3mm
1902	3	12	1817	0	100792	Orig=756mm
1902	3	13	1817	0	101125	Orig=758.5mm
1902	3	14	1817	0	101338	Orig=760.1mm
1902	3	15	1817	0	102525	Orig=769mm
1902	3	16	1817	0	101712	Orig=762.9mm
1902	3	19	1817	0	101685	Orig=762.7mm
1902	3	21	1817	0	101872	Orig=764.1mm
1902	3	22	1817	0	101165	Orig=758.8mm
1902	3	23	1817	0	99765	Orig=748.3mm
1902	3	24	1817	0	100525	Orig=754mm
1902	3	25	1817	0	99765	Orig=748.3mm
1902	3	26	1817	0	102218	Orig=766.7mm
1902	3	27	1817	0	102098	Orig=765.8mm
1902	3	30	1817	0	101925	Orig=764.5mm
1902	3	31	1817	0	101058	Orig=758mm
1902	4	2	1817	0	101525	Orig=761.5mm
1902	4	3	1817	0	101165	Orig=758.8mm
1902	4	4	1817	0	102338	Orig=767.6mm
1902	4	5	1817	0	102018	Orig=765.2mm
1902	4	6	1817	0	102018	Orig=765.2mm
1902	4	7	1817	0	102538	Orig=769.1mm
1902	4	8	1817	0	102138	Orig=766.1mm
1902	4	9	1817	0	100112	Orig=750.9mm
1902	4	10	1817	0	100912	Orig=756.9mm
1902	4	12	1817	0	100405	Orig=753.1mm
1902	4	13	1817	0	99965	Orig=749.8mm
1902	4	14	1817	0	102258	Orig=767mm
1902	4	16	1817	0	103418	Orig=775.7mm
1902	4	19	1817	0	102885	Orig=771.7mm
1902	4	20	1817	0	101032	Orig=757.8mm
1902	4	24	1817	0	100925	Orig=757mm
1902	4	26	1817	0	101872	Orig=764.1mm
1902	4	27	1817	0	102885	Orig=771.7mm
1902	4	29	1817	0	102618	Orig=769.7mm
1902	5	4	1817	0	101618	Orig=762.2mm
1902	5	8	1817	0	100765	Orig=755.8mm
1902	5	16	1817	0	99578	Orig=746.9mm
1902	5	17	1817	0	100925	Orig=757mm
1902	5	18	1817	0	100552	Orig=754.2mm
1902	5	19	1817	0	102258	Orig=767mm
1902	5	20	1817	0	101538	Orig=761.6mm
1902	5	21	1817	0	101698	Orig=762.8mm
1902	5	22	1817	0	102498	Orig=768.8mm
1902	5	23	1817	0	102432	Orig=768.3mm
1902	5	24	1817	0	102845	Orig=771.4mm
1902	5	25	1817	0	103325	Orig=775mm
1902	5	26	1817	0	101978	Orig=764.9mm
1902	5	27	1817	0	100472	Orig=753.6mm
1902	5	28	1817	0	101538	Orig=761.6mm
1902	5	29	1817	0	100258	Orig=752mm
1902	5	30	1817	0	101725	Orig=763mm
1902	5	31	1817	0	102378	Orig=767.9mm
1902	6	1	1817	0	102618	Orig=769.7mm
1902	6	2	1817	0	102858	Orig=771.5mm
1902	6	3	1817	0	102578	Orig=769.4mm
1902	6	4	1817	0	102712	Orig=770.4mm
1902	6	6	1817	0	101965	Orig=764.8mm
1902	6	7	1817	0	102378	Orig=767.9mm
1902	6	8	1817	0	101592	Orig=762mm
1902	6	9	1817	0	101965	Orig=764.8mm
1902	6	10	1817	0	102045	Orig=765.4mm
1902	6	11	1817	0	102258	Orig=767mm
1902	6	13	1817	0	100445	Orig=753.4mm
1902	6	14	1817	0	101005	Orig=757.6mm
1902	6	15	1817	0	101765	Orig=763.3mm
1902	6	16	1817	0	101845	Orig=763.9mm
1902	6	17	1817	0	102872	Orig=771.6mm
1902	6	18	1817	0	102765	Orig=770.8mm
1902	6	19	1817	0	102112	Orig=765.9mm
1902	6	20	1817	0	101498	Orig=761.3mm
1902	6	21	1817	0	101552	Orig=761.7mm
1902	6	22	1817	0	101032	Orig=757.8mm
1902	6	23	1817	0	100925	Orig=757mm
1902	6	24	1817	0	100285	Orig=752.2mm
1902	6	25	1817	0	102338	Orig=767.6mm
1902	6	26	1817	0	101978	Orig=764.9mm
1902	6	27	1817	0	102525	Orig=769mm
1902	6	28	1817	0	102058	Orig=765.5mm
