SEF	0.0.1
ID	DWR_Rio_Quartro
Name	Rio Quartro
Lat	
Lon	
Alt	
Source	C3S_SouthAmerica
Repo	
Var	mslp
Units	Pa
Meta	
Year	Month	Day	HHMM	TimeF	Value	Meta
1902	2	21	1817	0	101338	Orig=760.1mm
1902	2	22	1817	0	101112	Orig=758.4mm
1902	2	23	1817	0	100872	Orig=756.6mm
1902	2	24	1817	0	101592	Orig=762mm
1902	2	25	1817	0	100965	Orig=757.3mm
1902	2	26	1817	0	100978	Orig=757.4mm
1902	2	27	1817	0	101072	Orig=758.1mm
1902	2	28	1817	0	100672	Orig=755.1mm
1902	3	1	1817	0	100618	Orig=754.7mm
1902	3	2	1817	0	102058	Orig=765.5mm
1902	3	3	1817	0	101738	Orig=763.1mm
1902	3	4	1817	0	101498	Orig=761.3mm
1902	3	5	1817	0	100632	Orig=754.8mm
1902	3	6	1817	0	100965	Orig=757.3mm
1902	3	7	1817	0	101632	Orig=762.3mm
1902	3	8	1817	0	101112	Orig=758.4mm
1902	3	9	1817	0	101592	Orig=762mm
1902	3	10	1817	0	101432	Orig=760.8mm
1902	3	12	1817	0	101192	Orig=759mm
1902	3	13	1817	0	100778	Orig=755.9mm
1902	3	14	1817	0	101245	Orig=759.4mm
1902	3	15	1817	0	100992	Orig=757.5mm
1902	3	16	1817	0	100938	Orig=757.1mm
1902	3	19	1817	0	101498	Orig=761.3mm
1902	3	21	1817	0	101032	Orig=757.8mm
1902	3	22	1817	0	100912	Orig=756.9mm
1902	3	23	1817	0	100885	Orig=756.7mm
1902	3	24	1817	0	100405	Orig=753.1mm
1902	3	25	1817	0	100818	Orig=756.2mm
1902	3	26	1817	0	101778	Orig=763.4mm
1902	3	27	1817	0	101378	Orig=760.4mm
1902	3	30	1817	0	101245	Orig=759.4mm
1902	3	31	1817	0	100418	Orig=753.2mm
1902	4	2	1817	0	101165	Orig=758.8mm
1902	4	3	1817	0	101365	Orig=760.3mm
1902	4	4	1817	0	101178	Orig=758.9mm
1902	4	5	1817	0	102058	Orig=765.5mm
1902	4	6	1817	0	101232	Orig=759.3mm
1902	4	7	1817	0	101312	Orig=759.9mm
1902	4	8	1817	0	101045	Orig=757.9mm
1902	4	9	1817	0	101045	Orig=757.9mm
1902	4	10	1817	0	100952	Orig=757.2mm
1902	4	12	1817	0	100952	Orig=757.2mm
1902	4	13	1817	0	100618	Orig=754.7mm
1902	4	14	1817	0	100685	Orig=755.2mm
1902	4	16	1817	0	100232	Orig=751.8mm
1902	4	19	1817	0	101418	Orig=760.7mm
1902	4	20	1817	0	101085	Orig=758.2mm
1902	4	24	1817	0	101712	Orig=762.9mm
1902	4	26	1817	0	101645	Orig=762.4mm
1902	4	27	1817	0	101178	Orig=758.9mm
1902	4	29	1817	0	101178	Orig=758.9mm
1902	5	3	1817	0	100392	Orig=753mm
1902	5	6	1817	0	101392	Orig=760.5mm
1902	5	8	1817	0	101538	Orig=761.6mm
1902	5	16	1817	0	101432	Orig=760.8mm
1902	5	17	1817	0	101618	Orig=762.2mm
1902	5	18	1817	0	101605	Orig=762.1mm
1902	5	19	1817	0	101365	Orig=760.3mm
1902	5	20	1817	0	101938	Orig=764.6mm
1902	5	21	1817	0	100578	Orig=754.4mm
1902	5	22	1817	0	100952	Orig=757.2mm
1902	5	23	1817	0	101365	Orig=760.3mm
1902	5	24	1817	0	101365	Orig=760.3mm
1902	5	25	1817	0	101365	Orig=760.3mm
1902	5	26	1817	0	100365	Orig=752.8mm
1902	5	27	1817	0	100045	Orig=750.4mm
1902	5	28	1817	0	100698	Orig=755.3mm
1902	5	29	1817	0	101178	Orig=758.9mm
1902	5	30	1817	0	101445	Orig=760.9mm
1902	5	31	1817	0	101952	Orig=764.7mm
1902	6	1	1817	0	101885	Orig=764.2mm
1902	6	2	1817	0	101925	Orig=764.5mm
1902	6	3	1817	0	101872	Orig=764.1mm
1902	6	4	1817	0	101618	Orig=762.2mm
1902	6	5	1817	0	100752	Orig=755.7mm
1902	6	6	1817	0	100778	Orig=755.9mm
1902	6	7	1817	0	101378	Orig=760.4mm
1902	6	8	1817	0	102565	Orig=769.3mm
1902	6	9	1817	0	101658	Orig=762.5mm
1902	6	10	1817	0	101458	Orig=761mm
