SEF	0.0.1
ID	DWR_Rio_Quartro
Name	Rio Quartro
Lat	
Lon	
Alt	
Source	C3S_SouthAmerica
Repo	
Var	dd
Units	degree
Meta	
Year	Month	Day	HHMM	TimeF	Value	Meta
1902	3	15	1817	0	45	Orig=NE
1902	3	16	1817	0	45	Orig=NE
1902	3	19	1817	0	90	Orig=E
1902	3	21	1817	0	0	Orig=N
1902	3	22	1817	0	0	Orig=N
1902	3	23	1817	0	315	Orig=NW
1902	3	25	1817	0	0	Orig=N
1902	3	26	1817	0	0	Orig=N
1902	3	27	1817	0	0	Orig=N
1902	3	30	1817	0	0	Orig=N
1902	3	31	1817	0	0	Orig=N
1902	4	2	1817	0	90	Orig=E
1902	4	3	1817	0	45	Orig=NE
1902	4	4	1817	0	180	Orig=S
1902	4	5	1817	0	0	Orig=N
1902	4	6	1817	0	315	Orig=NW
1902	4	8	1817	0	0	Orig=N
1902	4	9	1817	0	0	Orig=N
1902	4	10	1817	0	180	Orig=S
1902	4	14	1817	0	135	Orig=SE
1902	4	19	1817	0	180	Orig=S
1902	4	20	1817	0	180	Orig=S
1902	4	24	1817	0	0	Orig=N
1902	4	26	1817	0	0	Orig=N
1902	4	27	1817	0	0	Orig=N
1902	4	29	1817	0	90	Orig=E
1902	5	3	1817	0	180	Orig=S
1902	5	16	1817	0	315	Orig=NW
1902	5	17	1817	0	45	Orig=NE
1902	5	18	1817	0	180	Orig=S
1902	5	19	1817	0	0	Orig=N
1902	5	21	1817	0	0	Orig=N
1902	5	22	1817	0	135	Orig=SE
1902	5	23	1817	0	0	Orig=N
1902	5	24	1817	0	0	Orig=N
1902	5	25	1817	0	0	Orig=N
1902	5	28	1817	0	225	Orig=SW
1902	5	30	1817	0	45	Orig=NE
1902	5	31	1817	0	45	Orig=NE
1902	6	1	1817	0	0	Orig=N
1902	6	3	1817	0	0	Orig=N
1902	6	4	1817	0	0	Orig=N
1902	6	5	1817	0	0	Orig=N
1902	6	6	1817	0	225	Orig=SW
1902	6	7	1817	0	0	Orig=N
1902	6	8	1817	0	315	Orig=NW
1902	6	9	1817	0	90	Orig=E
1902	6	10	1817	0	180	Orig=S
