SEF	1.0.0
ID	DWR_Rosario
Name	Rosario
Lat	-32.95924
Lon	-60.683479
Alt	NA
Source	C3S_SouthAmerica
Link	https://data-rescue.copernicus-climate.eu/lso/1085835
Vbl	mslp
Stat	point
Units	hPa
Meta	Data policy=GNU GPL v3.0
Year	Month	Day	Hour	Minute	Period	Value	Meta
1902	2	21	18	17	0	1008.3	Orig=756.3mm|orig.time=2pm
1902	2	22	18	17	0	1009.8	Orig=757.4mm|orig.time=2pm
1902	2	24	18	17	0	1011.1	Orig=758.4mm|orig.time=2pm
1902	2	25	18	17	0	1007.5	Orig=755.7mm|orig.time=2pm
1902	2	26	18	17	0	1004.9	Orig=753.7mm|orig.time=2pm
1902	2	27	18	17	0	1006.5	Orig=754.9mm|orig.time=2pm
1902	2	28	18	17	0	1012.5	Orig=759.4mm|orig.time=2pm
1902	3	1	18	17	0	1013.7	Orig=760.3mm|orig.time=2pm
1902	3	3	18	17	0	1009.1	Orig=756.9mm|orig.time=2pm
1902	3	4	18	17	0	1003.4	Orig=752.6mm|orig.time=2pm
1902	3	5	18	17	0	1011.3	Orig=758.5mm|orig.time=2pm
1902	3	6	18	17	0	1010.6	Orig=758mm|orig.time=2pm
1902	3	7	18	17	0	1011.8	Orig=758.9mm|orig.time=2pm
1902	3	8	18	17	0	1012.3	Orig=759.3mm|orig.time=2pm
1902	3	9	18	17	0	1011.9	Orig=759mm|orig.time=2pm
1902	3	10	18	17	0	1013.1	Orig=759.9mm|orig.time=2pm
1902	3	12	18	17	0	1003.4	Orig=752.6mm|orig.time=2pm
1902	3	13	18	17	0	1010.5	Orig=757.9mm|orig.time=2pm
1902	3	14	18	17	0	1015.9	Orig=762mm|orig.time=2pm
1902	3	15	18	17	0	1014.3	Orig=760.8mm|orig.time=2pm
1902	3	16	18	17	0	1013	Orig=759.8mm|orig.time=2pm
1902	3	19	18	17	0	1011.7	Orig=758.8mm|orig.time=2pm
1902	3	21	18	17	0	1015	Orig=761.3mm|orig.time=2pm
1902	3	22	18	17	0	1014.6	Orig=761mm|orig.time=2pm
1902	3	23	18	17	0	1014.2	Orig=760.7mm|orig.time=2pm
1902	3	24	18	17	0	1012.2	Orig=759.2mm|orig.time=2pm
1902	3	26	18	17	0	1016	Orig=762.1mm|orig.time=2pm
1902	3	27	18	17	0	1014.3	Orig=760.8mm|orig.time=2pm
1902	3	30	18	17	0	1015.4	Orig=761.6mm|orig.time=2pm
1902	3	31	18	17	0	1006.9	Orig=755.2mm|orig.time=2pm
1902	4	9	18	17	0	1009.5	Orig=757.2mm|orig.time=2pm
1902	4	10	18	17	0	1012.6	Orig=759.5mm|orig.time=2pm
1902	4	12	18	17	0	1011.5	Orig=758.7mm|orig.time=2pm
1902	4	13	18	17	0	1013.4	Orig=760.1mm|orig.time=2pm
1902	4	14	18	17	0	1011.9	Orig=759mm|orig.time=2pm
1902	4	16	18	17	0	1012.6	Orig=759.5mm|orig.time=2pm
1902	4	19	18	17	0	1013	Orig=759.8mm|orig.time=2pm
1902	4	20	18	17	0	1006.7	Orig=755.1mm|orig.time=2pm
1902	4	24	18	17	0	1014.5	Orig=760.9mm|orig.time=2pm
1902	4	26	18	17	0	1018.3	Orig=763.8mm|orig.time=2pm
1902	4	27	18	17	0	1016.7	Orig=762.6mm|orig.time=2pm
1902	4	29	18	17	0	1017.9	Orig=763.5mm|orig.time=2pm
1902	5	3	18	17	0	1003.8	Orig=752.9mm|orig.time=2pm
1902	5	4	18	17	0	1012.3	Orig=759.3mm|orig.time=2pm
1902	5	6	18	17	0	1014.1	Orig=760.6mm|orig.time=2pm
1902	5	16	18	17	0	1021.2	Orig=766mm|orig.time=2pm
1902	5	17	18	17	0	1014.7	Orig=761.1mm|orig.time=2pm
1902	5	18	18	17	0	1014.5	Orig=760.9mm|orig.time=2pm
1902	5	19	18	17	0	1012.6	Orig=759.5mm|orig.time=2pm
1902	5	20	18	17	0	1012.3	Orig=759.3mm|orig.time=2pm
1902	5	21	18	17	0	1011.7	Orig=758.8mm|orig.time=2pm
1902	5	22	18	17	0	1012.7	Orig=759.6mm|orig.time=2pm
1902	5	23	18	17	0	1011.3	Orig=758.5mm|orig.time=2pm
1902	5	24	18	17	0	1008.6	Orig=756.5mm|orig.time=2pm
1902	5	25	18	17	0	1006.5	Orig=754.9mm|orig.time=2pm
1902	5	26	18	17	0	1007.1	Orig=755.4mm|orig.time=2pm
1902	5	27	18	17	0	1003.8	Orig=752.9mm|orig.time=2pm
1902	5	28	18	17	0	1017.6	Orig=763.3mm|orig.time=2pm
1902	5	29	18	17	0	1016.4	Orig=762.4mm|orig.time=2pm
1902	5	30	18	17	0	1014.1	Orig=760.6mm|orig.time=2pm
1902	5	31	18	17	0	1010.6	Orig=758mm|orig.time=2pm
1902	6	1	18	17	0	1006.5	Orig=754.9mm|orig.time=2pm
1902	6	2	18	17	0	998.3	Orig=748.8mm|orig.time=2pm
1902	6	3	18	17	0	1010.9	Orig=758.2mm|orig.time=2pm
1902	6	4	18	17	0	1015.9	Orig=762mm|orig.time=2pm
1902	6	5	18	17	0	1017.8	Orig=763.4mm|orig.time=2pm
1902	6	6	18	17	0	1015.4	Orig=761.6mm|orig.time=2pm
1902	6	7	18	17	0	1015.4	Orig=761.6mm|orig.time=2pm
1902	6	8	18	17	0	1017.5	Orig=763.2mm|orig.time=2pm
1902	6	9	18	17	0	1019.4	Orig=764.6mm|orig.time=2pm
1902	6	10	18	17	0	1007.3	Orig=755.5mm|orig.time=2pm
1902	6	11	18	17	0	1008.2	Orig=756.2mm|orig.time=2pm
1902	6	12	18	17	0	1015.1	Orig=761.4mm|orig.time=2pm
1902	6	13	18	17	0	1017.5	Orig=763.2mm|orig.time=2pm
1902	6	14	18	17	0	1017.5	Orig=763.2mm|orig.time=2pm
1902	6	15	18	17	0	1006.3	Orig=754.8mm|orig.time=2pm
1902	6	16	18	17	0	1000.5	Orig=750.4mm|orig.time=2pm
1902	6	17	18	17	0	999.3	Orig=749.5mm|orig.time=2pm
1902	6	18	18	17	0	1007.9	Orig=756mm|orig.time=2pm
1902	6	19	18	17	0	1016.4	Orig=762.4mm|orig.time=2pm
1902	6	20	18	17	0	1020.7	Orig=765.6mm|orig.time=2pm
1902	6	21	18	17	0	1021.4	Orig=766.1mm|orig.time=2pm
1902	6	22	18	17	0	1020.8	Orig=765.7mm|orig.time=2pm
1902	6	23	18	17	0	1022	Orig=766.6mm|orig.time=2pm
1902	6	25	18	17	0	1012.5	Orig=759.4mm|orig.time=2pm
1902	6	26	18	17	0	1011.8	Orig=758.9mm|orig.time=2pm
1902	6	27	18	17	0	1012.7	Orig=759.6mm|orig.time=2pm
1902	6	28	18	17	0	1019.5	Orig=764.7mm|orig.time=2pm
1902	6	29	18	17	0	1015.8	Orig=761.9mm|orig.time=2pm
1902	6	30	18	17	0	1014.7	Orig=761.1mm|orig.time=2pm
1902	7	1	18	17	0	1011.9	Orig=759mm|orig.time=2pm
1902	7	2	18	17	0	1019.1	Orig=764.4mm|orig.time=2pm
1902	7	4	18	17	0	1023.5	Orig=767.7mm|orig.time=2pm
1902	7	5	18	17	0	1021.5	Orig=766.2mm|orig.time=2pm
1902	7	6	18	17	0	1022	Orig=766.6mm|orig.time=2pm
1902	7	7	18	17	0	1012.5	Orig=759.4mm|orig.time=2pm
1902	7	8	18	17	0	997.4	Orig=748.1mm|orig.time=2pm
1902	7	9	18	17	0	1003	Orig=752.3mm|orig.time=2pm
1902	7	10	18	17	0	995.9	Orig=747mm|orig.time=2pm
1902	7	11	18	17	0	1019.1	Orig=764.4mm|orig.time=2pm
1902	7	12	18	17	0	1019.1	Orig=764.4mm|orig.time=2pm
1902	7	13	18	17	0	1016.2	Orig=762.2mm|orig.time=2pm
1902	7	14	18	17	0	1011.3	Orig=758.5mm|orig.time=2pm
1902	7	15	18	17	0	1011.3	Orig=758.5mm|orig.time=2pm
1902	7	16	18	17	0	1010.2	Orig=757.7mm|orig.time=2pm
1902	7	17	18	17	0	1022.6	Orig=767mm|orig.time=2pm
1902	7	18	18	17	0	1024	Orig=768.1mm|orig.time=2pm
1902	7	19	18	17	0	1022.3	Orig=766.8mm|orig.time=2pm
1902	7	20	18	17	0	1022.7	Orig=767.1mm|orig.time=2pm
1902	7	21	18	17	0	1023.9	Orig=768mm|orig.time=2pm
1902	7	23	18	17	0	1004.6	Orig=753.5mm|orig.time=2pm
1902	7	24	18	17	0	1009.1	Orig=756.9mm|orig.time=2pm
1902	7	25	18	17	0	1004.6	Orig=753.5mm|orig.time=2pm
1902	7	26	18	17	0	995.7	Orig=746.8mm|orig.time=2pm
1902	7	27	18	17	0	1013.4	Orig=760.1mm|orig.time=2pm
1902	7	28	18	17	0	1028.8	Orig=771.7mm|orig.time=2pm
