SEF	0.0.1
ID	DWR_Rosario_de_l
Name	Rosario de la Frontera
Lat	
Lon	
Alt	
Source	C3S_SouthAmerica
Repo	
Var	dd
Units	degree
Meta	
Year	Month	Day	HHMM	TimeF	Value	Meta
1902	6	14	1817	0	45	Orig=NE
1902	6	15	1817	0	0	Orig=N
1902	6	16	1817	0	45	Orig=NE
1902	6	17	1817	0	45	Orig=NE
1902	6	18	1817	0	225	Orig=SW
1902	6	19	1817	0	270	Orig=W
1902	6	20	1817	0	0	Orig=N
1902	6	21	1817	0	270	Orig=W
1902	6	22	1817	0	0	Orig=N
1902	6	23	1817	0	45	Orig=NE
1902	6	24	1817	0	90	Orig=E
1902	6	25	1817	0	45	Orig=NE
1902	6	26	1817	0	0	Orig=N
1902	6	27	1817	0	270	Orig=W
1902	6	29	1817	0	225	Orig=SW
1902	7	1	1817	0	270	Orig=W
1902	7	2	1817	0	0	Orig=N
1902	7	6	1817	0	45	Orig=NE
1902	7	9	1817	0	270	Orig=W
1902	7	11	1817	0	90	Orig=E
1902	7	12	1817	0	45	Orig=NE
1902	7	13	1817	0	0	Orig=N
1902	7	16	1817	0	270	Orig=W
1902	7	17	1817	0	0	Orig=N
1902	7	18	1817	0	0	Orig=N
1902	7	24	1817	0	45	Orig=NE
1902	7	25	1817	0	0	Orig=N
1902	7	26	1817	0	270	Orig=W
1902	7	27	1817	0	180	Orig=S
1902	7	28	1817	0	90	Orig=E
1902	7	29	1817	0	90	Orig=E
1902	8	1	1817	0	270	Orig=W
1902	8	2	1817	0	0	Orig=N
1902	8	3	1817	0	0	Orig=N
1902	8	6	1817	0	0	Orig=N
1902	8	7	1817	0	0	Orig=N
1902	8	10	1817	0	90	Orig=E
1902	8	11	1817	0	315	Orig=NW
1902	8	12	1817	0	90	Orig=E
1902	8	13	1817	0	135	Orig=SE
1902	8	14	1817	0	0	Orig=N
1902	8	15	1817	0	90	Orig=E
1902	8	16	1817	0	315	Orig=NW
1902	8	17	1817	0	45	Orig=NE
1902	8	19	1817	0	0	Orig=N
1902	8	20	1817	0	0	Orig=N
1902	8	21	1817	0	225	Orig=SW
1902	8	22	1817	0	0	Orig=N
1902	8	23	1817	0	90	Orig=E
1902	8	25	1817	0	0	Orig=N
1902	8	27	1817	0	45	Orig=NE
1902	8	28	1817	0	45	Orig=NE
1902	8	29	1817	0	0	Orig=N
1902	8	30	1817	0	45	Orig=NE
1902	9	3	1117	0	180	Orig=S
1902	9	7	1117	0	225	Orig=SW
1902	9	18	1117	0	180	Orig=S
1902	9	20	1117	0	180	Orig=S
1902	9	24	1117	0	90	Orig=E
1902	9	25	1117	0	180	Orig=S
1902	9	26	1117	0	225	Orig=SW
1902	9	28	1117	0	0	Orig=N
1902	10	1	1117	0	90	Orig=E
1902	10	3	1117	0	270	Orig=W
1902	10	5	1117	0	180	Orig=S
1902	10	7	1117	0	45	Orig=NE
1902	10	8	1117	0	90	Orig=E
1902	10	9	1117	0	225	Orig=SW
1902	10	10	1117	0	225	Orig=SW
1902	10	11	1117	0	315	Orig=NW
1902	10	19	1117	0	315	Orig=NW
1902	10	25	1117	0	180	Orig=S
1902	10	26	1117	0	270	Orig=W
1902	10	31	1117	0	90	Orig=E
1902	11	1	1117	0	225	Orig=SW
1902	11	7	1117	0	225	Orig=SW
1902	11	8	1117	0	90	Orig=E
1902	11	9	1117	0	90	Orig=E
1902	11	10	1117	0	90	Orig=E
1902	11	18	1117	0	225	Orig=SW
1902	11	19	1117	0	180	Orig=S
1902	11	25	1117	0	180	Orig=S
1902	11	26	1117	0	225	Orig=SW
1902	11	27	1117	0	90	Orig=E
1902	12	13	1117	0	180	Orig=S
1902	12	24	1117	0	225	Orig=SW
1902	12	25	1117	0	90	Orig=E
