SEF	1.0.0
ID	DWR_Rosario_dlF.
Name	Rosario de la Frontera
Lat	-25.8
Lon	-64.966667
Alt	NA
Source	C3S_SouthAmerica
Link	https://data-rescue.copernicus-climate.eu/lso/
Vbl	dd
Stat	point
Units	degree
Meta	Data policy=GNU GPL v3.0
Year	Month	Day	Hour	Minute	Period	Value	Meta
1902	6	15	18	17	0	45	Orig=NE|orig.time=2pm
1902	6	16	18	17	0	0	Orig=N|orig.time=2pm
1902	6	17	18	17	0	45	Orig=NE|orig.time=2pm
1902	6	18	18	17	0	45	Orig=NE|orig.time=2pm
1902	6	19	18	17	0	225	Orig=SW|orig.time=2pm
1902	6	20	18	17	0	270	Orig=W|orig.time=2pm
1902	6	21	18	17	0	0	Orig=N|orig.time=2pm
1902	6	22	18	17	0	270	Orig=W|orig.time=2pm
1902	6	23	18	17	0	0	Orig=N|orig.time=2pm
1902	6	24	18	17	0	45	Orig=NE|orig.time=2pm
1902	6	25	18	17	0	90	Orig=E|orig.time=2pm
1902	6	26	18	17	0	45	Orig=NE|orig.time=2pm
1902	6	27	18	17	0	0	Orig=N|orig.time=2pm
1902	6	28	18	17	0	270	Orig=W|orig.time=2pm
1902	6	30	18	17	0	225	Orig=SW|orig.time=2pm
1902	7	2	18	17	0	270	Orig=W|orig.time=2pm
1902	7	4	18	17	0	0	Orig=N|orig.time=2pm
1902	7	7	18	17	0	45	Orig=NE|orig.time=2pm
1902	7	10	18	17	0	270	Orig=W|orig.time=2pm
1902	7	12	18	17	0	90	Orig=E|orig.time=2pm
1902	7	13	18	17	0	45	Orig=NE|orig.time=2pm
1902	7	14	18	17	0	0	Orig=N|orig.time=2pm
1902	7	17	18	17	0	270	Orig=W|orig.time=2pm
1902	7	18	18	17	0	0	Orig=N|orig.time=2pm
1902	7	19	18	17	0	0	Orig=N|orig.time=2pm
1902	7	25	18	17	0	45	Orig=NE|orig.time=2pm
1902	7	26	18	17	0	0	Orig=N|orig.time=2pm
1902	7	27	18	17	0	270	Orig=W|orig.time=2pm
1902	7	28	18	17	0	180	Orig=S|orig.time=2pm
1902	7	29	18	17	0	90	Orig=E|orig.time=2pm
1902	7	30	18	17	0	90	Orig=E|orig.time=2pm
1902	8	2	18	17	0	270	Orig=W|orig.time=2pm
1902	8	3	18	17	0	0	Orig=N|orig.time=2pm
1902	8	4	18	17	0	0	Orig=N|orig.time=2pm
1902	8	7	18	17	0	0	Orig=N|orig.time=2pm
1902	8	8	18	17	0	0	Orig=N|orig.time=2pm
1902	8	11	18	17	0	90	Orig=E|orig.time=2pm
1902	8	12	18	17	0	315	Orig=NW|orig.time=2pm
1902	8	13	18	17	0	90	Orig=E|orig.time=2pm
1902	8	14	18	17	0	135	Orig=SE|orig.time=2pm
1902	8	15	18	17	0	0	Orig=N|orig.time=2pm
1902	8	16	18	17	0	90	Orig=E|orig.time=2pm
1902	8	17	18	17	0	315	Orig=NW|orig.time=2pm
1902	8	18	18	17	0	45	Orig=NE|orig.time=2pm
1902	8	20	18	17	0	0	Orig=N|orig.time=2pm
1902	8	21	18	17	0	0	Orig=N|orig.time=2pm
1902	8	22	18	17	0	225	Orig=SW|orig.time=2pm
1902	8	23	18	17	0	0	Orig=N|orig.time=2pm
1902	8	24	18	17	0	90	Orig=E|orig.time=2pm
1902	8	26	18	17	0	0	Orig=N|orig.time=2pm
1902	8	28	18	17	0	45	Orig=NE|orig.time=2pm
1902	8	29	18	17	0	45	Orig=NE|orig.time=2pm
1902	8	30	18	17	0	0	Orig=N|orig.time=2pm
1902	8	31	18	17	0	45	Orig=NE|orig.time=2pm
1902	9	4	11	17	0	180	Orig=S|orig.time=7am
1902	9	8	11	17	0	225	Orig=SW|orig.time=7am
1902	9	19	11	17	0	180	Orig=S|orig.time=7am
1902	9	21	11	17	0	180	Orig=S|orig.time=7am
1902	9	25	11	17	0	90	Orig=E|orig.time=7am
1902	9	26	11	17	0	180	Orig=S|orig.time=7am
1902	9	27	11	17	0	225	Orig=SW|orig.time=7am
1902	9	29	11	17	0	0	Orig=N|orig.time=7am
1902	10	2	11	17	0	90	Orig=E|orig.time=7am
1902	10	5	11	17	0	270	Orig=W|orig.time=7am
1902	10	7	11	17	0	180	Orig=S|orig.time=7am
1902	10	8	11	17	0	45	Orig=NE|orig.time=7am
1902	10	9	11	17	0	90	Orig=E|orig.time=7am
1902	10	10	11	17	0	225	Orig=SW|orig.time=7am
1902	10	11	11	17	0	225	Orig=SW|orig.time=7am
1902	10	12	11	17	0	315	Orig=NW|orig.time=7am
1902	10	20	11	17	0	315	Orig=NW|orig.time=7am
1902	10	26	11	17	0	180	Orig=S|orig.time=7am
1902	10	27	11	17	0	270	Orig=W|orig.time=7am
1902	11	1	11	17	0	90	Orig=E|orig.time=7am
1902	11	2	11	17	0	225	Orig=SW|orig.time=7am
1902	11	8	11	17	0	225	Orig=SW|orig.time=7am
1902	11	9	11	17	0	90	Orig=E|orig.time=7am
1902	11	10	11	17	0	90	Orig=E|orig.time=7am
1902	11	11	11	17	0	90	Orig=E|orig.time=7am
1902	11	19	11	17	0	225	Orig=SW|orig.time=7am
1902	11	20	11	17	0	180	Orig=S|orig.time=7am
1902	11	26	11	17	0	180	Orig=S|orig.time=7am
1902	11	27	11	17	0	225	Orig=SW|orig.time=7am
1902	11	28	11	17	0	90	Orig=E|orig.time=7am
1902	12	14	11	17	0	180	Orig=S|orig.time=7am
1902	12	25	11	17	0	225	Orig=SW|orig.time=7am
1902	12	26	11	17	0	90	Orig=E|orig.time=7am
