SEF	0.0.1
ID	DWR_SAN_LUIS-V._
Name	SAN LUIS-V. Mercedes
Lat	
Lon	
Alt	
Source	C3S_SouthAmerica
Repo	
Var	mslp
Units	Pa
Meta	
Year	Month	Day	HHMM	TimeF	Value	Meta
1902	9	2	1117	0	102165	Orig=766.3mm
1902	9	3	1117	0	102125	Orig=766mm
1902	9	4	1117	0	102405	Orig=768.1mm
1902	9	5	1117	0	101272	Orig=759.6mm
1902	9	7	1117	0	101352	Orig=760.2mm
1902	9	8	1117	0	102032	Orig=765.3mm
1902	9	10	1117	0	101978	Orig=764.9mm
1902	9	11	1117	0	103058	Orig=773mm
1902	9	12	1117	0	102685	Orig=770.2mm
1902	9	13	1117	0	102058	Orig=765.5mm
1902	9	14	1117	0	101725	Orig=763mm
1902	9	15	1117	0	101672	Orig=762.6mm
1902	9	17	1117	0	101245	Orig=759.4mm
1902	9	18	1117	0	100752	Orig=755.7mm
1902	9	19	1117	0	102645	Orig=769.9mm
1902	9	20	1117	0	101992	Orig=765mm
1902	9	21	1117	0	102738	Orig=770.6mm
1902	9	22	1117	0	102272	Orig=767.1mm
1902	9	23	1117	0	102418	Orig=768.2mm
1902	9	25	1117	0	102365	Orig=767.8mm
1902	9	26	1117	0	101778	Orig=763.4mm
1902	9	27	1117	0	101792	Orig=763.5mm
1902	9	28	1117	0	101898	Orig=764.3mm
1902	9	29	1117	0	102152	Orig=766.2mm
1902	9	30	1117	0	103418	Orig=775.7mm
1902	10	1	1117	0	104271	Orig=782.1mm
1902	10	2	1117	0	103245	Orig=774.4mm
1902	10	3	1117	0	102898	Orig=771.8mm
1902	10	5	1117	0	102125	Orig=766mm
1902	10	7	1117	0	103125	Orig=773.5mm
1902	10	8	1117	0	102592	Orig=769.5mm
1902	10	9	1117	0	101712	Orig=762.9mm
1902	10	10	1117	0	102232	Orig=766.8mm
1902	10	11	1117	0	102632	Orig=769.8mm
1902	10	12	1117	0	102792	Orig=771mm
1902	10	13	1117	0	102618	Orig=769.7mm
1902	10	14	1117	0	101698	Orig=762.8mm
1902	10	15	1117	0	102098	Orig=765.8mm
1902	10	16	1117	0	101378	Orig=760.4mm
1902	10	17	1117	0	102072	Orig=765.6mm
1902	10	18	1117	0	101832	Orig=763.8mm
1902	10	19	1117	0	101525	Orig=761.5mm
1902	10	20	1117	0	101205	Orig=759.1mm
1902	10	21	1117	0	101338	Orig=760.1mm
1902	10	22	1117	0	100565	Orig=754.3mm
1902	10	23	1117	0	101432	Orig=760.8mm
1902	10	25	1117	0	101378	Orig=760.4mm
1902	10	26	1117	0	101805	Orig=763.6mm
1902	10	27	1117	0	101805	Orig=763.6mm
1902	10	28	1117	0	101605	Orig=762.1mm
1902	10	30	1117	0	102152	Orig=766.2mm
1902	10	31	1117	0	101485	Orig=761.2mm
1902	11	1	1117	0	101218	Orig=759.2mm
1902	11	3	1117	0	101325	Orig=760mm
1902	11	4	1117	0	101085	Orig=758.2mm
1902	11	5	1117	0	100832	Orig=756.3mm
1902	11	6	1117	0	100792	Orig=756mm
1902	11	7	1117	0	100098	Orig=750.8mm
1902	11	8	1117	0	101112	Orig=758.4mm
1902	11	10	1117	0	102005	Orig=765.1mm
1902	11	11	1117	0	101352	Orig=760.2mm
1902	11	12	1117	0	101698	Orig=762.8mm
1902	11	13	1117	0	101285	Orig=759.7mm
1902	11	14	1117	0	101125	Orig=758.5mm
1902	11	16	1117	0	102058	Orig=765.5mm
1902	11	17	1117	0	101418	Orig=760.7mm
1902	11	18	1117	0	101285	Orig=759.7mm
1902	11	19	1117	0	102045	Orig=765.4mm
1902	11	20	1117	0	101605	Orig=762.1mm
1902	11	21	1117	0	101018	Orig=757.7mm
1902	11	22	1117	0	100592	Orig=754.5mm
1902	11	23	1117	0	101778	Orig=763.4mm
1902	11	25	1117	0	101338	Orig=760.1mm
1902	11	26	1117	0	102525	Orig=769mm
1902	11	27	1117	0	102912	Orig=771.9mm
1902	11	28	1117	0	101845	Orig=763.9mm
1902	11	29	1117	0	101458	Orig=761mm
1902	11	30	1117	0	101538	Orig=761.6mm
1902	12	1	1117	0	101298	Orig=759.8mm
1902	12	2	1117	0	101392	Orig=760.5mm
1902	12	3	1117	0	101485	Orig=761.2mm
1902	12	4	1117	0	101765	Orig=763.3mm
1902	12	5	1117	0	101725	Orig=763mm
1902	12	6	1117	0	101125	Orig=758.5mm
1902	12	8	1117	0	101525	Orig=761.5mm
1902	12	9	1117	0	101672	Orig=762.6mm
1902	12	10	1117	0	101485	Orig=761.2mm
1902	12	11	1117	0	100925	Orig=757mm
1902	12	12	1117	0	100698	Orig=755.3mm
1902	12	13	1117	0	102138	Orig=766.1mm
1902	12	14	1117	0	102152	Orig=766.2mm
1902	12	15	1117	0	101458	Orig=761mm
1902	12	16	1117	0	101845	Orig=763.9mm
1902	12	17	1117	0	101072	Orig=758.1mm
1902	12	18	1117	0	101192	Orig=759mm
1902	12	19	1117	0	101138	Orig=758.6mm
1902	12	22	1117	0	100312	Orig=752.4mm
1902	12	25	1117	0	101565	Orig=761.8mm
1902	12	26	1117	0	100898	Orig=756.8mm
1902	12	28	1117	0	101245	Orig=759.4mm
1902	12	29	1117	0	101738	Orig=763.1mm
1902	12	31	1117	0	101858	Orig=764mm
