SEF	0.0.1
ID	DWR_Saladillo
Name	Saladillo
Lat	
Lon	
Alt	
Source	C3S_SouthAmerica
Repo	
Var	mslp
Units	Pa
Meta	PGC=F
Year	Month	Day	HHMM	TimeF	Value	Meta
1902	9	7	1117	0	100698	Orig=755.3mm
1902	9	8	1117	0	101218	Orig=759.2mm
1902	9	10	1117	0	102045	Orig=765.4mm
1902	9	14	1117	0	101272	Orig=759.6mm
1902	9	15	1117	0	101418	Orig=760.7mm
1902	9	16	1117	0	101125	Orig=758.5mm
1902	9	17	1117	0	101258	Orig=759.5mm
1902	9	18	1117	0	100298	Orig=752.3mm
1902	9	20	1117	0	101978	Orig=764.9mm
1902	9	21	1117	0	102232	Orig=766.8mm
1902	11	25	1117	0	100752	Orig=755.7mm
