SEF	1.0.0
ID	DWR_Salta-La_Mcd
Name	Salta-La Merced
Lat	-24.9667
Lon	-65.4895
Alt	NA
Source	C3S_SouthAmerica
Link	https://data-rescue.copernicus-climate.eu/lso/1085883
Vbl	mslp
Stat	point
Units	hPa
Meta	Data policy=GNU GPL v3.0
Year	Month	Day	Hour	Minute	Period	Value	Meta
1902	3	8	18	17	0	1014.3	Orig=760.8mm|orig.time=2pm
1902	3	9	18	17	0	1012.5	Orig=759.4mm|orig.time=2pm
1902	3	10	18	17	0	1010.3	Orig=757.8mm|orig.time=2pm
1902	3	12	18	17	0	1005.3	Orig=754mm|orig.time=2pm
1902	3	13	18	17	0	1015	Orig=761.3mm|orig.time=2pm
1902	3	14	18	17	0	1016.4	Orig=762.4mm|orig.time=2pm
1902	3	15	18	17	0	1017.6	Orig=763.3mm|orig.time=2pm
1902	3	16	18	17	0	1014.5	Orig=760.9mm|orig.time=2pm
1902	3	19	18	17	0	1011	Orig=758.3mm|orig.time=2pm
1902	3	21	18	17	0	1017.6	Orig=763.3mm|orig.time=2pm
1902	3	22	18	17	0	1016.4	Orig=762.4mm|orig.time=2pm
1902	3	23	18	17	0	1016.4	Orig=762.4mm|orig.time=2pm
1902	3	24	18	17	0	1012.1	Orig=759.1mm|orig.time=2pm
1902	3	25	18	17	0	1011.1	Orig=758.4mm|orig.time=2pm
1902	3	26	18	17	0	1011.7	Orig=758.8mm|orig.time=2pm
1902	3	27	18	17	0	1013	Orig=759.8mm|orig.time=2pm
1902	3	30	18	17	0	1018.2	Orig=763.7mm|orig.time=2pm
1902	3	31	18	17	0	1012.2	Orig=759.2mm|orig.time=2pm
1902	4	2	18	17	0	1013.9	Orig=760.5mm|orig.time=2pm
1902	4	3	18	17	0	1013.3	Orig=760mm|orig.time=2pm
1902	4	4	18	17	0	1009.8	Orig=757.4mm|orig.time=2pm
1902	4	5	18	17	0	1015.6	Orig=761.8mm|orig.time=2pm
1902	4	6	18	17	0	1017.5	Orig=763.2mm|orig.time=2pm
1902	4	7	18	17	0	1013.7	Orig=760.3mm|orig.time=2pm
1902	4	8	18	17	0	1010.3	Orig=757.8mm|orig.time=2pm
1902	4	9	18	17	0	1011.7	Orig=758.8mm|orig.time=2pm
1902	4	10	18	17	0	1011.7	Orig=758.8mm|orig.time=2pm
1902	4	12	18	17	0	1011.8	Orig=758.9mm|orig.time=2pm
1902	4	13	18	17	0	1008.3	Orig=756.3mm|orig.time=2pm
1902	4	14	18	17	0	1011.1	Orig=758.4mm|orig.time=2pm
1902	4	16	18	17	0	1009	Orig=756.8mm|orig.time=2pm
1902	4	19	18	17	0	1013	Orig=759.8mm|orig.time=2pm
1902	4	20	18	17	0	1010.3	Orig=757.8mm|orig.time=2pm
1902	4	24	18	17	0	1013.1	Orig=759.9mm|orig.time=2pm
1902	4	26	18	17	0	1018.2	Orig=763.7mm|orig.time=2pm
1902	4	27	18	17	0	1017.6	Orig=763.3mm|orig.time=2pm
1902	4	29	18	17	0	1018.8	Orig=764.2mm|orig.time=2pm
1902	5	6	18	17	0	1009.8	Orig=757.4mm|orig.time=2pm
1902	5	8	18	17	0	1004.5	Orig=753.4mm|orig.time=2pm
1902	5	16	18	17	0	1018.3	Orig=763.8mm|orig.time=2pm
1902	5	17	18	17	0	1017.1	Orig=762.9mm|orig.time=2pm
1902	5	18	18	17	0	1015.6	Orig=761.8mm|orig.time=2pm
1902	5	19	18	17	0	1015.6	Orig=761.8mm|orig.time=2pm
1902	5	20	18	17	0	1012.5	Orig=759.4mm|orig.time=2pm
1902	5	21	18	17	0	1011.8	Orig=758.9mm|orig.time=2pm
1902	5	22	18	17	0	1015.5	Orig=761.7mm|orig.time=2pm
1902	5	23	18	17	0	1013.8	Orig=760.4mm|orig.time=2pm
1902	5	24	18	17	0	1011.3	Orig=758.5mm|orig.time=2pm
1902	5	25	18	17	0	1009.1	Orig=756.9mm|orig.time=2pm
1902	5	26	18	17	0	1007.9	Orig=756mm|orig.time=2pm
1902	5	27	18	17	0	1004.7	Orig=753.6mm|orig.time=2pm
1902	5	28	18	17	0	1018.2	Orig=763.7mm|orig.time=2pm
1902	5	29	18	17	0	1017.4	Orig=763.1mm|orig.time=2pm
1902	5	30	18	17	0	1014.7	Orig=761.1mm|orig.time=2pm
1902	5	31	18	17	0	1012.5	Orig=759.4mm|orig.time=2pm
1902	6	1	18	17	0	1009.4	Orig=757.1mm|orig.time=2pm
1902	6	2	18	17	0	1004.6	Orig=753.5mm|orig.time=2pm
1902	6	3	18	17	0	1008.5	Orig=756.4mm|orig.time=2pm
1902	6	4	18	17	0	1011.1	Orig=758.4mm|orig.time=2pm
