SEF	0.0.1
ID	DWR_Salta-La_Mer
Name	Salta-La Merced
Lat	
Lon	
Alt	
Source	C3S_SouthAmerica
Repo	
Var	rh
Units	%
Meta	
Year	Month	Day	HHMM	TimeF	Value	Meta
1902	2	21	1817	0	82	
1902	2	22	1817	0	82	
1902	2	23	1817	0	82	
1902	2	24	1817	0	61	
1902	2	25	1817	0	68	
1902	2	26	1817	0	75	
1902	2	27	1817	0	55	
1902	2	28	1817	0	60	
1902	3	1	1817	0	66	
1902	3	2	1817	0	54	
1902	3	3	1817	0	49	
1902	3	4	1817	0	44	
1902	3	5	1817	0	46	
1902	3	6	1817	0	62	
1902	3	7	1817	0	49	
1902	3	8	1817	0	67	
1902	3	9	1817	0	56	
1902	3	10	1817	0	55	
1902	3	12	1817	0	52	
1902	3	13	1817	0	72	
1902	3	14	1817	0	60	
1902	3	15	1817	0	73	
1902	3	16	1817	0	47	
1902	3	21	1817	0	65	
1902	3	22	1817	0	54	
1902	3	23	1817	0	54	
1902	3	24	1817	0	55	
1902	3	25	1817	0	26	
1902	3	26	1817	0	75	
1902	3	27	1817	0	82	
1902	3	30	1817	0	90	
1902	3	31	1817	0	80	
1902	4	2	1817	0	52	
1902	4	3	1817	0	60	
1902	4	4	1817	0	61	
1902	4	5	1817	0	73	
1902	4	6	1817	0	66	
1902	4	7	1817	0	63	
1902	4	8	1817	0	66	
1902	4	9	1817	0	53	
1902	4	10	1817	0	72	
1902	4	12	1817	0	54	
1902	4	13	1817	0	54	
1902	4	14	1817	0	54	
1902	4	16	1817	0	67	
1902	4	19	1817	0	60	
1902	4	20	1817	0	74	
1902	4	24	1817	0	50	
1902	4	26	1817	0	80	
1902	4	27	1817	0	63	
1902	4	29	1817	0	72	
1902	5	4	1817	0	42	
1902	5	6	1817	0	61	
1902	5	8	1817	0	49	
1902	5	16	1817	0	67	
1902	5	17	1817	0	55	
1902	5	18	1817	0	58	
1902	5	19	1817	0	52	
1902	5	20	1817	0	58	
1902	5	21	1817	0	59	
1902	5	22	1817	0	52	
1902	5	23	1817	0	46	
1902	5	24	1817	0	53	
1902	5	25	1817	0	47	
1902	5	26	1817	0	36	
1902	5	27	1817	0	47	
1902	5	28	1817	0	67	
1902	5	29	1817	0	57	
1902	5	30	1817	0	68	
1902	5	31	1817	0	49	
1902	6	1	1817	0	46	
1902	6	2	1817	0	42	
1902	6	3	1817	0	44	
1902	6	4	1817	0	65	
1902	6	5	1817	0	69	
1902	6	6	1817	0	61	
1902	6	7	1817	0	68	
1902	6	8	1817	0	58	
1902	6	9	1817	0	70	
1902	6	10	1817	0	55	
1902	6	11	1817	0	31	
1902	6	12	1817	0	72	
1902	6	13	1817	0	65	
1902	6	14	1817	0	65	
1902	6	15	1817	0	66	
1902	6	16	1817	0	61	
1902	6	17	1817	0	54	
1902	6	18	1817	0	74	
1902	6	19	1817	0	78	
1902	6	20	1817	0	79	
1902	6	21	1817	0	67	
1902	6	22	1817	0	44	
1902	6	23	1817	0	67	
1902	6	24	1817	0	52	
1902	6	25	1817	0	44	
1902	6	26	1817	0	60	
1902	6	27	1817	0	18	
1902	6	28	1817	0	71	
1902	6	29	1817	0	89	
1902	6	30	1817	0	72	
