SEF	1.0.0
ID	DWR_Salta
Name	SALTA
Lat	-24.783333
Lon	-65.416667
Alt	NA
Source	C3S_SouthAmerica
Link	https://data-rescue.copernicus-climate.eu/lso/1085871
Vbl	mslp
Stat	point
Units	hPa
Meta	Data policy=GNU GPL v3.0
Year	Month	Day	Hour	Minute	Period	Value	Meta
1902	7	1	18	17	0	1011	Orig=758.3mm|orig.time=2pm
1902	7	2	18	17	0	1021.9	Orig=766.5mm|orig.time=2pm
1902	7	4	18	17	0	1025.5	Orig=769.2mm|orig.time=2pm
1902	7	6	18	17	0	1019.6	Orig=764.8mm|orig.time=2pm
1902	7	7	18	17	0	1012.3	Orig=759.3mm|orig.time=2pm
1902	7	8	18	17	0	1003.9	Orig=753mm|orig.time=2pm
1902	7	9	18	17	0	996.6	Orig=747.5mm|orig.time=2pm
1902	7	10	18	17	0	997.3	Orig=748mm|orig.time=2pm
1902	7	11	18	17	0	1011	Orig=758.3mm|orig.time=2pm
1902	7	12	18	17	0	1017.4	Orig=763.1mm|orig.time=2pm
1902	7	13	18	17	0	1017.4	Orig=763.1mm|orig.time=2pm
1902	7	14	18	17	0	1012.6	Orig=759.5mm|orig.time=2pm
1902	7	15	18	17	0	1010.9	Orig=758.2mm|orig.time=2pm
1902	7	16	18	17	0	1010.7	Orig=758.1mm|orig.time=2pm
1902	7	17	18	17	0	1022.6	Orig=767mm|orig.time=2pm
1902	7	18	18	17	0	1025.4	Orig=769.1mm|orig.time=2pm
1902	7	19	18	17	0	1020.7	Orig=765.6mm|orig.time=2pm
1902	7	20	18	17	0	1023.5	Orig=767.7mm|orig.time=2pm
1902	7	21	18	17	0	1029.2	Orig=772mm|orig.time=2pm
1902	7	23	18	17	0	1007.4	Orig=755.6mm|orig.time=2pm
1902	7	24	18	17	0	1005.3	Orig=754mm|orig.time=2pm
1902	7	25	18	17	0	1006.1	Orig=754.6mm|orig.time=2pm
1902	7	26	18	17	0	1003.3	Orig=752.5mm|orig.time=2pm
1902	7	27	18	17	0	1011	Orig=758.3mm|orig.time=2pm
1902	7	28	18	17	0	1032.6	Orig=774.5mm|orig.time=2pm
1902	7	29	18	17	0	1030.6	Orig=773mm|orig.time=2pm
1902	7	30	18	17	0	1015.5	Orig=761.7mm|orig.time=2pm
1902	7	31	18	17	0	1011.7	Orig=758.8mm|orig.time=2pm
1902	8	1	18	17	0	1008.5	Orig=756.4mm|orig.time=2pm
1902	8	2	18	17	0	1033.1	Orig=774.9mm|orig.time=2pm
1902	8	3	18	17	0	1029.5	Orig=772.2mm|orig.time=2pm
1902	8	4	18	17	0	1019.5	Orig=764.7mm|orig.time=2pm
1902	8	5	18	17	0	1020.2	Orig=765.2mm|orig.time=2pm
1902	8	6	18	17	0	1015.8	Orig=761.9mm|orig.time=2pm
1902	8	7	18	17	0	1014.3	Orig=760.8mm|orig.time=2pm
1902	8	8	18	17	0	1004.5	Orig=753.4mm|orig.time=2pm
1902	8	9	18	17	0	1005.3	Orig=754mm|orig.time=2pm
1902	8	10	18	17	0	1006.5	Orig=754.9mm|orig.time=2pm
1902	8	11	18	17	0	1014.5	Orig=760.9mm|orig.time=2pm
1902	8	12	18	17	0	1009	Orig=756.8mm|orig.time=2pm
1902	8	13	18	17	0	1012.5	Orig=759.4mm|orig.time=2pm
