SEF	1.0.0
ID	DWR_San_Carlos
Name	San Carlos
Lat	-25.9
Lon	-65.933333
Alt	NA
Source	C3S_SouthAmerica
Link	https://data-rescue.copernicus-climate.eu/lso/1085919
Vbl	mslp
Stat	point
Units	hPa
Meta	Data policy=GNU GPL v3.0
Year	Month	Day	Hour	Minute	Period	Value	Meta
1902	6	7	18	17	0	1016.7	Orig=762.6mm|orig.time=2pm
1902	6	9	18	17	0	1017.1	Orig=762.9mm|orig.time=2pm
1902	6	12	18	17	0	1016.7	Orig=762.6mm|orig.time=2pm
1902	6	15	18	17	0	1009.3	Orig=757mm|orig.time=2pm
1902	6	16	18	17	0	1003.4	Orig=752.6mm|orig.time=2pm
1902	6	17	18	17	0	999.7	Orig=749.8mm|orig.time=2pm
1902	6	18	18	17	0	1008.2	Orig=756.2mm|orig.time=2pm
1902	6	21	18	17	0	1017.4	Orig=763.1mm|orig.time=2pm
1902	6	23	18	17	0	1023	Orig=767.3mm|orig.time=2pm
1902	6	27	18	17	0	1012.1	Orig=759.1mm|orig.time=2pm
1902	6	30	18	17	0	1015	Orig=761.3mm|orig.time=2pm
1902	7	1	18	17	0	1009.9	Orig=757.5mm|orig.time=2pm
1902	7	2	18	17	0	1009.9	Orig=757.5mm|orig.time=2pm
1902	7	4	18	17	0	1022.4	Orig=766.9mm|orig.time=2pm
1902	7	5	18	17	0	1020.4	Orig=765.4mm|orig.time=2pm
1902	7	6	18	17	0	1020.6	Orig=765.5mm|orig.time=2pm
1902	7	10	18	17	0	997.3	Orig=748mm|orig.time=2pm
1902	7	11	18	17	0	1015.2	Orig=761.5mm|orig.time=2pm
1902	7	12	18	17	0	1020	Orig=765.1mm|orig.time=2pm
1902	7	13	18	17	0	1016.8	Orig=762.7mm|orig.time=2pm
1902	7	14	18	17	0	1011.4	Orig=758.6mm|orig.time=2pm
1902	7	15	18	17	0	1011.3	Orig=758.5mm|orig.time=2pm
1902	7	21	18	17	0	1025.9	Orig=769.5mm|orig.time=2pm
1902	7	24	18	17	0	1009.4	Orig=757.1mm|orig.time=2pm
1902	7	27	18	17	0	1012.6	Orig=759.5mm|orig.time=2pm
1902	7	29	18	17	0	1029.1	Orig=771.9mm|orig.time=2pm
1902	8	4	18	17	0	1021.4	Orig=766.1mm|orig.time=2pm
1902	8	7	18	17	0	1013.8	Orig=760.4mm|orig.time=2pm
1902	8	8	18	17	0	1002.6	Orig=752mm|orig.time=2pm
1902	8	9	18	17	0	1007.7	Orig=755.8mm|orig.time=2pm
1902	8	10	18	17	0	1008.9	Orig=756.7mm|orig.time=2pm
1902	8	13	18	17	0	1014.3	Orig=760.8mm|orig.time=2pm
1902	8	17	18	17	0	1032.6	Orig=774.5mm|orig.time=2pm
1902	8	18	18	17	0	1023.5	Orig=767.7mm|orig.time=2pm
1902	8	20	18	17	0	1012.1	Orig=759.1mm|orig.time=2pm
1902	8	24	18	17	0	1024.3	Orig=768.3mm|orig.time=2pm
1902	8	25	18	17	0	1026.8	Orig=770.2mm|orig.time=2pm
1902	8	26	18	17	0	1029.2	Orig=772mm|orig.time=2pm
1902	8	27	18	17	0	1029.2	Orig=772mm|orig.time=2pm
1902	8	28	18	17	0	1029.6	Orig=772.3mm|orig.time=2pm
1902	8	29	18	17	0	1025.8	Orig=769.4mm|orig.time=2pm
1902	9	2	11	17	0	1031	Orig=773.3mm|orig.time=7am
1902	9	30	11	17	0	1020.7	Orig=765.6mm|orig.time=7am
1902	10	3	11	17	0	1033.1	Orig=774.9mm|orig.time=7am
1902	10	22	11	17	0	1009.3	Orig=757mm|orig.time=7am
1902	10	23	11	17	0	1007.9	Orig=756mm|orig.time=7am
1902	10	27	11	17	0	1022.4	Orig=766.9mm|orig.time=7am
1902	11	8	11	17	0	1003.8	Orig=752.9mm|orig.time=7am
1902	11	9	11	17	0	1019.6	Orig=764.8mm|orig.time=7am
1902	11	10	11	17	0	1021.4	Orig=766.1mm|orig.time=7am
1902	12	11	11	17	0	1012.9	Orig=759.7mm|orig.time=7am
1902	12	12	11	17	0	1006.6	Orig=755mm|orig.time=7am
1902	12	13	11	17	0	1006.7	Orig=755.1mm|orig.time=7am
1902	12	21	11	17	0	1011.3	Orig=758.5mm|orig.time=7am
1902	12	22	11	17	0	1007.9	Orig=756mm|orig.time=7am
1902	12	23	11	17	0	1005.1	Orig=753.9mm|orig.time=7am
1902	12	24	11	17	0	1006.2	Orig=754.7mm|orig.time=7am
1902	12	27	11	17	0	1011.9	Orig=759mm|orig.time=7am
1902	12	28	11	17	0	1011.7	Orig=758.8mm|orig.time=7am
1902	12	30	11	17	0	1018	Orig=763.6mm|orig.time=7am
