SEF	0.0.1
ID	DWR_San_Carlos
Name	San Carlos
Lat	
Lon	
Alt	
Source	C3S_SouthAmerica
Repo	
Var	mslp
Units	Pa
Meta	PGC=F
Year	Month	Day	HHMM	TimeF	Value	Meta
1902	6	7	1817	0	101672	Orig=762.6mm
1902	6	9	1817	0	101712	Orig=762.9mm
1902	6	12	1817	0	101672	Orig=762.6mm
1902	6	15	1817	0	100925	Orig=757mm
1902	6	16	1817	0	100338	Orig=752.6mm
1902	6	17	1817	0	99965	Orig=749.8mm
1902	6	18	1817	0	100818	Orig=756.2mm
1902	6	21	1817	0	101738	Orig=763.1mm
1902	6	23	1817	0	102298	Orig=767.3mm
1902	6	27	1817	0	101205	Orig=759.1mm
1902	6	30	1817	0	101498	Orig=761.3mm
1902	7	1	1817	0	100992	Orig=757.5mm
1902	7	2	1817	0	100992	Orig=757.5mm
1902	7	4	1817	0	102245	Orig=766.9mm
1902	7	5	1817	0	102045	Orig=765.4mm
1902	7	6	1817	0	102058	Orig=765.5mm
1902	7	10	1817	0	99725	Orig=748mm
1902	7	11	1817	0	101525	Orig=761.5mm
1902	7	12	1817	0	102005	Orig=765.1mm
1902	7	13	1817	0	101685	Orig=762.7mm
1902	7	14	1817	0	101138	Orig=758.6mm
1902	7	15	1817	0	101125	Orig=758.5mm
1902	7	21	1817	0	102592	Orig=769.5mm
1902	7	24	1817	0	100938	Orig=757.1mm
1902	7	27	1817	0	101258	Orig=759.5mm
1902	7	29	1817	0	102912	Orig=771.9mm
1902	8	4	1817	0	102138	Orig=766.1mm
1902	8	7	1817	0	101378	Orig=760.4mm
1902	8	8	1817	0	100258	Orig=752mm
1902	8	9	1817	0	100765	Orig=755.8mm
1902	8	10	1817	0	100885	Orig=756.7mm
1902	8	13	1817	0	101432	Orig=760.8mm
1902	8	17	1817	0	103258	Orig=774.5mm
1902	8	18	1817	0	102352	Orig=767.7mm
1902	8	20	1817	0	101205	Orig=759.1mm
1902	8	24	1817	0	102432	Orig=768.3mm
1902	8	25	1817	0	102685	Orig=770.2mm
1902	8	26	1817	0	102925	Orig=772mm
1902	8	27	1817	0	102925	Orig=772mm
1902	8	28	1817	0	102965	Orig=772.3mm
1902	8	29	1817	0	102578	Orig=769.4mm
1902	9	2	1117	0	103098	Orig=773.3mm
1902	9	30	1117	0	102072	Orig=765.6mm
1902	10	3	1117	0	103312	Orig=774.9mm
1902	10	22	1117	0	100925	Orig=757mm
1902	10	23	1117	0	100792	Orig=756mm
1902	10	27	1117	0	102245	Orig=766.9mm
1902	11	8	1117	0	100378	Orig=752.9mm
1902	11	9	1117	0	101965	Orig=764.8mm
1902	11	10	1117	0	102138	Orig=766.1mm
1902	12	11	1117	0	101285	Orig=759.7mm
1902	12	12	1117	0	100658	Orig=755mm
1902	12	13	1117	0	100672	Orig=755.1mm
1902	12	21	1117	0	101125	Orig=758.5mm
1902	12	22	1117	0	100792	Orig=756mm
1902	12	23	1117	0	100512	Orig=753.9mm
1902	12	24	1117	0	100618	Orig=754.7mm
1902	12	27	1117	0	101192	Orig=759mm
1902	12	28	1117	0	101165	Orig=758.8mm
1902	12	30	1117	0	101805	Orig=763.6mm
