SEF	1.0.0
ID	DWR_San_L-V._Mcd
Name	SAN LUIS-V. Mercedes
Lat	-33.667
Lon	-65.467
Alt	NA
Source	C3S_SouthAmerica
Link	https://data-rescue.copernicus-climate.eu/lso/1085979
Vbl	mslp
Stat	point
Units	hPa
Meta	Data policy=GNU GPL v3.0
Year	Month	Day	Hour	Minute	Period	Value	Meta
1902	9	2	11	17	0	1021.6	Orig=766.3mm|orig.time=7am
1902	9	3	11	17	0	1021.2	Orig=766mm|orig.time=7am
1902	9	4	11	17	0	1024	Orig=768.1mm|orig.time=7am
1902	9	5	11	17	0	1012.7	Orig=759.6mm|orig.time=7am
1902	9	7	11	17	0	1013.5	Orig=760.2mm|orig.time=7am
1902	9	8	11	17	0	1020.3	Orig=765.3mm|orig.time=7am
1902	9	10	11	17	0	1019.8	Orig=764.9mm|orig.time=7am
1902	9	11	11	17	0	1030.6	Orig=773mm|orig.time=7am
1902	9	12	11	17	0	1026.8	Orig=770.2mm|orig.time=7am
1902	9	13	11	17	0	1020.6	Orig=765.5mm|orig.time=7am
1902	9	14	11	17	0	1017.2	Orig=763mm|orig.time=7am
1902	9	15	11	17	0	1016.7	Orig=762.6mm|orig.time=7am
1902	9	17	11	17	0	1012.5	Orig=759.4mm|orig.time=7am
1902	9	18	11	17	0	1007.5	Orig=755.7mm|orig.time=7am
1902	9	19	11	17	0	1026.4	Orig=769.9mm|orig.time=7am
1902	9	20	11	17	0	1019.9	Orig=765mm|orig.time=7am
1902	9	21	11	17	0	1027.4	Orig=770.6mm|orig.time=7am
1902	9	22	11	17	0	1022.7	Orig=767.1mm|orig.time=7am
1902	9	23	11	17	0	1024.2	Orig=768.2mm|orig.time=7am
1902	9	25	11	17	0	1023.6	Orig=767.8mm|orig.time=7am
1902	9	26	11	17	0	1017.8	Orig=763.4mm|orig.time=7am
1902	9	27	11	17	0	1017.9	Orig=763.5mm|orig.time=7am
1902	9	28	11	17	0	1019	Orig=764.3mm|orig.time=7am
1902	9	29	11	17	0	1021.5	Orig=766.2mm|orig.time=7am
1902	9	30	11	17	0	1034.2	Orig=775.7mm|orig.time=7am
1902	10	1	11	17	0	1042.7	Orig=782.1mm|orig.time=7am
1902	10	2	11	17	0	1032.4	Orig=774.4mm|orig.time=7am
1902	10	3	11	17	0	1029	Orig=771.8mm|orig.time=7am
