SEF	1.0.0
ID	DWR_San_Martin
Name	San Martin
Lat	-33.083
Lon	-68.47
Alt	NA
Source	C3S_SouthAmerica
Link	https://data-rescue.copernicus-climate.eu/lso/1085999
Vbl	wind_force
Stat	point
Units	NA
Meta	Data policy=GNU GPL v3.0
Year	Month	Day	Hour	Minute	Period	Value	Meta
1902	2	21	18	17	0	1	orig.time=2pm
1902	2	22	18	17	0	1	orig.time=2pm
1902	2	24	18	17	0	1	orig.time=2pm
1902	2	25	18	17	0	0	orig.time=2pm
1902	2	26	18	17	0	1	orig.time=2pm
1902	2	27	18	17	0	0	orig.time=2pm
1902	2	28	18	17	0	1	orig.time=2pm
1902	3	1	18	17	0	1	orig.time=2pm
1902	3	2	18	17	0	1	orig.time=2pm
1902	3	3	18	17	0	1	orig.time=2pm
1902	3	4	18	17	0	2	orig.time=2pm
1902	3	5	18	17	0	2	orig.time=2pm
1902	3	6	18	17	0	1	orig.time=2pm
1902	3	7	18	17	0	2	orig.time=2pm
1902	3	8	18	17	0	1	orig.time=2pm
1902	3	9	18	17	0	2	orig.time=2pm
1902	3	10	18	17	0	2	orig.time=2pm
1902	3	12	18	17	0	1	orig.time=2pm
1902	3	13	18	17	0	1	orig.time=2pm
1902	3	14	18	17	0	2	orig.time=2pm
1902	3	15	18	17	0	2	orig.time=2pm
1902	3	16	18	17	0	3	orig.time=2pm
1902	3	19	18	17	0	1	orig.time=2pm
1902	3	21	18	17	0	1	orig.time=2pm
1902	3	22	18	17	0	1	orig.time=2pm
1902	3	23	18	17	0	1	orig.time=2pm
1902	3	24	18	17	0	3	orig.time=2pm
1902	3	25	18	17	0	1	orig.time=2pm
1902	3	26	18	17	0	1	orig.time=2pm
1902	3	27	18	17	0	1	orig.time=2pm
1902	3	30	18	17	0	2	orig.time=2pm
1902	3	31	18	17	0	1	orig.time=2pm
1902	4	2	18	17	0	2	orig.time=2pm
1902	4	3	18	17	0	1	orig.time=2pm
1902	4	5	18	17	0	1	orig.time=2pm
1902	4	6	18	17	0	1	orig.time=2pm
1902	4	7	18	17	0	1	orig.time=2pm
1902	4	8	18	17	0	1	orig.time=2pm
1902	4	9	18	17	0	1	orig.time=2pm
1902	4	10	18	17	0	2	orig.time=2pm
1902	4	12	18	17	0	1	orig.time=2pm
1902	4	13	18	17	0	1	orig.time=2pm
1902	4	14	18	17	0	1	orig.time=2pm
1902	4	16	18	17	0	1	orig.time=2pm
1902	4	19	18	17	0	1	orig.time=2pm
1902	4	20	18	17	0	2	orig.time=2pm
1902	4	27	18	17	0	2	orig.time=2pm
1902	4	29	18	17	0	2	orig.time=2pm
1902	5	3	18	17	0	1	orig.time=2pm
1902	5	4	18	17	0	1	orig.time=2pm
1902	5	16	18	17	0	1	orig.time=2pm
1902	5	17	18	17	0	1	orig.time=2pm
1902	5	18	18	17	0	1	orig.time=2pm
1902	5	19	18	17	0	1	orig.time=2pm
1902	5	20	18	17	0	1	orig.time=2pm
1902	5	21	18	17	0	1	orig.time=2pm
1902	5	22	18	17	0	1	orig.time=2pm
1902	5	23	18	17	0	0	orig.time=2pm
1902	5	24	18	17	0	1	orig.time=2pm
1902	5	25	18	17	0	1	orig.time=2pm
1902	5	26	18	17	0	0	orig.time=2pm
1902	5	27	18	17	0	1	orig.time=2pm
1902	5	28	18	17	0	2	orig.time=2pm
1902	5	29	18	17	0	1	orig.time=2pm
1902	5	30	18	17	0	1	orig.time=2pm
1902	5	31	18	17	0	0	orig.time=2pm
