SEF	1.0.0
ID	DWR_Santo_Tome
Name	Santo Tomé
Lat	-31.6622
Lon	-60.7616
Alt	NA
Source	C3S_SouthAmerica
Link	https://data-rescue.copernicus-climate.eu/lso/1086051
Vbl	mslp
Stat	point
Units	hPa
Meta	Data policy=GNU GPL v3.0
Year	Month	Day	Hour	Minute	Period	Value	Meta
1902	8	7	18	17	0	1016.3	Orig=762.3mm|orig.time=2pm
1902	8	8	18	17	0	1009.3	Orig=757mm|orig.time=2pm
1902	8	9	18	17	0	1006.7	Orig=755.1mm|orig.time=2pm
1902	8	10	18	17	0	1010.3	Orig=757.8mm|orig.time=2pm
1902	8	11	18	17	0	1012.7	Orig=759.6mm|orig.time=2pm
1902	8	12	18	17	0	1007.8	Orig=755.9mm|orig.time=2pm
1902	8	13	18	17	0	1013.7	Orig=760.3mm|orig.time=2pm
1902	8	14	18	17	0	1015	Orig=761.3mm|orig.time=2pm
1902	8	15	18	17	0	1017.9	Orig=763.5mm|orig.time=2pm
1902	8	16	18	17	0	1021.8	Orig=766.4mm|orig.time=2pm
1902	8	17	18	17	0	1030.8	Orig=773.2mm|orig.time=2pm
1902	8	18	18	17	0	1029.5	Orig=772.2mm|orig.time=2pm
1902	8	20	18	17	0	1014.2	Orig=760.7mm|orig.time=2pm
1902	8	21	18	17	0	1002.3	Orig=751.8mm|orig.time=2pm
1902	8	22	18	17	0	1002.9	Orig=752.2mm|orig.time=2pm
1902	8	23	18	17	0	1012.7	Orig=759.6mm|orig.time=2pm
1902	8	24	18	17	0	1027.2	Orig=770.5mm|orig.time=2pm
1902	8	25	18	17	0	1024.4	Orig=768.4mm|orig.time=2pm
1902	8	26	18	17	0	1026.6	Orig=770mm|orig.time=2pm
1902	8	27	18	17	0	1027.4	Orig=770.6mm|orig.time=2pm
1902	8	28	18	17	0	1027.8	Orig=770.9mm|orig.time=2pm
1902	8	29	18	17	0	1027.8	Orig=770.9mm|orig.time=2pm
1902	8	30	18	17	0	1025	Orig=768.8mm|orig.time=2pm
1902	8	31	18	17	0	1022.7	Orig=767.1mm|orig.time=2pm
1902	9	2	11	17	0	1024.4	Orig=768.4mm|orig.time=7am
1902	9	3	11	17	0	1019.9	Orig=765mm|orig.time=7am
1902	9	4	11	17	0	1021.5	Orig=766.2mm|orig.time=7am
1902	9	5	11	17	0	1021.9	Orig=766.5mm|orig.time=7am
1902	9	6	11	17	0	1014.7	Orig=761.1mm|orig.time=7am
1902	9	7	11	17	0	1014.3	Orig=760.8mm|orig.time=7am
1902	9	8	11	17	0	1010.6	Orig=758mm|orig.time=7am
1902	9	10	11	17	0	1016.8	Orig=762.7mm|orig.time=7am
1902	9	11	11	17	0	1020.2	Orig=765.2mm|orig.time=7am
1902	9	12	11	17	0	1027.2	Orig=770.5mm|orig.time=7am
1902	9	14	11	17	0	1015.1	Orig=761.4mm|orig.time=7am
1902	9	15	11	17	0	1014.9	Orig=761.2mm|orig.time=7am
1902	9	16	11	17	0	1009.3	Orig=757mm|orig.time=7am
1902	9	17	11	17	0	1014.7	Orig=761.1mm|orig.time=7am
1902	9	18	11	17	0	1011.3	Orig=758.5mm|orig.time=7am
1902	9	19	11	17	0	1007.9	Orig=756mm|orig.time=7am
1902	9	20	11	17	0	1011.8	Orig=758.9mm|orig.time=7am
1902	9	21	11	17	0	1012.5	Orig=759.4mm|orig.time=7am
1902	9	22	11	17	0	1017.1	Orig=762.9mm|orig.time=7am
1902	9	23	11	17	0	1021.2	Orig=766mm|orig.time=7am
1902	9	24	11	17	0	1025.5	Orig=769.2mm|orig.time=7am
1902	9	25	11	17	0	1031.8	Orig=773.9mm|orig.time=7am
1902	9	26	11	17	0	1021.4	Orig=766.1mm|orig.time=7am
1902	9	27	11	17	0	1016.7	Orig=762.6mm|orig.time=7am
1902	9	28	11	17	0	1015	Orig=761.3mm|orig.time=7am
1902	9	29	11	17	0	1013.7	Orig=760.3mm|orig.time=7am
1902	9	30	11	17	0	1018.8	Orig=764.2mm|orig.time=7am
1902	10	1	11	17	0	1034.7	Orig=776.1mm|orig.time=7am
1902	10	2	11	17	0	1037.5	Orig=778.2mm|orig.time=7am
1902	10	3	11	17	0	1032.2	Orig=774.2mm|orig.time=7am
1902	10	5	11	17	0	1021	Orig=765.8mm|orig.time=7am
1902	10	7	11	17	0	1014.7	Orig=761.1mm|orig.time=7am
1902	10	8	11	17	0	1027.2	Orig=770.5mm|orig.time=7am
1902	10	9	11	17	0	1026.4	Orig=769.9mm|orig.time=7am
1902	10	10	11	17	0	1016.4	Orig=762.4mm|orig.time=7am
1902	10	12	11	17	0	1022.4	Orig=766.9mm|orig.time=7am
1902	10	13	11	17	0	1027.6	Orig=770.8mm|orig.time=7am
1902	10	14	11	17	0	1025.1	Orig=768.9mm|orig.time=7am
1902	10	15	11	17	0	1021.6	Orig=766.3mm|orig.time=7am
