SEF	0.0.1
ID	DWR_Santo_Tome
Name	Santo Tomé
Lat	
Lon	
Alt	
Source	C3S_SouthAmerica
Repo	
Var	mslp
Units	Pa
Meta	PGC=F
Year	Month	Day	HHMM	TimeF	Value	Meta
1902	8	7	1817	0	101632	Orig=762.3mm
1902	8	8	1817	0	100925	Orig=757mm
1902	8	9	1817	0	100672	Orig=755.1mm
1902	8	10	1817	0	101032	Orig=757.8mm
1902	8	11	1817	0	101272	Orig=759.6mm
1902	8	12	1817	0	100778	Orig=755.9mm
1902	8	13	1817	0	101365	Orig=760.3mm
1902	8	14	1817	0	101498	Orig=761.3mm
1902	8	15	1817	0	101792	Orig=763.5mm
1902	8	16	1817	0	102178	Orig=766.4mm
1902	8	17	1817	0	103085	Orig=773.2mm
1902	8	18	1817	0	102952	Orig=772.2mm
1902	8	20	1817	0	101418	Orig=760.7mm
1902	8	21	1817	0	100232	Orig=751.8mm
1902	8	22	1817	0	100285	Orig=752.2mm
1902	8	23	1817	0	101272	Orig=759.6mm
1902	8	24	1817	0	102725	Orig=770.5mm
1902	8	25	1817	0	102445	Orig=768.4mm
1902	8	26	1817	0	102658	Orig=770mm
1902	8	27	1817	0	102738	Orig=770.6mm
1902	8	28	1817	0	102778	Orig=770.9mm
1902	8	29	1817	0	102778	Orig=770.9mm
1902	8	30	1817	0	102498	Orig=768.8mm
1902	8	31	1817	0	102272	Orig=767.1mm
1902	9	2	1117	0	102445	Orig=768.4mm
1902	9	3	1117	0	101992	Orig=765mm
1902	9	4	1117	0	102152	Orig=766.2mm
1902	9	5	1117	0	102192	Orig=766.5mm
1902	9	6	1117	0	101472	Orig=761.1mm
1902	9	7	1117	0	101432	Orig=760.8mm
1902	9	8	1117	0	101058	Orig=758mm
1902	9	10	1117	0	101685	Orig=762.7mm
1902	9	11	1117	0	102018	Orig=765.2mm
1902	9	12	1117	0	102725	Orig=770.5mm
1902	9	14	1117	0	101512	Orig=761.4mm
1902	9	15	1117	0	101485	Orig=761.2mm
1902	9	16	1117	0	100925	Orig=757mm
1902	9	17	1117	0	101472	Orig=761.1mm
1902	9	18	1117	0	101125	Orig=758.5mm
1902	9	19	1117	0	100792	Orig=756mm
1902	9	20	1117	0	101178	Orig=758.9mm
1902	9	21	1117	0	101245	Orig=759.4mm
1902	9	22	1117	0	101712	Orig=762.9mm
1902	9	23	1117	0	102125	Orig=766mm
1902	9	24	1117	0	102552	Orig=769.2mm
1902	9	25	1117	0	103178	Orig=773.9mm
1902	9	26	1117	0	102138	Orig=766.1mm
1902	9	27	1117	0	101672	Orig=762.6mm
1902	9	28	1117	0	101498	Orig=761.3mm
1902	9	29	1117	0	101365	Orig=760.3mm
1902	9	30	1117	0	101885	Orig=764.2mm
1902	10	1	1117	0	103472	Orig=776.1mm
1902	10	2	1117	0	103751	Orig=778.2mm
1902	10	3	1117	0	103218	Orig=774.2mm
1902	10	5	1117	0	102098	Orig=765.8mm
1902	10	7	1117	0	101472	Orig=761.1mm
1902	10	8	1117	0	102725	Orig=770.5mm
1902	10	9	1117	0	102645	Orig=769.9mm
1902	10	10	1117	0	101645	Orig=762.4mm
1902	10	12	1117	0	102245	Orig=766.9mm
1902	10	13	1117	0	102765	Orig=770.8mm
1902	10	14	1117	0	102512	Orig=768.9mm
1902	10	15	1117	0	102165	Orig=766.3mm
1902	10	16	1117	0	101765	Orig=763.3mm
1902	10	17	1117	0	101458	Orig=761mm
1902	10	18	1117	0	101818	Orig=763.7mm
1902	10	19	1117	0	101658	Orig=762.5mm
1902	10	20	1117	0	101645	Orig=762.4mm
1902	10	26	1117	0	100565	Orig=754.3mm
1902	10	27	1117	0	101285	Orig=759.7mm
1902	10	28	1117	0	101298	Orig=759.8mm
1902	10	29	1117	0	101192	Orig=759mm
1902	10	30	1117	0	101458	Orig=761mm
1902	10	31	1117	0	101965	Orig=764.8mm
1902	11	1	1117	0	101285	Orig=759.7mm
1902	11	2	1117	0	101392	Orig=760.5mm
1902	11	3	1117	0	101298	Orig=759.8mm
1902	11	4	1117	0	101218	Orig=759.2mm
1902	11	5	1117	0	100885	Orig=756.7mm
1902	11	6	1117	0	100512	Orig=753.9mm
1902	11	7	1117	0	100392	Orig=753mm
1902	11	8	1117	0	100312	Orig=752.4mm
1902	11	10	1117	0	101565	Orig=761.8mm
1902	11	11	1117	0	101805	Orig=763.6mm
1902	11	12	1117	0	101165	Orig=758.8mm
1902	11	13	1117	0	101125	Orig=758.5mm
1902	11	14	1117	0	100738	Orig=755.6mm
1902	11	15	1117	0	100885	Orig=756.7mm
1902	11	16	1117	0	101418	Orig=760.7mm
1902	11	17	1117	0	101698	Orig=762.8mm
1902	11	18	1117	0	101272	Orig=759.6mm
1902	11	20	1117	0	101258	Orig=759.5mm
1902	11	21	1117	0	101285	Orig=759.7mm
1902	11	22	1117	0	101285	Orig=759.7mm
1902	11	23	1117	0	100912	Orig=756.9mm
1902	11	24	1117	0	100978	Orig=757.4mm
1902	11	25	1117	0	100765	Orig=755.8mm
1902	11	26	1117	0	100658	Orig=755mm
1902	11	27	1117	0	102218	Orig=766.7mm
1902	11	28	1117	0	102005	Orig=765.1mm
1902	11	29	1117	0	101578	Orig=761.9mm
1902	11	30	1117	0	101565	Orig=761.8mm
1902	12	1	1117	0	101498	Orig=761.3mm
1902	12	2	1117	0	101485	Orig=761.2mm
1902	12	3	1117	0	101298	Orig=759.8mm
1902	12	4	1117	0	101125	Orig=758.5mm
1902	12	5	1117	0	101392	Orig=760.5mm
1902	12	6	1117	0	101205	Orig=759.1mm
1902	12	7	1117	0	100738	Orig=755.6mm
1902	12	8	1117	0	101192	Orig=759mm
1902	12	9	1117	0	101778	Orig=763.4mm
1902	12	10	1117	0	101445	Orig=760.9mm
1902	12	11	1117	0	101245	Orig=759.4mm
1902	12	12	1117	0	101152	Orig=758.7mm
1902	12	14	1117	0	101738	Orig=763.1mm
1902	12	15	1117	0	101685	Orig=762.7mm
1902	12	16	1117	0	101485	Orig=761.2mm
1902	12	17	1117	0	101405	Orig=760.6mm
1902	12	18	1117	0	101152	Orig=758.7mm
1902	12	19	1117	0	101352	Orig=760.2mm
1902	12	20	1117	0	101512	Orig=761.4mm
1902	12	22	1117	0	100898	Orig=756.8mm
1902	12	23	1117	0	100752	Orig=755.7mm
1902	12	24	1117	0	100632	Orig=754.8mm
1902	12	25	1117	0	101058	Orig=758mm
1902	12	26	1117	0	100832	Orig=756.3mm
1902	12	27	1117	0	100992	Orig=757.5mm
1902	12	28	1117	0	101112	Orig=758.4mm
1902	12	29	1117	0	101138	Orig=758.6mm
1902	12	30	1117	0	101978	Orig=764.9mm
